# !!!performance-id: 	pid50848-03
# !!!title:	        Mazurka in B minor, Op. 30, No. 2
# !!!trials:	        1
# !!!date:	        2007/02/15/
# !!!reverse-conductor: 	Craig Stuart Sapp
# !!!performer:	        Vladimir Ashkenazy
# !!!performance-date: 	1982
# !!!label:	        London 410 122-2
# !!!label-title:	        Chopin piano works played by Vladimir Ashkenazy
# !!!offset:		0
0.148	0:3
0.589	1:1
0.898	1:2
1.228	1:3
1.514	2:1
1.808	2:2
2.178	2:3
2.468	3:1
2.748	3:2
3.018	3:3
3.306	4:1
3.568	4:2
3.858	4:3
4.188	5:1
4.488	5:2
4.758	5:3
5.018	6:1
5.278	6:2
5.558	6:3
5.814	7:1
6.128	7:2
6.448	7:3
6.798	8:1
7.218	8:2
7.700	8:3
8.208	9:1
8.528	9:2
8.808	9:3
9.056	10:1
9.358	10:2
9.658	10:3
9.938	11:1
10.228	11:2
10.498	11:3
10.768	12:1
11.068	12:2
11.350	12:3
11.668	13:1
11.928	13:2
12.208	13:3
12.458	14:1
12.748	14:2
13.018	14:3
13.298	15:1
13.618	15:2
13.938	15:3
14.298	16:1
14.766	16:2
15.428	16:3
16.018	17:1
16.468	17:2
16.828	17:3
17.118	18:1
17.398	18:2
17.688	18:3
17.946	19:1
18.218	19:2
18.498	19:3
18.758	20:1
19.018	20:2
19.298	20:3
19.548	21:1
19.818	21:2
20.088	21:3
20.348	22:1
20.618	22:2
20.908	22:3
21.178	23:1
21.468	23:2
21.768	23:3
22.148	24:1
22.538	24:2
23.048	24:3
23.416	25:1
23.774	25:2
24.108	25:3
24.368	26:1
24.648	26:2
24.918	26:3
25.178	27:1
25.438	27:2
25.718	27:3
25.978	28:1
26.228	28:2
26.498	28:3
26.748	29:1
27.018	29:2
27.288	29:3
27.538	30:1
27.798	30:2
28.088	30:3
28.348	31:1
28.678	31:2
28.978	31:3
29.318	32:1
29.718	32:2
30.358	32:3
30.728	33:1
30.988	33:2
31.318	33:3
31.668	34:1
32.058	34:2
32.361	34:3
32.588	35:1
32.828	35:2
33.108	35:3
33.408	36:1
33.718	36:2
33.969	36:3
34.235	37:1
34.498	37:2
34.798	37:3
35.198	38:1
35.678	38:2
36.078	38:3
36.706	39:1
37.088	39:2
37.438	39:3
37.848	40:1
38.308	40:2
38.908	40:3
39.288	41:1
39.568	41:2
39.908	41:3
40.238	42:1
40.538	42:2
40.848	42:3
41.078	43:1
41.328	43:2
41.628	43:3
41.918	44:1
42.208	44:2
42.465	44:3
42.718	45:1
42.938	45:2
43.228	45:3
43.538	46:1
43.858	46:2
44.188	46:3
44.720	47:1
45.006	47:2
45.358	47:3
45.738	48:1
46.168	48:2
46.778	48:3
47.388	49:1
47.908	49:2
48.278	49:3
48.578	50:1
48.858	50:2
49.148	50:3
49.405	51:1
49.678	51:2
49.958	51:3
50.228	52:1
50.478	52:2
50.758	52:3
51.018	53:1
51.278	53:2
51.558	53:3
51.808	54:1
52.068	54:2
52.358	54:3
52.628	55:1
52.918	55:2
53.218	55:3
53.548	56:1
53.888	56:2
54.388	56:3
54.778	57:1
55.188	57:2
55.518	57:3
55.798	58:1
56.088	58:2
56.368	58:3
56.638	59:1
56.898	59:2
57.178	59:3
57.448	60:1
57.708	60:2
57.988	60:3
58.248	61:1
58.528	61:2
58.798	61:3
59.068	62:1
59.328	62:2
59.628	62:3
59.888	63:1
60.228	63:2
60.518	63:3
60.828	64:1
61.328	64:2
