# !!!performance-id:	pid9054-19
# !!!title:	        Mazurka in B minor, Op. 30, No. 2
# !!!trials:	        01/01
# !!!date:	        2006/03/03/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Ronald Smith
# !!!performance-date:	1975
# !!!label:	        EMI 724358576726
# !!!label-title:	       	Chopin Mazurkas
# !!!offset:		0
0.888	0:3
1.618	1:1
1.948	1:2
2.358	1:3
2.662	2:1
2.978	2:2
3.358	2:3
3.617	3:1
3.884	3:2
4.228	3:3
4.518	4:1
4.818	4:2
5.178	4:3
5.518	5:1
5.788	5:2
6.118	5:3
6.359	6:1
6.644	6:2
6.968	6:3
7.228	7:1
7.528	7:2
7.878	7:3
8.228	8:1
8.588	8:2
9.193	8:3
9.798	9:1
10.088	9:2
10.428	9:3
10.768	10:1
11.178	10:2
11.558	10:3
11.770	11:1
12.018	11:2
12.348	11:3
12.638	12:1
12.958	12:2
13.278	12:3
13.588	13:1
13.828	13:2
14.148	13:3
14.398	14:1
14.698	14:2
15.018	14:3
15.268	15:1
15.534	15:2
15.908	15:3
16.278	16:1
16.692	16:2
17.358	16:3
17.928	17:1
18.238	17:2
18.618	17:3
18.887	18:1
19.156	18:2
19.458	18:3
19.728	19:1
19.988	19:2
20.278	19:3
20.558	20:1
20.808	20:2
21.118	20:3
21.358	21:1
21.628	21:2
21.908	21:3
22.188	22:1
22.458	22:2
22.768	22:3
23.038	23:1
23.328	23:2
23.708	23:3
24.118	24:1
24.438	24:2
24.808	24:3
25.128	25:1
25.378	25:2
25.708	25:3
25.958	26:1
26.218	26:2
26.508	26:3
26.768	27:1
27.018	27:2
27.308	27:3
27.548	28:1
27.788	28:2
28.098	28:3
28.348	29:1
28.618	29:2
28.898	29:3
29.158	30:1
29.438	30:2
29.748	30:3
30.038	31:1
30.408	31:2
30.748	31:3
31.068	32:1
31.418	32:2
31.898	32:3
32.366	33:1
32.588	33:2
32.928	33:3
33.228	34:1
33.538	34:2
33.828	34:3
34.058	35:1
34.288	35:2
34.608	35:3
34.908	36:1
35.198	36:2
35.478	36:3
35.738	37:1
35.968	37:2
36.308	37:3
36.638	38:1
36.998	38:2
37.328	38:3
37.718	39:1
37.958	39:2
38.288	39:3
38.578	40:1
38.928	40:2
39.318	40:3
39.750	41:1
40.018	41:2
40.328	41:3
40.618	42:1
40.888	42:2
41.166	42:3
41.381	43:1
41.601	43:2
41.928	43:3
42.198	44:1
42.488	44:2
42.768	44:3
43.006	45:1
43.278	45:2
43.598	45:3
43.938	46:1
44.358	46:2
45.008	46:3
45.505	47:1
45.768	47:2
46.118	47:3
46.438	48:1
46.798	48:2
47.264	48:3
47.698	49:1
47.958	49:2
48.245	49:3
48.508	50:1
48.788	50:2
49.068	50:3
49.338	51:1
49.578	51:2
49.858	51:3
50.118	52:1
50.358	52:2
50.658	52:3
50.908	53:1
51.178	53:2
51.468	53:3
51.728	54:1
51.988	54:2
52.288	54:3
52.538	55:1
52.818	55:2
53.168	55:3
53.628	56:1
53.958	56:2
54.288	56:3
54.648	57:1
54.878	57:2
55.178	57:3
55.428	58:1
55.688	58:2
55.968	58:3
56.218	59:1
56.468	59:2
56.748	59:3
56.998	60:1
57.238	60:2
57.518	60:3
57.778	61:1
58.038	61:2
58.328	61:3
58.588	62:1
58.858	62:2
59.168	62:3
59.458	63:1
59.847	63:2
60.248	63:3
60.528	64:1
60.988	64:2
