# !!!performance-id: 	pid9058-19
# !!!title:	        Mazurka in B minor, Op. 30, No. 2
# !!!trials:	        1
# !!!date:	        2007/02/15/
# !!!reverse-conductor: 	Craig Stuart Sapp
# !!!performer:	        Vladimir Ashkenazy
# !!!performance-date: 	c1981
# !!!label:	        Decca 448 086-2
# !!!label-title:	        Chopin Mazurkas
# !!!offset:		0
0.258	0:3
0.708	1:1
1.008	1:2
1.348	1:3
1.637	2:1
1.918	2:2
2.284	2:3
2.580	3:1
2.868	3:2
3.138	3:3
3.416	4:1
3.688	4:2
3.978	4:3
4.301	5:1
4.598	5:2
4.873	5:3
5.138	6:1
5.398	6:2
5.678	6:3
5.930	7:1
6.238	7:2
6.568	7:3
6.918	8:1
7.338	8:2
7.802	8:3
8.318	9:1
8.641	9:2
8.928	9:3
9.166	10:1
9.478	10:2
9.778	10:3
10.058	11:1
10.338	11:2
10.608	11:3
10.878	12:1
11.188	12:2
11.468	12:3
11.781	13:1
12.048	13:2
12.328	13:3
12.577	14:1
12.868	14:2
13.128	14:3
13.408	15:1
13.738	15:2
14.058	15:3
14.418	16:1
14.887	16:2
15.538	16:3
16.141	17:1
16.588	17:2
16.948	17:3
17.238	18:1
17.518	18:2
17.798	18:3
18.068	19:1
18.328	19:2
18.618	19:3
18.868	20:1
19.128	20:2
19.408	20:3
19.668	21:1
19.928	21:2
20.198	21:3
20.468	22:1
20.738	22:2
21.018	22:3
21.298	23:1
21.578	23:2
21.888	23:3
22.268	24:1
22.658	24:2
23.168	24:3
23.528	25:1
23.898	25:2
24.221	25:3
24.488	26:1
24.758	26:2
25.028	26:3
25.288	27:1
25.558	27:2
25.828	27:3
26.088	28:1
26.348	28:2
26.618	28:3
26.858	29:1
27.128	29:2
27.398	29:3
27.658	30:1
27.918	30:2
28.208	30:3
28.468	31:1
28.788	31:2
29.088	31:3
29.438	32:1
29.828	32:2
30.468	32:3
30.838	33:1
31.108	33:2
31.428	33:3
31.788	34:1
32.178	34:2
32.470	34:3
32.702	35:1
32.938	35:2
33.218	35:3
33.528	36:1
33.828	36:2
34.087	36:3
34.351	37:1
34.608	37:2
34.918	37:3
35.288	38:1
35.788	38:2
36.206	38:3
36.815	39:1
37.208	39:2
37.558	39:3
37.948	40:1
38.428	40:2
39.018	40:3
39.404	41:1
39.678	41:2
40.018	41:3
40.348	42:1
40.658	42:2
40.968	42:3
41.188	43:1
41.438	43:2
41.748	43:3
42.038	44:1
42.318	44:2
42.588	44:3
42.838	45:1
43.058	45:2
43.348	45:3
43.648	46:1
43.968	46:2
44.298	46:3
44.756	47:1
45.128	47:2
45.468	47:3
45.858	48:1
46.288	48:2
46.888	48:3
47.498	49:1
48.018	49:2
48.388	49:3
48.686	50:1
48.978	50:2
49.258	50:3
49.528	51:1
49.798	51:2
50.078	51:3
50.348	52:1
50.598	52:2
50.868	52:3
51.128	53:1
51.398	53:2
51.678	53:3
51.928	54:1
52.188	54:2
52.468	54:3
52.738	55:1
53.028	55:2
53.328	55:3
53.668	56:1
53.998	56:2
54.508	56:3
54.888	57:1
55.308	57:2
55.628	57:3
55.908	58:1
56.198	58:2
56.478	58:3
56.748	59:1
57.008	59:2
57.298	59:3
57.558	60:1
57.828	60:2
58.108	60:3
58.368	61:1
58.648	61:2
58.928	61:3
59.178	62:1
59.448	62:2
59.738	62:3
59.998	63:1
60.338	63:2
60.639	63:3
60.948	64:1
61.438	64:2
