# !!!performance-id:	pid9065-14
# !!!title:	        Mazurka in B minor, Op. 30, No. 2
# !!!trials:	        1
# !!!date:	        2007/02/16/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Sergio Fiorentino
# !!!performance-date:	1962
# !!!label:	        Concert Artist 9200-2
# !!!label-title:	        Chopin Recital: Mazurkas
# !!!offset:		0
1.058	0:3
1.509	1:1
1.888	1:2
2.178	1:3
2.470	2:1
2.818	2:2
3.198	2:3
3.528	3:1
3.838	3:2
4.118	3:3
4.418	4:1
4.788	4:2
5.168	4:3
5.518	5:1
5.818	5:2
6.098	5:3
6.398	6:1
6.738	6:2
7.018	6:3
7.291	7:1
7.658	7:2
7.998	7:3
8.558	8:1
8.963	8:2
9.630	8:3
10.223	9:1
10.488	9:2
10.788	9:3
11.138	10:1
11.651	10:2
12.048	10:3
12.368	11:1
12.668	11:2
12.968	11:3
13.268	12:1
13.728	12:2
14.048	12:3
14.348	13:1
14.638	13:2
14.898	13:3
15.218	14:1
15.668	14:2
15.988	14:3
16.399	15:1
16.756	15:2
17.088	15:3
17.568	16:1
18.318	16:2
19.018	16:3
19.458	17:1
20.078	17:2
20.528	17:3
20.898	18:1
21.288	18:2
21.628	18:3
21.938	19:1
22.268	19:2
22.568	19:3
22.858	20:1
23.168	20:2
23.458	20:3
23.728	21:1
24.028	21:2
24.297	21:3
24.578	22:1
24.858	22:2
25.138	22:3
25.448	23:1
25.848	23:2
26.228	23:3
26.718	24:1
27.178	24:2
27.578	24:3
27.938	25:1
28.298	25:2
28.618	25:3
28.908	26:1
29.218	26:2
29.508	26:3
29.788	27:1
30.068	27:2
30.348	27:3
30.628	28:1
30.898	28:2
31.178	28:3
31.438	29:1
31.718	29:2
31.988	29:3
32.258	30:1
32.518	30:2
32.798	30:3
33.078	31:1
33.478	31:2
33.828	31:3
34.358	32:1
34.888	32:2
35.548	32:3
36.354	33:1
36.878	33:2
37.298	33:3
37.698	34:1
38.108	34:2
38.478	34:3
38.838	35:1
39.118	35:2
39.448	35:3
39.738	36:1
40.068	36:2
40.358	36:3
40.678	37:1
41.038	37:2
41.368	37:3
41.868	38:1
42.498	38:2
42.934	38:3
43.458	39:1
43.968	39:2
44.402	39:3
44.758	40:1
45.118	40:2
45.558	40:3
45.981	41:1
46.268	41:2
46.578	41:3
46.858	42:1
47.158	42:2
47.448	42:3
47.738	43:1
47.988	43:2
48.268	43:3
48.538	44:1
48.828	44:2
49.098	44:3
49.378	45:1
49.708	45:2
50.028	45:3
50.508	46:1
51.171	46:2
51.798	46:3
52.128	47:1
52.428	47:2
52.811	47:3
53.268	48:1
53.898	48:2
54.686	48:3
55.191	49:1
55.728	49:2
56.149	49:3
56.528	50:1
56.938	50:2
57.298	50:3
57.608	51:1
57.938	51:2
58.248	51:3
58.538	52:1
58.868	52:2
59.168	52:3
59.448	53:1
59.738	53:2
59.998	53:3
60.278	54:1
60.558	54:2
60.838	54:3
61.138	55:1
61.518	55:2
61.938	55:3
62.368	56:1
62.768	56:2
63.128	56:3
63.478	57:1
63.828	57:2
64.158	57:3
64.458	58:1
64.758	58:2
65.048	58:3
65.338	59:1
65.618	59:2
65.908	59:3
66.168	60:1
66.448	60:2
66.738	60:3
66.998	61:1
67.258	61:2
67.528	61:3
67.788	62:1
68.038	62:2
68.298	62:3
68.598	63:1
68.986	63:2
69.308	63:3
69.718	64:1
70.228	64:2
