# !!!performance-id:	pid9066-19
# !!!title:	        Mazurka in B minor, Op. 30, No. 2
# !!!trials:	        1
# !!!date:	        2006/02/16/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Alfred Cortot
# !!!performance-date:	1951
# !!!label:	        Concert Artist 91812
# !!!label-title:	        Chopin: The Mazurkas
# !!!offset:		0
0.828	0:3
1.478	1:1
2.048	1:2
2.448	1:3
2.848	2:1
3.596	2:2
4.389	2:3
4.757	3:1
5.198	3:2
5.498	3:3
5.811	4:1
6.408	4:2
7.265	4:3
7.748	5:1
8.288	5:2
8.778	5:3
9.148	6:1
9.858	6:2
10.568	6:3
10.942	7:1
11.428	7:2
11.778	7:3
12.208	8:1
13.349	8:2
14.150	8:3
15.102	9:1
15.749	9:2
16.208	9:3
16.605	10:1
17.158	10:2
17.838	10:3
18.103	11:1
18.538	11:2
18.848	11:3
19.168	12:1
19.868	12:2
20.508	12:3
20.928	13:1
21.438	13:2
21.738	13:3
22.038	14:1
22.678	14:2
23.258	14:3
23.528	15:1
23.928	15:2
24.278	15:3
24.688	16:1
25.428	16:2
26.388	16:3
26.918	17:1
27.808	17:2
28.378	17:3
28.958	18:1
29.328	18:2
29.738	18:3
30.128	19:1
30.408	19:2
30.748	19:3
31.048	20:1
31.358	20:2
31.658	20:3
31.958	21:1
32.248	21:2
32.558	21:3
32.868	22:1
33.128	22:2
33.448	22:3
33.728	23:1
34.018	23:2
34.378	23:3
34.778	24:1
35.408	24:2
36.008	24:3
36.568	25:1
37.175	25:2
37.578	25:3
37.898	26:1
38.288	26:2
38.748	26:3
39.129	27:1
39.398	27:2
39.698	27:3
39.998	28:1
40.268	28:2
40.558	28:3
40.838	29:1
41.128	29:2
41.418	29:3
41.688	30:1
41.998	30:2
42.248	30:3
42.518	31:1
43.035	31:2
43.458	31:3
43.921	32:1
44.618	32:2
45.368	32:3
45.788	33:1
46.508	33:2
47.068	33:3
47.508	34:1
47.998	34:2
48.508	34:3
48.779	35:1
49.198	35:2
49.568	35:3
49.948	36:1
50.358	36:2
50.708	36:3
50.985	37:1
51.458	37:2
52.038	37:3
52.558	38:1
53.078	38:2
53.499	38:3
54.027	39:1
54.578	39:2
54.918	39:3
55.288	40:1
55.708	40:2
56.388	40:3
56.776	41:1
57.328	41:2
57.748	41:3
58.088	42:1
58.428	42:2
58.758	42:3
59.040	43:1
59.358	43:2
59.748	43:3
60.128	44:1
60.548	44:2
60.918	44:3
61.167	45:1
61.466	45:2
61.798	45:3
62.098	46:1
62.448	46:2
62.740	46:3
63.231	47:1
63.878	47:2
64.268	47:3
64.668	48:1
65.238	48:2
65.988	48:3
66.578	49:1
67.370	49:2
67.918	49:3
68.537	50:1
68.998	50:2
69.408	50:3
69.756	51:1
70.028	51:2
70.378	51:3
70.708	52:1
70.978	52:2
71.285	52:3
71.588	53:1
71.898	53:2
72.171	53:3
72.498	54:1
72.738	54:2
73.028	54:3
73.308	55:1
73.588	55:2
73.906	55:3
74.278	56:1
74.818	56:2
75.288	56:3
75.848	57:1
76.528	57:2
77.008	57:3
77.588	58:1
78.078	58:2
78.498	58:3
78.868	59:1
79.168	59:2
79.488	59:3
79.787	60:1
80.068	60:2
80.358	60:3
80.643	61:1
80.958	61:2
81.258	61:3
81.558	62:1
81.888	62:2
82.148	62:3
82.458	63:1
82.959	63:2
83.418	63:3
83.818	64:1
84.608	64:2
