# !!!performance-id:	pid9070b-02
# !!!title:	        Mazurka in B minor, Op. 30, No. 2
# !!!trials:	        1
# !!!date:	        2007/03/01/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Samson Francois
# !!!performance-date:	1956
# !!!label:	        EMI CZS 7 67413 2
# !!!label-title:	        Chopin: 51 Mazurkas, Sonates 2 & 3
# !!!offset:		0
0.548	0:3
1.178	1:1
1.478	1:2
1.948	1:3
2.293	2:1
2.638	2:2
3.158	2:3
3.618	3:1
3.848	3:2
4.138	3:3
4.498	4:1
4.978	4:2
5.568	4:3
5.985	5:1
6.258	5:2
6.571	5:3
6.861	6:1
7.198	6:2
7.598	6:3
7.988	7:1
8.288	7:2
8.638	7:3
9.128	8:1
9.618	8:2
10.147	8:3
11.028	9:1
11.285	9:2
11.618	9:3
11.952	10:1
12.417	10:2
12.818	10:3
13.108	11:1
13.328	11:2
13.618	11:3
13.928	12:1
14.478	12:2
15.038	12:3
15.566	13:1
15.818	13:2
16.158	13:3
16.458	14:1
16.858	14:2
17.268	14:3
17.595	15:1
17.838	15:2
18.158	15:3
18.568	16:1
19.108	16:2
19.688	16:3
20.158	17:1
20.568	17:2
21.018	17:3
21.378	18:1
21.668	18:2
21.968	18:3
22.318	19:1
22.628	19:2
22.898	19:3
23.198	20:1
23.478	20:2
23.748	20:3
24.028	21:1
24.328	21:2
24.608	21:3
24.888	22:1
25.158	22:2
25.528	22:3
25.868	23:1
26.288	23:2
26.728	23:3
27.268	24:1
27.828	24:2
28.448	24:3
28.845	25:1
29.148	25:2
29.472	25:3
29.768	26:1
30.048	26:2
30.325	26:3
30.628	27:1
30.898	27:2
31.164	27:3
31.468	28:1
31.748	28:2
32.048	28:3
32.328	29:1
32.628	29:2
32.918	29:3
33.198	30:1
33.508	30:2
33.808	30:3
34.128	31:1
34.548	31:2
34.928	31:3
35.388	32:1
35.778	32:2
36.088	32:3
36.516	33:1
36.718	33:2
37.018	33:3
37.328	34:1
37.668	34:2
37.948	34:3
38.264	35:1
38.438	35:2
38.708	35:3
38.988	36:1
39.278	36:2
39.548	36:3
39.888	37:1
40.068	37:2
40.318	37:3
40.588	38:1
40.841	38:2
41.128	38:3
41.488	39:1
42.028	39:2
42.318	39:3
42.598	40:1
43.038	40:2
43.548	40:3
43.921	41:1
44.249	41:2
44.538	41:3
44.828	42:1
45.118	42:2
45.408	42:3
45.648	43:1
45.813	43:2
46.098	43:3
46.368	44:1
46.718	44:2
47.038	44:3
47.325	45:1
47.528	45:2
47.858	45:3
48.158	46:1
48.518	46:2
48.928	46:3
49.586	47:1
49.998	47:2
50.378	47:3
50.868	48:1
51.455	48:2
52.168	48:3
52.637	49:1
52.968	49:2
53.398	49:3
53.738	50:1
54.008	50:2
54.318	50:3
54.628	51:1
54.918	51:2
55.228	51:3
55.508	52:1
55.768	52:2
56.048	52:3
56.328	53:1
56.628	53:2
56.948	53:3
57.228	54:1
57.498	54:2
57.848	54:3
58.208	55:1
58.558	55:2
58.948	55:3
59.488	56:1
60.088	56:2
60.808	56:3
61.238	57:1
61.548	57:2
61.878	57:3
62.218	58:1
62.498	58:2
62.778	58:3
63.128	59:1
63.428	59:2
63.695	59:3
63.988	60:1
64.278	60:2
64.558	60:3
64.858	61:1
65.168	61:2
65.458	61:3
65.788	62:1
66.138	62:2
66.478	62:3
66.828	63:1
67.228	63:2
67.602	63:3
68.098	64:1
68.628	64:2
