# !!!performance-id:	pid9071-30
# !!!title:	        Mazurka in B minor, Op. 30, No. 2
# !!!trials:	        1
# !!!date:	        2007/03/06/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Fou Ts'ong
# !!!performance-date:	1993
# !!!label:	        Sony SB2K 53 246
# !!!label-title:	        Chopin Mazurkas
# !!!offset:		0
0.448	0:3
1.118	1:1
1.429	1:2
1.868	1:3
2.258	2:1
2.568	2:2
3.178	2:3
3.802	3:1
4.018	3:2
4.348	3:3
4.668	4:1
4.948	4:2
5.408	4:3
5.928	5:1
6.178	5:2
6.498	5:3
6.808	6:1
7.108	6:2
7.522	6:3
7.849	7:1
8.148	7:2
8.508	7:3
8.868	8:1
9.368	8:2
10.278	8:3
11.084	9:1
11.310	9:2
11.668	9:3
11.988	10:1
12.429	10:2
13.118	10:3
13.688	11:1
13.918	11:2
14.248	11:3
14.558	12:1
14.968	12:2
15.508	12:3
16.008	13:1
16.347	13:2
16.648	13:3
16.948	14:1
17.368	14:2
17.858	14:3
18.416	15:1
18.648	15:2
18.988	15:3
19.348	16:1
19.948	16:2
20.738	16:3
21.802	17:1
22.349	17:2
22.761	17:3
23.061	18:1
23.318	18:2
23.648	18:3
23.908	19:1
24.138	19:2
24.428	19:3
24.668	20:1
24.888	20:2
25.168	20:3
25.418	21:1
25.658	21:2
25.908	21:3
26.188	22:1
26.428	22:2
26.748	22:3
27.048	23:1
27.378	23:2
27.738	23:3
28.188	24:1
28.668	24:2
29.208	24:3
29.708	25:1
30.006	25:2
30.308	25:3
30.538	26:1
30.778	26:2
31.038	26:3
31.298	27:1
31.528	27:2
31.788	27:3
32.028	28:1
32.248	28:2
32.518	28:3
32.778	29:1
33.028	29:2
33.298	29:3
33.598	30:1
33.878	30:2
34.208	30:3
34.498	31:1
34.928	31:2
35.278	31:3
35.878	32:1
36.538	32:2
37.348	32:3
38.535	33:1
39.068	33:2
39.638	33:3
40.058	34:1
40.468	34:2
40.828	34:3
41.135	35:1
41.488	35:2
41.798	35:3
42.108	36:1
42.438	36:2
42.788	36:3
43.080	37:1
43.468	37:2
43.808	37:3
44.138	38:1
44.628	38:2
45.098	38:3
45.648	39:1
46.324	39:2
47.048	39:3
47.528	40:1
48.078	40:2
48.939	40:3
49.784	41:1
50.328	41:2
50.878	41:3
51.268	42:1
51.628	42:2
52.008	42:3
52.368	43:1
52.733	43:2
53.078	43:3
53.388	44:1
53.718	44:2
54.058	44:3
54.348	45:1
54.698	45:2
55.048	45:3
55.398	46:1
55.868	46:2
56.378	46:3
57.028	47:1
57.778	47:2
58.638	47:3
59.268	48:1
60.294	48:2
61.238	48:3
61.771	49:1
62.078	49:2
62.398	49:3
62.658	50:1
62.886	50:2
63.208	50:3
63.458	51:1
63.698	51:2
63.978	51:3
64.228	52:1
64.447	52:2
64.738	52:3
64.998	53:1
65.238	53:2
65.508	53:3
65.778	54:1
66.028	54:2
66.358	54:3
66.669	55:1
66.988	55:2
67.388	55:3
67.928	56:1
68.478	56:2
69.038	56:3
69.558	57:1
69.868	57:2
70.178	57:3
70.428	58:1
70.663	58:2
70.968	58:3
71.238	59:1
71.478	59:2
71.778	59:3
72.018	60:1
72.228	60:2
72.528	60:3
72.788	61:1
73.038	61:2
73.338	61:3
73.638	62:1
73.928	62:2
74.288	62:3
74.618	63:1
75.058	63:2
75.414	63:3
75.888	64:1
76.598	64:2
