# !!!performance-id:	pid9072-19
# !!!title:	        Mazurka in B minor, Op. 30, No. 2
# !!!trials:	        1
# !!!date:	        2007/03/03/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Tatiana Shebanova
# !!!performance-date:	2002
# !!!label:	        DUX 0350/0351
# !!!label-title:	        Fryderyk Chopin: Complete Mazurkas
# !!!offset:		0
0.338	0:3
0.830	1:1
1.188	1:2
1.518	1:3
1.878	2:1
2.308	2:2
2.788	2:3
3.097	3:1
3.368	3:2
3.698	3:3
4.038	4:1
4.488	4:2
4.988	4:3
5.498	5:1
5.840	5:2
6.198	5:3
6.538	6:1
7.038	6:2
7.478	6:3
7.793	7:1
8.068	7:2
8.418	7:3
8.768	8:1
9.228	8:2
9.958	8:3
10.818	9:1
11.160	9:2
11.518	9:3
11.938	10:1
12.448	10:2
12.918	10:3
13.227	11:1
13.498	11:2
13.828	11:3
14.198	12:1
14.618	12:2
15.118	12:3
15.633	13:1
15.943	13:2
16.308	13:3
16.688	14:1
17.409	14:2
17.998	14:3
18.370	15:1
18.658	15:2
19.028	15:3
19.478	16:1
19.988	16:2
20.811	16:3
21.408	17:1
21.798	17:2
22.143	17:3
22.468	18:1
22.758	18:2
23.040	18:3
23.338	19:1
23.608	19:2
23.878	19:3
24.148	20:1
24.408	20:2
24.668	20:3
24.948	21:1
25.208	21:2
25.468	21:3
25.718	22:1
26.018	22:2
26.328	22:3
26.638	23:1
27.038	23:2
27.518	23:3
28.008	24:1
28.558	24:2
28.958	24:3
29.368	25:1
29.798	25:2
30.188	25:3
30.518	26:1
30.818	26:2
31.098	26:3
31.388	27:1
31.648	27:2
31.918	27:3
32.178	28:1
32.438	28:2
32.688	28:3
32.948	29:1
33.208	29:2
33.458	29:3
33.738	30:1
34.048	30:2
34.348	30:3
34.678	31:1
35.068	31:2
35.438	31:3
35.868	32:1
36.448	32:2
37.256	32:3
37.878	33:1
38.198	33:2
38.518	33:3
38.848	34:1
39.238	34:2
39.678	34:3
39.968	35:1
40.258	35:2
40.548	35:3
40.878	36:1
41.268	36:2
41.638	36:3
41.928	37:1
42.238	37:2
42.548	37:3
42.978	38:1
43.408	38:2
43.990	38:3
44.408	39:1
44.718	39:2
45.058	39:3
45.458	40:1
46.018	40:2
46.748	40:3
47.287	41:1
47.638	41:2
47.948	41:3
48.268	42:1
48.608	42:2
48.958	42:3
49.229	43:1
49.598	43:2
49.918	43:3
50.268	44:1
50.718	44:2
51.198	44:3
51.464	45:1
51.738	45:2
52.028	45:3
52.378	46:1
52.728	46:2
53.048	46:3
53.464	47:1
53.867	47:2
54.218	47:3
54.658	48:1
55.148	48:2
55.638	48:3
56.188	49:1
56.698	49:2
57.078	49:3
57.438	50:1
57.718	50:2
58.008	50:3
58.298	51:1
58.568	51:2
58.838	51:3
59.098	52:1
59.368	52:2
59.618	52:3
59.878	53:1
60.128	53:2
60.398	53:3
60.658	54:1
60.958	54:2
61.258	54:3
61.588	55:1
62.028	55:2
62.478	55:3
62.988	56:1
63.568	56:2
63.988	56:3
64.598	57:1
65.228	57:2
65.698	57:3
66.087	58:1
66.408	58:2
66.678	58:3
66.978	59:1
67.238	59:2
67.498	59:3
67.758	60:1
68.018	60:2
68.258	60:3
68.528	61:1
68.788	61:2
69.038	61:3
69.318	62:1
69.638	62:2
69.948	62:3
70.268	63:1
70.688	63:2
71.068	63:3
71.408	64:1
71.908	64:2
