# !!!performance-id:	pid9073-17
# !!!title:	        Mazurka in B minor, Op. 30, No. 2
# !!!trials:	        1
# !!!date:	        2007/03/01/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Joyce Hatto
# !!!performance-date:	1997
# !!!label:	        Con. Artist 92712
# !!!label-title:	        Chopin: The Mazurkas
# !!!offset:		0
0.478	0:3
0.946	1:1
1.298	1:2
1.818	1:3
2.248	2:1
2.648	2:2
3.368	2:3
3.998	3:1
4.318	3:2
4.818	3:3
5.228	4:1
5.758	4:2
6.568	4:3
7.378	5:1
7.767	5:2
8.248	5:3
8.708	6:1
9.308	6:2
9.988	6:3
10.618	7:1
11.028	7:2
11.498	7:3
12.058	8:1
12.588	8:2
13.343	8:3
14.151	9:1
14.478	9:2
15.058	9:3
15.458	10:1
16.148	10:2
16.888	10:3
17.548	11:1
17.888	11:2
18.368	11:3
18.798	12:1
19.498	12:2
20.298	12:3
21.118	13:1
21.468	13:2
21.988	13:3
22.448	14:1
23.268	14:2
23.948	14:3
24.638	15:1
25.008	15:2
25.538	15:3
25.998	16:1
26.658	16:2
27.538	16:3
28.168	17:1
28.848	17:2
29.418	17:3
29.868	18:1
30.248	18:2
30.738	18:3
31.118	19:1
31.458	19:2
31.888	19:3
32.248	20:1
32.578	20:2
32.988	20:3
33.358	21:1
33.678	21:2
34.065	21:3
34.384	22:1
34.702	22:2
35.058	22:3
35.380	23:1
35.718	23:2
36.178	23:3
36.688	24:1
37.308	24:2
38.028	24:3
38.588	25:1
39.069	25:2
39.608	25:3
40.018	26:1
40.368	26:2
40.858	26:3
41.238	27:1
41.558	27:2
41.968	27:3
42.328	28:1
42.648	28:2
43.078	28:3
43.418	29:1
43.738	29:2
44.108	29:3
44.445	30:1
44.778	30:2
45.218	30:3
45.608	31:1
46.098	31:2
46.578	31:3
47.068	32:1
47.628	32:2
48.282	32:3
49.024	33:1
49.306	33:2
49.768	33:3
50.108	34:1
50.608	34:2
51.088	34:3
51.448	35:1
51.718	35:2
52.168	35:3
52.508	36:1
52.988	36:2
53.355	36:3
53.694	37:1
54.038	37:2
54.398	37:3
54.768	38:1
55.198	38:2
55.567	38:3
56.108	39:1
56.678	39:2
57.078	39:3
57.488	40:1
58.008	40:2
58.708	40:3
59.288	41:1
59.648	41:2
60.168	41:3
60.618	42:1
61.128	42:2
61.648	42:3
61.947	43:1
62.208	43:2
62.628	43:3
62.948	44:1
63.348	44:2
63.698	44:3
63.984	45:1
64.278	45:2
64.688	45:3
65.098	46:1
65.598	46:2
66.148	46:3
66.588	47:1
67.178	47:2
67.678	47:3
68.248	48:1
68.958	48:2
69.808	48:3
70.441	49:1
71.018	49:2
71.486	49:3
71.858	50:1
72.198	50:2
72.539	50:3
72.858	51:1
73.158	51:2
73.498	51:3
73.818	52:1
74.088	52:2
74.458	52:3
74.768	53:1
75.048	53:2
75.388	53:3
75.688	54:1
75.968	54:2
76.338	54:3
76.698	55:1
76.988	55:2
77.368	55:3
77.778	56:1
78.318	56:2
79.018	56:3
79.708	57:1
80.237	57:2
80.738	57:3
81.168	58:1
81.518	58:2
81.898	58:3
82.249	59:1
82.568	59:2
82.908	59:3
83.248	60:1
83.558	60:2
83.918	60:3
84.258	61:1
84.598	61:2
84.935	61:3
85.348	62:1
85.688	62:2
86.078	62:3
86.468	63:1
86.968	63:2
87.428	63:3
87.898	64:1
88.608	64:2
