# !!!performance-id:	pid9074f-19
# !!!title:	        Mazurka in B minor, Op. 30, No. 2
# !!!trials:	        1
# !!!date:	        2007/03/02/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Nikita Magaloff
# !!!performance-date:	1977
# !!!label:	        Phillips 426 817/29-2
# !!!label-title:	        Chopin: The Complete Piano Music
# !!!offset:		0
1.698	0:3
2.338	1:1
2.728	1:2
3.338	1:3
3.758	2:1
4.108	2:2
4.708	2:3
5.172	3:1
5.584	3:2
5.978	3:3
6.378	4:1
6.768	4:2
7.448	4:3
8.168	5:1
8.508	5:2
9.068	5:3
9.468	6:1
9.828	6:2
10.278	6:3
10.708	7:1
10.998	7:2
11.448	7:3
11.928	8:1
12.478	8:2
13.353	8:3
14.228	9:1
14.698	9:2
15.278	9:3
15.708	10:1
16.118	10:2
16.678	10:3
17.235	11:1
17.670	11:2
18.068	11:3
18.458	12:1
18.898	12:2
19.578	12:3
20.230	13:1
20.735	13:2
21.268	13:3
21.668	14:1
22.118	14:2
22.568	14:3
23.038	15:1
23.428	15:2
23.858	15:3
24.278	16:1
24.788	16:2
25.588	16:3
26.138	17:1
26.688	17:2
27.168	17:3
27.538	18:1
27.858	18:2
28.268	18:3
28.608	19:1
28.918	19:2
29.268	19:3
29.588	20:1
29.908	20:2
30.268	20:3
30.578	21:1
30.929	21:2
31.288	21:3
31.628	22:1
31.958	22:2
32.358	22:3
32.748	23:1
33.138	23:2
33.658	23:3
34.228	24:1
34.778	24:2
35.840	24:3
36.339	25:1
36.818	25:2
37.288	25:3
37.688	26:1
38.028	26:2
38.378	26:3
38.708	27:1
39.018	27:2
39.368	27:3
39.678	28:1
39.978	28:2
40.328	28:3
40.598	29:1
40.928	29:2
41.248	29:3
41.588	30:1
41.888	30:2
42.288	30:3
42.688	31:1
43.172	31:2
43.808	31:3
44.448	32:1
45.208	32:2
46.155	32:3
46.707	33:1
47.218	33:2
47.728	33:3
48.108	34:1
48.508	34:2
48.928	34:3
49.238	35:1
49.578	35:2
49.908	35:3
50.258	36:1
50.628	36:2
51.058	36:3
51.542	37:1
52.088	37:2
52.598	37:3
53.028	38:1
53.468	38:2
53.772	38:3
54.168	39:1
54.528	39:2
54.908	39:3
55.268	40:1
55.718	40:2
56.398	40:3
57.048	41:1
57.568	41:2
58.108	41:3
58.568	42:1
59.028	42:2
59.478	42:3
59.808	43:1
60.188	43:2
60.638	43:3
60.998	44:1
61.378	44:2
61.738	44:3
62.200	45:1
62.758	45:2
63.198	45:3
63.588	46:1
63.938	46:2
64.290	46:3
64.859	47:1
65.338	47:2
65.918	47:3
66.418	48:1
67.008	48:2
67.628	48:3
68.151	49:1
68.598	49:2
69.008	49:3
69.438	50:1
69.758	50:2
70.108	50:3
70.508	51:1
70.808	51:2
71.168	51:3
71.508	52:1
71.818	52:2
72.158	52:3
72.488	53:1
72.758	53:2
73.088	53:3
73.388	54:1
73.688	54:2
74.088	54:3
74.458	55:1
74.738	55:2
75.198	55:3
75.718	56:1
76.198	56:2
76.738	56:3
77.218	57:1
77.746	57:2
78.158	57:3
78.634	58:1
78.978	58:2
79.318	58:3
79.688	59:1
80.008	59:2
80.358	59:3
80.698	60:1
81.028	60:2
81.358	60:3
81.678	61:1
82.018	61:2
82.368	61:3
82.718	62:1
83.078	62:2
83.508	62:3
83.928	63:1
84.478	63:2
85.128	63:3
85.568	64:1
86.218	64:2
