# !!!performance-id:	pid9088-14
# !!!title:	        Mazurka in B minor, Op. 30, No. 2
# !!!trials:	        1
# !!!date:	        2007/03/02/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Faina Lushtak
# !!!performance-date:	2004
# !!!label:	        Centaur CRC 2707
# !!!label-title:	        Chopin Mazurkas, Faina Lushtak, piano
# !!!offset:		0
0.188	0:3
1.020	1:1
1.278	1:2
1.698	1:3
2.078	2:1
2.568	2:2
3.038	2:3
3.518	3:1
3.758	3:2
4.078	3:3
4.398	4:1
4.738	4:2
5.218	4:3
5.658	5:1
6.008	5:2
6.468	5:3
6.808	6:1
7.168	6:2
7.518	6:3
7.869	7:1
8.110	7:2
8.438	7:3
8.798	8:1
9.258	8:2
10.098	8:3
11.098	9:1
11.308	9:2
11.668	9:3
12.048	10:1
12.508	10:2
12.938	10:3
13.328	11:1
13.555	11:2
13.848	11:3
14.128	12:1
14.518	12:2
14.898	12:3
15.358	13:1
15.588	13:2
15.928	13:3
16.318	14:1
16.838	14:2
17.318	14:3
17.645	15:1
17.898	15:2
18.218	15:3
18.598	16:1
19.167	16:2
19.992	16:3
20.758	17:1
21.408	17:2
22.028	17:3
22.418	18:1
22.708	18:2
23.037	18:3
23.308	19:1
23.608	19:2
24.068	19:3
24.328	20:1
24.588	20:2
24.878	20:3
25.128	21:1
25.400	21:2
25.688	21:3
25.968	22:1
26.218	22:2
26.548	22:3
26.888	23:1
27.318	23:2
27.798	23:3
28.248	24:1
28.690	24:2
29.358	24:3
29.998	25:1
30.458	25:2
31.088	25:3
31.551	26:1
31.848	26:2
32.228	26:3
32.502	27:1
32.748	27:2
33.138	27:3
33.388	28:1
33.638	28:2
33.968	28:3
34.200	29:1
34.488	29:2
34.758	29:3
35.018	30:1
35.268	30:2
35.558	30:3
35.908	31:1
36.348	31:2
36.768	31:3
37.178	32:1
37.818	32:2
38.657	32:3
39.343	33:1
39.868	33:2
40.418	33:3
40.798	34:1
41.128	34:2
41.461	34:3
41.706	35:1
41.968	35:2
42.258	35:3
42.578	36:1
42.938	36:2
43.258	36:3
43.548	37:1
43.818	37:2
44.118	37:3
44.448	38:1
44.788	38:2
45.138	38:3
45.739	39:1
45.968	39:2
46.318	39:3
46.728	40:1
47.238	40:2
47.955	40:3
48.494	41:1
48.938	41:2
49.408	41:3
49.738	42:1
50.058	42:2
50.388	42:3
50.608	43:1
50.858	43:2
51.138	43:3
51.418	44:1
51.708	44:2
52.028	44:3
52.318	45:1
52.658	45:2
53.018	45:3
53.328	46:1
53.668	46:2
54.078	46:3
54.731	47:1
54.958	47:2
55.348	47:3
55.898	48:1
56.608	48:2
57.502	48:3
58.458	49:1
58.978	49:2
59.648	49:3
60.302	50:1
60.628	50:2
61.018	50:3
61.298	51:1
61.608	51:2
62.038	51:3
62.310	52:1
62.598	52:2
62.918	52:3
63.155	53:1
63.448	53:2
63.698	53:3
63.968	54:1
64.208	54:2
64.528	54:3
64.878	55:1
65.268	55:2
65.728	55:3
66.208	56:1
66.688	56:2
67.388	56:3
68.128	57:1
68.638	57:2
69.408	57:3
70.163	58:1
70.498	58:2
70.948	58:3
71.228	59:1
71.518	59:2
71.958	59:3
72.208	60:1
72.468	60:2
72.768	60:3
73.012	61:1
73.268	61:2
73.558	61:3
73.818	62:1
74.058	62:2
74.408	62:3
74.808	63:1
75.378	63:2
75.828	63:3
76.188	64:1
76.948	64:2
