# !!!performance-id:	pid9054b-12
# !!!title:	        Mazurka in C-sharp minor, Op. 63, No. 3
# !!!trials:	        01/01
# !!!date:	        2007/03/30/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Ronald Smith
# !!!performance-date:	1975
# !!!label:	        EMI 724358576726
# !!!label-title:	       	Chopin Mazurkas
# !!!offset:		0
1.128	0:3
1.808	1:1
2.538	1:2
3.298	1:3
3.738	2:1
4.128	2:2
4.618	2:3
5.078	3:1
5.628	3:2
6.348	3:3
6.722	4:1
7.088	4:2
7.498	4:3
7.858	5:1
8.328	5:2
8.988	5:3
9.488	6:1
9.858	6:2
10.240	6:3
10.578	7:1
10.998	7:2
11.458	7:3
11.800	8:1
12.148	8:2
12.568	8:3
12.908	9:1
13.429	9:2
13.888	9:3
14.208	10:1
14.508	10:2
14.938	10:3
15.278	11:1
15.648	11:2
16.028	11:3
16.318	12:1
16.658	12:2
17.038	12:3
17.368	13:1
17.861	13:2
18.268	13:3
18.588	14:1
18.918	14:2
19.278	14:3
19.708	15:1
20.168	15:2
20.678	15:3
21.048	16:1
21.514	16:2
22.131	16:3
22.686	17:1
23.600	17:2
24.308	17:3
24.688	18:1
25.078	18:2
25.398	18:3
25.718	19:1
26.068	19:2
26.886	19:3
27.258	20:1
27.658	20:2
27.958	20:3
28.278	21:1
28.604	21:2
28.928	21:3
29.268	22:1
29.568	22:2
29.918	22:3
30.268	23:1
30.731	23:2
31.098	23:3
31.428	24:1
31.808	24:2
32.318	24:3
33.065	25:1
33.824	25:2
34.488	25:3
34.788	26:1
35.102	26:2
35.396	26:3
35.688	27:1
36.038	27:2
36.628	27:3
37.038	28:1
37.368	28:2
37.648	28:3
37.998	29:1
38.358	29:2
38.638	29:3
39.018	30:1
39.388	30:2
39.788	30:3
40.208	31:1
40.718	31:2
41.328	31:3
41.708	32:1
42.198	32:2
42.758	32:3
43.708	33:1
44.535	33:2
45.058	33:3
45.518	34:1
45.888	34:2
46.318	34:3
46.718	35:1
47.088	35:2
47.508	35:3
47.818	36:1
48.261	36:2
48.648	36:3
49.068	37:1
49.478	37:2
49.828	37:3
50.178	38:1
50.588	38:2
50.978	38:3
51.348	39:1
51.788	39:2
52.208	39:3
52.528	40:1
52.988	40:2
53.518	40:3
54.298	41:1
54.998	41:2
55.488	41:3
55.828	42:1
56.188	42:2
56.638	42:3
57.048	43:1
57.559	43:2
58.058	43:3
58.418	44:1
58.808	44:2
59.168	44:3
59.429	45:1
59.778	45:2
60.148	45:3
60.453	46:1
60.808	46:2
61.208	46:3
61.538	47:1
61.898	47:2
62.338	47:3
62.778	48:1
63.328	48:2
64.198	48:3
65.298	49:1
66.498	49:2
67.288	49:3
67.858	50:1
68.318	50:2
68.928	50:3
69.245	51:1
69.668	51:2
70.008	51:3
70.318	52:1
70.658	52:2
70.996	52:3
71.318	53:1
71.841	53:2
72.308	53:3
72.658	54:1
72.988	54:2
73.318	54:3
73.678	55:1
74.118	55:2
74.418	55:3
74.858	56:1
75.188	56:2
75.528	56:3
75.868	57:1
76.347	57:2
76.688	57:3
76.971	58:1
77.238	58:2
77.668	58:3
77.918	59:1
78.331	59:2
78.668	59:3
78.948	60:1
79.408	60:2
79.758	60:3
80.078	61:1
80.488	61:2
80.898	61:3
81.694	62:1
82.468	62:2
83.378	62:3
85.438	63:1
85.978	63:2
86.551	63:3
86.908	64:1
87.328	64:2
88.078	64:3
88.668	65:1
89.576	65:2
90.486	65:3
91.065	66:1
91.465	66:2
91.978	66:3
92.528	67:1
93.148	67:2
93.788	67:3
94.228	68:1
94.608	68:2
94.968	68:3
95.308	69:1
95.718	69:2
96.198	69:3
96.578	70:1
96.908	70:2
97.278	70:3
97.608	71:1
97.948	71:2
98.298	71:3
98.592	72:1
98.958	72:2
99.328	72:3
99.738	73:1
100.188	73:2
100.739	73:3
101.318	74:1
101.948	74:2
102.898	74:3
105.338	75:1
105.758	75:2
106.148	75:3
106.548	76:1
107.068	76:2
