# !!!performance-id: 	pid9058b-12
# !!!title:	        Mazurka in C-sharp minor, Op. 63, No. 3
# !!!trials:	        1
# !!!date:	        2007/03/30/
# !!!reverse-conductor: 	Craig Stuart Sapp
# !!!performer:	        Vladimir Ashkenazy
# !!!performance-date: 	1981
# !!!label:	        Decca 448 086-2
# !!!label-title:	        Chopin Mazurkas
# !!!offset:		0
0.041	0:3
0.648	1:1
1.398	1:2
2.118	1:3
2.668	2:1
3.218	2:2
3.798	2:3
4.258	3:1
4.698	3:2
5.248	3:3
5.728	4:1
6.198	4:2
6.718	4:3
7.158	5:1
7.628	5:2
8.228	5:3
8.928	6:1
9.548	6:2
10.098	6:3
10.668	7:1
11.218	7:2
11.778	7:3
12.428	8:1
12.968	8:2
13.518	8:3
14.018	9:1
14.518	9:2
15.058	9:3
15.518	10:1
15.978	10:2
16.418	10:3
16.828	11:1
17.198	11:2
17.608	11:3
18.088	12:1
18.538	12:2
19.038	12:3
19.598	13:1
20.258	13:2
20.730	13:3
21.188	14:1
21.638	14:2
22.038	14:3
22.538	15:1
23.028	15:2
23.498	15:3
24.038	16:1
24.636	16:2
25.168	16:3
25.868	17:1
26.588	17:2
27.198	17:3
27.688	18:1
28.328	18:2
28.798	18:3
29.278	19:1
29.798	19:2
30.428	19:3
30.998	20:1
31.548	20:2
31.968	20:3
32.438	21:1
32.845	21:2
33.258	21:3
33.688	22:1
34.118	22:2
34.628	22:3
35.138	23:1
35.658	23:2
36.218	23:3
36.808	24:1
37.498	24:2
38.228	24:3
39.213	25:1
40.484	25:2
41.308	25:3
41.928	26:1
42.588	26:2
43.058	26:3
43.508	27:1
44.008	27:2
44.628	27:3
45.238	28:1
45.828	28:2
46.298	28:3
46.852	29:1
47.398	29:2
47.968	29:3
48.448	30:1
48.898	30:2
49.368	30:3
49.868	31:1
50.428	31:2
51.078	31:3
51.868	32:1
52.818	32:2
53.878	32:3
54.938	33:1
55.668	33:2
56.218	33:3
56.708	34:1
57.168	34:2
57.678	34:3
58.148	35:1
58.628	35:2
59.188	35:3
59.678	36:1
60.298	36:2
60.888	36:3
61.458	37:1
61.918	37:2
62.328	37:3
62.778	38:1
63.198	38:2
63.638	38:3
64.268	39:1
65.078	39:2
65.738	39:3
66.238	40:1
66.748	40:2
67.398	40:3
67.938	41:1
68.378	41:2
68.908	41:3
69.388	42:1
69.778	42:2
70.218	42:3
70.658	43:1
71.068	43:2
71.528	43:3
71.918	44:1
72.358	44:2
72.908	44:3
73.298	45:1
73.678	45:2
74.168	45:3
74.638	46:1
75.048	46:2
75.488	46:3
76.078	47:1
76.568	47:2
77.088	47:3
77.935	48:1
78.894	48:2
79.708	48:3
80.688	49:1
81.558	49:2
82.438	49:3
83.338	50:1
84.168	50:2
84.818	50:3
85.358	51:1
85.818	51:2
86.238	51:3
86.758	52:1
87.318	52:2
87.848	52:3
88.458	53:1
89.248	53:2
89.928	53:3
90.718	54:1
91.408	54:2
91.963	54:3
92.508	55:1
93.018	55:2
93.498	55:3
94.068	56:1
94.548	56:2
95.078	56:3
95.598	57:1
96.098	57:2
96.658	57:3
97.248	58:1
97.778	58:2
98.200	58:3
98.658	59:1
99.158	59:2
99.668	59:3
100.392	60:1
101.028	60:2
101.778	60:3
102.608	61:1
103.328	61:2
103.848	61:3
104.608	62:1
105.288	62:2
106.628	62:3
109.198	63:1
109.968	63:2
110.658	63:3
111.468	64:1
112.308	64:2
113.148	64:3
114.138	65:1
115.148	65:2
116.058	65:3
116.938	66:1
118.008	66:2
118.798	66:3
119.588	67:1
120.433	67:2
121.378	67:3
122.158	68:1
122.788	68:2
123.388	68:3
123.958	69:1
124.678	69:2
125.308	69:3
125.998	70:1
126.548	70:2
127.028	70:3
127.498	71:1
128.078	71:2
128.588	71:3
129.248	72:1
130.078	72:2
130.958	72:3
131.858	73:1
132.558	73:2
133.098	73:3
133.658	74:1
134.278	74:2
135.442	74:3
137.868	75:1
138.388	75:2
138.828	75:3
139.248	76:1
139.988	76:2
