# !!!performance-id:	pid9064-21
# !!!title:	        Mazurka in C-sharp minor, Op. 63, No. 3
# !!!trials:	        1
# !!!date:	        2007/03/31/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Michel Block
# !!!performance-date:	1995
# !!!label:	        ProPiano PPR224507
# !!!label-title:	        Chopin Mazurkas
# !!!offset:		0
0.358	0:3
0.848	1:1
1.608	1:2
2.518	1:3
2.928	2:1
3.398	2:2
4.188	2:3
4.908	3:1
5.347	3:2
6.198	3:3
6.628	4:1
7.118	4:2
8.028	4:3
8.458	5:1
8.882	5:2
9.708	5:3
10.108	6:1
10.548	6:2
10.996	6:3
11.498	7:1
12.128	7:2
12.808	7:3
13.198	8:1
13.658	8:2
14.228	8:3
14.738	9:1
15.408	9:2
16.158	9:3
16.588	10:1
17.088	10:2
17.898	10:3
18.508	11:1
18.968	11:2
19.708	11:3
20.158	12:1
20.628	12:2
21.268	12:3
21.947	13:1
22.428	13:2
23.318	13:3
23.748	14:1
24.148	14:2
24.718	14:3
25.228	15:1
25.792	15:2
26.478	15:3
27.098	16:1
27.951	16:2
28.358	16:3
28.898	17:1
29.980	17:2
30.388	17:3
30.838	18:1
31.445	18:2
31.798	18:3
32.128	19:1
32.767	19:2
33.258	19:3
33.898	20:1
34.318	20:2
34.678	20:3
35.088	21:1
35.688	21:2
36.098	21:3
36.498	22:1
36.988	22:2
37.428	22:3
37.978	23:1
38.618	23:2
39.069	23:3
39.508	24:1
40.106	24:2
40.563	24:3
41.278	25:1
42.547	25:2
42.958	25:3
43.508	26:1
44.148	26:2
44.638	26:3
44.978	27:1
45.548	27:2
46.018	27:3
46.538	28:1
46.878	28:2
47.258	28:3
47.718	29:1
48.288	29:2
48.658	29:3
49.048	30:1
49.458	30:2
49.928	30:3
50.508	31:1
51.128	31:2
51.688	31:3
52.258	32:1
53.041	32:2
53.798	32:3
54.968	33:1
55.708	33:2
56.308	33:3
56.706	34:1
57.008	34:2
57.468	34:3
57.841	35:1
58.278	35:2
58.698	35:3
59.048	36:1
59.538	36:2
60.128	36:3
60.848	37:1
61.571	37:2
62.068	37:3
62.448	38:1
62.738	38:2
63.098	38:3
63.478	39:1
63.828	39:2
64.208	39:3
64.578	40:1
65.118	40:2
65.718	40:3
66.358	41:1
67.090	41:2
67.624	41:3
68.208	42:1
68.645	42:2
69.028	42:3
69.314	43:1
69.657	43:2
70.024	43:3
70.294	44:1
70.908	44:2
71.578	44:3
72.020	45:1
72.335	45:2
72.698	45:3
73.118	46:1
73.449	46:2
73.758	46:3
74.058	47:1
74.418	47:2
74.865	47:3
75.238	48:1
75.758	48:2
76.833	48:3
77.318	49:1
78.053	49:2
79.184	49:3
79.648	50:1
80.268	50:2
80.838	50:3
81.198	51:1
81.628	51:2
82.078	51:3
82.398	52:1
82.808	52:2
83.147	52:3
83.518	53:1
83.898	53:2
84.437	53:3
84.743	54:1
85.098	54:2
85.461	54:3
85.768	55:1
86.148	55:2
86.548	55:3
86.878	56:1
87.268	56:2
87.698	56:3
88.098	57:1
88.548	57:2
89.268	57:3
89.648	58:1
90.018	58:2
90.378	58:3
90.718	59:1
91.078	59:2
91.578	59:3
91.928	60:1
92.453	60:2
93.158	60:3
93.473	61:1
93.848	61:2
94.238	61:3
94.627	62:1
95.158	62:2
95.778	62:3
97.106	63:1
97.743	63:2
98.248	63:3
98.898	64:1
99.958	64:2
101.008	64:3
101.628	65:1
102.147	65:2
103.465	65:3
103.968	66:1
104.438	66:2
105.018	66:3
105.518	67:1
105.910	67:2
106.918	67:3
107.396	68:1
107.958	68:2
108.598	68:3
109.588	69:1
110.188	69:2
111.073	69:3
111.588	70:1
112.208	70:2
112.918	70:3
113.388	71:1
114.004	71:2
115.008	71:3
115.706	72:1
116.396	72:2
117.068	72:3
117.506	73:1
117.927	73:2
118.318	73:3
118.853	74:1
119.328	74:2
120.458	74:3
122.088	75:1
122.776	75:2
123.318	75:3
124.058	76:1
125.558	76:2
