# !!!performance-id:	pid9066b-12
# !!!title:	        Mazurka in C-sharp minor, Op. 63, No. 3
# !!!trials:	        1
# !!!date:	        2007/03/29/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Alfred Cortot
# !!!performance-date:	1951
# !!!label:	        Concert Artist 91812
# !!!label-title:	        Chopin: The Mazurkas
# !!!offset:		0
1.168	0:3
2.378	1:1
3.457	1:2
4.478	1:3
4.969	2:1
5.528	2:2
6.118	2:3
6.538	3:1
6.968	3:2
7.608	3:3
8.226	4:1
8.748	4:2
9.694	4:3
10.108	5:1
10.488	5:2
11.088	5:3
11.748	6:1
12.578	6:2
13.433	6:3
13.898	7:1
14.356	7:2
14.928	7:3
15.548	8:1
16.018	8:2
16.816	8:3
17.378	9:1
17.998	9:2
18.778	9:3
19.328	10:1
19.758	10:2
20.238	10:3
20.638	11:1
21.048	11:2
21.508	11:3
21.968	12:1
22.598	12:2
23.068	12:3
23.478	13:1
23.908	13:2
24.518	13:3
24.988	14:1
25.418	14:2
25.888	14:3
26.448	15:1
27.368	15:2
28.058	15:3
28.678	16:1
29.218	16:2
30.158	16:3
30.478	17:1
30.968	17:2
31.538	17:3
31.818	18:1
32.218	18:2
32.738	18:3
33.038	19:1
33.510	19:2
33.868	19:3
34.228	20:1
34.792	20:2
35.437	20:3
35.788	21:1
36.238	21:2
36.818	21:3
37.108	22:1
37.558	22:2
38.322	22:3
38.908	23:1
39.358	23:2
40.245	23:3
40.978	24:1
41.858	24:2
43.078	24:3
43.608	25:1
44.238	25:2
44.818	25:3
45.098	26:1
45.528	26:2
46.058	26:3
46.388	27:1
46.878	27:2
47.249	27:3
47.628	28:1
48.178	28:2
48.721	28:3
49.448	29:1
49.918	29:2
50.348	29:3
50.778	30:1
51.338	30:2
52.028	30:3
52.898	31:1
53.548	31:2
54.268	31:3
55.218	32:1
56.618	32:2
58.204	32:3
59.178	33:1
60.228	33:2
60.678	33:3
61.058	34:1
61.508	34:2
61.888	34:3
62.288	35:1
62.822	35:2
63.198	35:3
63.588	36:1
64.627	36:2
65.573	36:3
66.029	37:1
66.545	37:2
66.878	37:3
67.268	38:1
68.032	38:2
68.688	38:3
69.068	39:1
69.598	39:2
70.048	39:3
70.528	40:1
71.198	40:2
72.173	40:3
72.598	41:1
73.163	41:2
73.538	41:3
73.898	42:1
74.318	42:2
74.688	42:3
75.058	43:1
75.624	43:2
76.038	43:3
76.488	44:1
77.068	44:2
77.778	44:3
78.138	45:1
78.538	45:2
78.918	45:3
79.256	46:1
79.698	46:2
80.048	46:3
80.378	47:1
80.878	47:2
81.278	47:3
81.698	48:1
82.776	48:2
84.088	48:3
84.918	49:1
85.538	49:2
86.613	49:3
87.498	50:1
88.138	50:2
89.038	50:3
89.498	51:1
89.908	51:2
90.348	51:3
90.858	52:1
91.788	52:2
92.588	52:3
93.028	53:1
93.508	53:2
94.198	53:3
94.698	54:1
95.468	54:2
96.418	54:3
96.898	55:1
97.378	55:2
97.858	55:3
98.348	56:1
98.978	56:2
99.688	56:3
100.088	57:1
100.588	57:2
101.188	57:3
101.698	58:1
102.138	58:2
102.718	58:3
103.218	59:1
103.648	59:2
104.158	59:3
104.628	60:1
105.308	60:2
106.008	60:3
106.318	61:1
106.748	61:2
107.158	61:3
108.045	62:1
108.648	62:2
109.859	62:3
112.701	63:1
113.400	63:2
113.788	63:3
114.298	64:1
115.288	64:2
116.378	64:3
116.798	65:1
117.406	65:2
118.168	65:3
118.818	66:1
119.718	66:2
120.588	66:3
121.058	67:1
121.536	67:2
122.048	67:3
122.558	68:1
122.998	68:2
123.488	68:3
124.105	69:1
124.848	69:2
125.347	69:3
125.771	70:1
126.238	70:2
126.758	70:3
127.398	71:1
128.098	71:2
128.658	71:3
129.088	72:1
129.668	72:2
130.397	72:3
130.778	73:1
131.208	73:2
131.608	73:3
132.258	74:1
132.828	74:2
133.979	74:3
136.278	75:1
137.208	75:2
137.748	75:3
138.378	76:1
139.768	76:2
