# !!!performance-id:	pid9068-20
# !!!title:	        Mazurka in C-sharp minor, Op. 63, No. 3
# !!!trials:	        1
# !!!date:	        2007/03/31/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Sandor Falvay
# !!!performance-date:	1989
# !!!label:	        Naxos 8.550256
# !!!label-title:	        Chopin Mazurkas
# !!!offset:		0
0.057	0:3
0.638	1:1
1.438	1:2
2.012	1:3
2.428	2:1
2.848	2:2
3.438	2:3
3.848	3:1
4.288	3:2
4.788	3:3
5.148	4:1
5.528	4:2
6.098	4:3
6.478	5:1
6.918	5:2
7.448	5:3
7.868	6:1
8.268	6:2
8.778	6:3
9.178	7:1
9.638	7:2
10.108	7:3
10.478	8:1
10.888	8:2
11.378	8:3
11.858	9:1
12.488	9:2
12.958	9:3
13.348	10:1
13.718	10:2
14.208	10:3
14.578	11:1
14.968	11:2
15.438	11:3
15.788	12:1
16.188	12:2
16.748	12:3
17.268	13:1
17.938	13:2
18.448	13:3
18.848	14:1
19.228	14:2
19.638	14:3
20.058	15:1
20.598	15:2
21.048	15:3
21.538	16:1
22.086	16:2
22.538	16:3
23.048	17:1
23.678	17:2
24.082	17:3
24.498	18:1
25.058	18:2
25.448	18:3
25.868	19:1
26.368	19:2
26.838	19:3
27.248	20:1
27.608	20:2
27.928	20:3
28.328	21:1
28.738	21:2
29.088	21:3
29.428	22:1
29.818	22:2
30.178	22:3
30.628	23:1
31.088	23:2
31.458	23:3
31.841	24:1
32.253	24:2
32.688	24:3
33.218	25:1
33.910	25:2
34.318	25:3
34.758	26:1
35.308	26:2
35.708	26:3
36.128	27:1
36.608	27:2
37.078	27:3
37.488	28:1
37.838	28:2
38.178	28:3
38.538	29:1
38.968	29:2
39.368	29:3
39.718	30:1
40.098	30:2
40.478	30:3
40.938	31:1
41.398	31:2
41.788	31:3
42.218	32:1
42.748	32:2
43.378	32:3
44.098	33:1
44.778	33:2
45.328	33:3
45.838	34:1
46.278	34:2
46.888	34:3
47.518	35:1
48.058	35:2
48.548	35:3
49.038	36:1
49.563	36:2
50.148	36:3
50.818	37:1
51.398	37:2
51.888	37:3
52.348	38:1
52.818	38:2
53.358	38:3
53.908	39:1
54.438	39:2
54.888	39:3
55.398	40:1
55.898	40:2
56.488	40:3
57.238	41:1
57.868	41:2
58.348	41:3
58.808	42:1
59.248	42:2
59.708	42:3
60.128	43:1
60.588	43:2
61.108	43:3
61.528	44:1
62.028	44:2
62.598	44:3
63.228	45:1
63.708	45:2
64.178	45:3
64.608	46:1
65.068	46:2
65.538	46:3
66.018	47:1
66.528	47:2
66.938	47:3
67.388	48:1
67.938	48:2
68.588	48:3
69.108	49:1
69.665	49:2
70.155	49:3
70.568	50:1
71.068	50:2
71.638	50:3
72.008	51:1
72.448	51:2
72.868	51:3
73.248	52:1
73.718	52:2
74.090	52:3
74.468	53:1
74.978	53:2
75.468	53:3
75.828	54:1
76.218	54:2
76.668	54:3
77.058	55:1
77.538	55:2
77.968	55:3
78.378	56:1
78.828	56:2
79.328	56:3
79.858	57:1
80.578	57:2
81.138	57:3
81.518	58:1
81.888	58:2
82.358	58:3
82.708	59:1
83.128	59:2
83.518	59:3
83.868	60:1
84.308	60:2
84.778	60:3
85.128	61:1
85.478	61:2
85.898	61:3
86.248	62:1
86.678	62:2
87.198	62:3
88.592	63:1
89.114	63:2
89.510	63:3
89.878	64:1
90.298	64:2
90.928	64:3
91.820	65:1
92.669	65:2
93.338	65:3
93.788	66:1
94.208	66:2
94.818	66:3
95.598	67:1
96.168	67:2
96.708	67:3
97.158	68:1
97.588	68:2
98.038	68:3
98.508	69:1
99.018	69:2
99.618	69:3
100.098	70:1
100.538	70:2
100.955	70:3
101.418	71:1
101.888	71:2
102.478	71:3
102.918	72:1
103.388	72:2
103.918	72:3
104.478	73:1
104.922	73:2
105.314	73:3
105.728	74:1
106.188	74:2
106.908	74:3
109.248	75:1
109.808	75:2
110.198	75:3
110.608	76:1
111.188	76:2
