# !!!performance-id:	pid9069-12
# !!!title:	        Mazurka in C-sharp minor, Op. 63, No. 3
# !!!trials:	        1
# !!!date:	        2007/03/31/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Patrick Cohen
# !!!performance-date:	1997
# !!!label:	        Glossa 920507
# !!!label-title:	        Les Mazurkas II
# !!!offset:		0
0.358	0:3
1.158	1:1
1.710	1:2
2.198	1:3
2.698	2:1
3.196	2:2
3.728	2:3
4.348	3:1
4.798	3:2
5.258	3:3
5.721	4:1
6.158	4:2
6.658	4:3
7.138	5:1
7.788	5:2
8.358	5:3
8.835	6:1
9.436	6:2
9.915	6:3
10.408	7:1
10.888	7:2
11.328	7:3
11.858	8:1
12.398	8:2
13.172	8:3
13.764	9:1
14.498	9:2
15.048	9:3
15.538	10:1
15.914	10:2
16.388	10:3
16.818	11:1
17.298	11:2
17.928	11:3
18.368	12:1
19.038	12:2
19.518	12:3
20.068	13:1
20.858	13:2
21.538	13:3
22.038	14:1
22.508	14:2
22.978	14:3
23.468	15:1
24.028	15:2
24.528	15:3
25.147	16:1
26.032	16:2
26.568	16:3
27.008	17:1
27.688	17:2
28.528	17:3
28.988	18:1
29.538	18:2
30.198	18:3
30.848	19:1
31.576	19:2
32.118	19:3
32.598	20:1
33.178	20:2
33.708	20:3
34.208	21:1
34.638	21:2
35.088	21:3
35.550	22:1
36.018	22:2
36.588	22:3
37.328	23:1
37.948	23:2
38.368	23:3
38.778	24:1
39.318	24:2
39.858	24:3
40.228	25:1
40.798	25:2
41.398	25:3
41.868	26:1
42.608	26:2
43.108	26:3
43.508	27:1
44.173	27:2
44.858	27:3
45.378	28:1
45.898	28:2
46.278	28:3
46.808	29:1
47.258	29:2
47.778	29:3
48.338	30:1
48.948	30:2
49.408	30:3
49.848	31:1
50.338	31:2
50.968	31:3
51.718	32:1
52.448	32:2
53.673	32:3
54.308	33:1
55.258	33:2
55.878	33:3
56.478	34:1
57.028	34:2
57.628	34:3
58.448	35:1
59.048	35:2
59.538	35:3
60.088	36:1
60.618	36:2
61.238	36:3
62.038	37:1
62.871	37:2
63.428	37:3
63.928	38:1
64.441	38:2
65.128	38:3
65.759	39:1
66.540	39:2
67.098	39:3
67.733	40:1
68.508	40:2
69.298	40:3
70.557	41:1
71.348	41:2
72.156	41:3
72.828	42:1
73.418	42:2
74.288	42:3
74.938	43:1
75.528	43:2
76.318	43:3
76.913	44:1
77.668	44:2
78.508	44:3
79.568	45:1
80.248	45:2
80.898	45:3
81.488	46:1
82.068	46:2
83.008	46:3
83.638	47:1
84.178	47:2
84.678	47:3
85.178	48:1
86.137	48:2
87.038	48:3
88.247	49:1
89.458	49:2
90.178	49:3
91.629	50:1
92.358	50:2
93.504	50:3
94.168	51:1
94.703	51:2
95.488	51:3
96.630	52:1
97.288	52:2
98.337	52:3
99.036	53:1
99.765	53:2
100.578	53:3
101.335	54:1
102.148	54:2
102.838	54:3
103.648	55:1
104.336	55:2
105.088	55:3
105.778	56:1
106.418	56:2
107.058	56:3
107.688	57:1
108.318	57:2
108.908	57:3
109.478	58:1
110.038	58:2
110.618	58:3
111.138	59:1
111.698	59:2
112.258	59:3
112.968	60:1
113.768	60:2
114.348	60:3
114.848	61:1
115.568	61:2
116.118	61:3
116.941	62:1
117.917	62:2
118.518	62:3
122.543	63:1
123.378	63:2
123.888	63:3
124.298	64:1
124.908	64:2
125.668	64:3
126.498	65:1
127.348	65:2
128.038	65:3
128.698	66:1
129.370	66:2
130.068	66:3
130.998	67:1
131.692	67:2
132.408	67:3
133.230	68:1
133.888	68:2
134.658	68:3
135.528	69:1
136.298	69:2
137.238	69:3
137.908	70:1
138.548	70:2
139.188	70:3
140.028	71:1
140.864	71:2
141.718	71:3
142.368	72:1
143.208	72:2
144.118	72:3
145.028	73:1
145.878	73:2
146.538	73:3
147.178	74:1
147.998	74:2
148.708	74:3
151.168	75:1
152.126	75:2
152.668	75:3
153.258	76:1
154.198	76:2
