# !!!performance-id:	pid9070b-23
# !!!title:	        Mazurka in C-sharp minor, Op. 63, No. 3
# !!!trials:	        1
# !!!date:	        2006/03/31/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Samson Francois
# !!!performance-date:	1956
# !!!label:	        EMI CZS 7 67413 2
# !!!label-title:	        Chopin: 51 Mazurkas, Sonates 2 & 3
# !!!offset:		0
0.548	0:3
0.938	1:1
1.378	1:2
1.798	1:3
2.148	2:1
2.518	2:2
2.908	2:3
3.298	3:1
3.668	3:2
4.038	3:3
4.408	4:1
4.788	4:2
5.168	4:3
5.528	5:1
6.058	5:2
6.458	5:3
6.778	6:1
7.138	6:2
7.518	6:3
8.028	7:1
8.571	7:2
9.058	7:3
9.498	8:1
9.838	8:2
10.268	8:3
10.618	9:1
11.131	9:2
11.538	9:3
11.967	10:1
12.368	10:2
12.698	10:3
13.038	11:1
13.468	11:2
13.788	11:3
14.161	12:1
14.558	12:2
14.828	12:3
15.238	13:1
15.638	13:2
15.968	13:3
16.418	14:1
16.778	14:2
17.110	14:3
17.508	15:1
17.958	15:2
18.318	15:3
18.797	16:1
19.316	16:2
19.760	16:3
20.088	17:1
20.528	17:2
21.008	17:3
21.368	18:1
21.830	18:2
22.168	18:3
22.478	19:1
23.014	19:2
23.398	19:3
23.808	20:1
24.138	20:2
24.401	20:3
24.738	21:1
25.063	21:2
25.378	21:3
25.738	22:1
26.143	22:2
26.569	22:3
26.878	23:1
27.288	23:2
27.623	23:3
27.907	24:1
28.317	24:2
29.016	24:3
29.800	25:1
30.433	25:2
31.078	25:3
31.448	26:1
31.818	26:2
32.208	26:3
32.538	27:1
33.071	27:2
33.478	27:3
33.878	28:1
34.212	28:2
34.482	28:3
34.768	29:1
35.027	29:2
35.378	29:3
35.758	30:1
36.028	30:2
36.272	30:3
36.586	31:1
36.937	31:2
37.329	31:3
37.727	32:1
38.428	32:2
39.238	32:3
39.819	33:1
40.171	33:2
40.508	33:3
40.858	34:1
41.398	34:2
41.758	34:3
42.148	35:1
42.508	35:2
42.848	35:3
43.198	36:1
43.558	36:2
44.128	36:3
44.849	37:1
45.273	37:2
45.608	37:3
45.998	38:1
46.312	38:2
46.618	38:3
46.928	39:1
47.473	39:2
47.828	39:3
48.098	40:1
48.508	40:2
48.988	40:3
49.476	41:1
49.830	41:2
50.188	41:3
50.518	42:1
50.878	42:2
51.328	42:3
51.658	43:1
52.018	43:2
52.378	43:3
52.708	44:1
53.158	44:2
53.850	44:3
54.399	45:1
54.901	45:2
55.288	45:3
55.628	46:1
55.968	46:2
56.288	46:3
56.648	47:1
57.130	47:2
57.638	47:3
58.238	48:1
59.074	48:2
59.718	48:3
60.318	49:1
61.179	49:2
61.638	49:3
62.270	50:1
62.638	50:2
63.038	50:3
63.428	51:1
63.868	51:2
64.197	51:3
64.578	52:1
64.908	52:2
65.398	52:3
65.837	53:1
66.268	53:2
66.604	53:3
66.949	54:1
67.419	54:2
67.808	54:3
68.068	55:1
68.438	55:2
68.788	55:3
69.228	56:1
69.618	56:2
70.368	56:3
70.798	57:1
71.404	57:2
71.808	57:3
72.128	58:1
72.468	58:2
72.858	58:3
73.248	59:1
73.638	59:2
73.938	59:3
74.288	60:1
74.618	60:2
74.888	60:3
75.201	61:1
75.558	61:2
75.831	61:3
76.347	62:1
76.768	62:2
77.418	62:3
78.048	63:1
78.648	63:2
79.018	63:3
79.308	64:1
79.894	64:2
80.338	64:3
80.708	65:1
81.340	65:2
81.737	65:3
82.033	66:1
82.527	66:2
83.066	66:3
83.448	67:1
83.923	67:2
84.457	67:3
84.912	68:1
85.268	68:2
85.668	68:3
86.018	69:1
86.518	69:2
86.848	69:3
87.258	70:1
87.638	70:2
87.954	70:3
88.282	71:1
88.728	71:2
89.022	71:3
89.359	72:1
89.808	72:2
90.238	72:3
90.543	73:1
90.988	73:2
91.338	73:3
91.698	74:1
92.098	74:2
92.897	74:3
94.178	75:1
94.738	75:2
95.128	75:3
95.528	76:1
96.208	76:2
