# !!!performance-id:	pid9071b-22
# !!!title:	        Mazurka in C-sharp minor, Op. 63, No. 3
# !!!trials:	        1
# !!!date:	        2007/03/31/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Fou Ts'ong
# !!!performance-date:	1984
# !!!label:	        Sony SB2K 53 246
# !!!label-title:	        Chopin Mazurkas
# !!!offset:		0
0.468	0:3
0.918	1:1
1.628	1:2
2.198	1:3
2.588	2:1
2.920	2:2
3.309	2:3
3.658	3:1
3.998	3:2
4.488	3:3
4.828	4:1
5.158	4:2
5.588	4:3
5.918	5:1
6.298	5:2
6.828	5:3
7.308	6:1
7.708	6:2
8.088	6:3
8.448	7:1
9.096	7:2
9.538	7:3
9.908	8:1
10.238	8:2
10.768	8:3
11.148	9:1
11.767	9:2
12.288	9:3
12.638	10:1
12.988	10:2
13.348	10:3
13.668	11:1
14.048	11:2
14.448	11:3
14.798	12:1
15.158	12:2
15.508	12:3
15.888	13:1
16.438	13:2
16.958	13:3
17.450	14:1
17.858	14:2
18.288	14:3
18.728	15:1
19.458	15:2
19.988	15:3
20.438	16:1
21.002	16:2
21.368	16:3
21.728	17:1
22.288	17:2
22.638	17:3
22.965	18:1
23.548	18:2
23.888	18:3
24.218	19:1
24.689	19:2
25.198	19:3
25.678	20:1
26.028	20:2
26.338	20:3
26.658	21:1
27.008	21:2
27.318	21:3
27.638	22:1
28.078	22:2
28.458	22:3
28.878	23:1
29.228	23:2
29.728	23:3
30.038	24:1
30.588	24:2
31.138	24:3
31.818	25:1
32.659	25:2
33.170	25:3
33.618	26:1
34.208	26:2
34.568	26:3
34.908	27:1
35.328	27:2
35.858	27:3
36.298	28:1
36.618	28:2
36.948	28:3
37.288	29:1
37.628	29:2
38.038	29:3
38.398	30:1
38.690	30:2
39.058	30:3
39.438	31:1
39.808	31:2
40.188	31:3
40.718	32:1
41.378	32:2
42.018	32:3
42.778	33:1
43.508	33:2
44.008	33:3
44.408	34:1
44.698	34:2
45.082	34:3
45.412	35:1
45.798	35:2
46.188	35:3
46.481	36:1
47.131	36:2
47.748	36:3
48.158	37:1
48.558	37:2
48.878	37:3
49.198	38:1
49.518	38:2
49.838	38:3
50.228	39:1
50.741	39:2
51.178	39:3
51.528	40:1
52.158	40:2
52.718	40:3
53.408	41:1
54.329	41:2
54.848	41:3
55.198	42:1
55.568	42:2
55.928	42:3
56.198	43:1
56.538	43:2
56.868	43:3
57.255	44:1
57.696	44:2
58.298	44:3
58.808	45:1
59.368	45:2
59.788	45:3
60.118	46:1
60.468	46:2
60.828	46:3
61.168	47:1
61.538	47:2
61.918	47:3
62.318	48:1
62.878	48:2
63.738	48:3
64.728	49:1
65.408	49:2
66.198	49:3
66.688	50:1
67.168	50:2
67.558	50:3
67.948	51:1
68.338	51:2
68.788	51:3
69.228	52:1
69.730	52:2
70.128	52:3
70.558	53:1
71.128	53:2
71.818	53:3
72.504	54:1
73.058	54:2
73.488	54:3
73.908	55:1
74.652	55:2
75.168	55:3
75.546	56:1
75.938	56:2
76.378	56:3
76.738	57:1
77.198	57:2
77.758	57:3
78.118	58:1
78.448	58:2
78.797	58:3
79.138	59:1
79.528	59:2
79.958	59:3
80.518	60:1
81.028	60:2
81.408	60:3
81.711	61:1
82.028	61:2
82.328	61:3
82.738	62:1
83.238	62:2
83.778	62:3
85.558	63:1
86.098	63:2
86.468	63:3
86.948	64:1
87.548	64:2
88.138	64:3
89.078	65:1
89.818	65:2
90.807	65:3
91.538	66:1
92.218	66:2
92.828	66:3
93.780	67:1
95.068	67:2
96.090	67:3
96.723	68:1
97.188	68:2
97.638	68:3
98.108	69:1
98.923	69:2
99.698	69:3
100.142	70:1
100.538	70:2
100.943	70:3
101.308	71:1
102.116	71:2
102.528	71:3
102.928	72:1
103.568	72:2
104.008	72:3
104.478	73:1
104.918	73:2
105.338	73:3
105.718	74:1
106.178	74:2
107.230	74:3
110.288	75:1
110.887	75:2
111.298	75:3
111.628	76:1
112.408	76:2
