# !!!performance-id:	pid9072b-16
# !!!title:	        Mazurka in C-sharp minor, Op. 63, No. 3
# !!!trials:	        1
# !!!date:	        2007/03/31/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Tatiana Shebanova
# !!!performance-date:	2002
# !!!label:	        DUX 0350/0351
# !!!label-title:	        Fryderyk Chopin: Complete Mazurkas
# !!!offset:		0
0.368	0:3
0.938	1:1
1.698	1:2
2.200	1:3
2.578	2:1
3.048	2:2
3.628	2:3
4.078	3:1
4.438	3:2
4.868	3:3
5.328	4:1
5.818	4:2
6.398	4:3
6.948	5:1
7.508	5:2
7.958	5:3
8.408	6:1
8.818	6:2
9.228	6:3
9.588	7:1
9.938	7:2
10.358	7:3
10.798	8:1
11.258	8:2
11.698	8:3
12.268	9:1
12.898	9:2
13.348	9:3
13.818	10:1
14.388	10:2
14.908	10:3
15.298	11:1
15.638	11:2
16.028	11:3
16.398	12:1
16.788	12:2
17.228	12:3
17.708	13:1
18.288	13:2
18.898	13:3
19.348	14:1
19.688	14:2
20.098	14:3
20.478	15:1
20.968	15:2
21.518	15:3
22.068	16:1
22.727	16:2
23.518	16:3
23.938	17:1
24.598	17:2
25.223	17:3
25.608	18:1
26.228	18:2
26.588	18:3
26.928	19:1
27.278	19:2
27.648	19:3
28.058	20:1
28.508	20:2
28.838	20:3
29.168	21:1
29.588	21:2
29.948	21:3
30.338	22:1
30.748	22:2
31.228	22:3
31.658	23:1
32.118	23:2
32.478	23:3
32.898	24:1
33.468	24:2
34.052	24:3
34.928	25:1
35.974	25:2
36.878	25:3
37.288	26:1
37.912	26:2
38.388	26:3
38.708	27:1
39.068	27:2
39.438	27:3
39.808	28:1
40.158	28:2
40.478	28:3
40.838	29:1
41.258	29:2
41.658	29:3
41.987	30:1
42.338	30:2
42.748	30:3
43.238	31:1
43.748	31:2
44.168	31:3
44.668	32:1
45.398	32:2
46.348	32:3
47.188	33:1
47.768	33:2
48.298	33:3
48.728	34:1
49.068	34:2
49.478	34:3
49.858	35:1
50.218	35:2
50.618	35:3
50.988	36:1
51.368	36:2
51.858	36:3
52.328	37:1
52.708	37:2
53.098	37:3
53.518	38:1
53.838	38:2
54.188	38:3
54.558	39:1
54.958	39:2
55.328	39:3
55.708	40:1
56.118	40:2
56.618	40:3
57.218	41:1
57.668	41:2
58.028	41:3
58.468	42:1
58.818	42:2
59.178	42:3
59.568	43:1
59.908	43:2
60.308	43:3
60.618	44:1
61.008	44:2
61.468	44:3
61.978	45:1
62.328	45:2
62.678	45:3
63.148	46:1
63.518	46:2
63.838	46:3
64.278	47:1
64.688	47:2
65.078	47:3
65.668	48:1
66.268	48:2
67.048	48:3
67.808	49:1
68.668	49:2
69.328	49:3
69.898	50:1
70.528	50:2
71.192	50:3
71.628	51:1
72.178	51:2
72.591	51:3
72.948	52:1
73.538	52:2
74.238	52:3
74.818	53:1
75.508	53:2
76.028	53:3
76.438	54:1
76.858	54:2
77.247	54:3
77.608	55:1
77.978	55:2
78.356	55:3
78.778	56:1
79.278	56:2
79.808	56:3
80.428	57:1
81.118	57:2
81.588	57:3
81.958	58:1
82.358	58:2
82.738	58:3
83.208	59:1
83.638	59:2
84.008	59:3
84.358	60:1
84.778	60:2
85.328	60:3
85.738	61:1
86.078	61:2
86.458	61:3
86.888	62:1
87.388	62:2
88.128	62:3
90.188	63:1
90.838	63:2
91.278	63:3
91.688	64:1
92.278	64:2
93.138	64:3
94.018	65:1
94.708	65:2
95.268	65:3
95.718	66:1
96.282	66:2
96.808	66:3
97.248	67:1
97.658	67:2
98.068	67:3
98.493	68:1
98.948	68:2
99.328	68:3
99.768	69:1
100.338	69:2
100.908	69:3
101.348	70:1
101.718	70:2
102.068	70:3
102.428	71:1
102.848	71:2
103.278	71:3
103.668	72:1
104.058	72:2
104.568	72:3
105.018	73:1
105.408	73:2
105.788	73:3
106.198	74:1
106.738	74:2
107.398	74:3
109.858	75:1
110.518	75:2
110.918	75:3
111.408	76:1
112.068	76:2
