# !!!performance-id:	pid9073b-16
# !!!title:	        Mazurka in C-sharp minor, Op. 63, No. 3
# !!!trials:	        1
# !!!date:	        2007/03/31/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Joyce Hatto
# !!!performance-date:	1997
# !!!label:	        Concert Artist 92712
# !!!label-title:	        Chopin: The Mazurkas
# !!!offset:		0
0.668	0:3
1.158	1:1
1.878	1:2
2.628	1:3
3.088	2:1
3.488	2:2
4.178	2:3
4.748	3:1
5.398	3:2
5.928	3:3
6.348	4:1
6.748	4:2
7.378	4:3
7.908	5:1
8.448	5:2
9.058	5:3
9.518	6:1
9.958	6:2
10.518	6:3
10.998	7:1
11.468	7:2
12.178	7:3
12.768	8:1
13.268	8:2
13.978	8:3
14.478	9:1
14.996	9:2
15.558	9:3
15.998	10:1
16.388	10:2
17.038	10:3
17.488	11:1
17.968	11:2
18.468	11:3
18.908	12:1
19.318	12:2
19.988	12:3
20.638	13:1
21.268	13:2
21.898	13:3
22.358	14:1
22.838	14:2
23.378	14:3
23.868	15:1
24.358	15:2
25.048	15:3
25.618	16:1
26.339	16:2
26.848	16:3
27.278	17:1
27.788	17:2
28.358	17:3
28.768	18:1
29.218	18:2
29.648	18:3
29.978	19:1
30.448	19:2
31.038	19:3
31.518	20:1
32.018	20:2
32.428	20:3
32.868	21:1
33.358	21:2
33.858	21:3
34.278	22:1
34.788	22:2
35.268	22:3
35.658	23:1
36.128	23:2
36.558	23:3
37.028	24:1
37.558	24:2
38.078	24:3
38.648	25:1
39.478	25:2
40.098	25:3
40.568	26:1
41.268	26:2
41.798	26:3
42.198	27:1
42.718	27:2
43.338	27:3
43.778	28:1
44.278	28:2
44.688	28:3
45.158	29:1
45.580	29:2
46.068	29:3
46.518	30:1
47.028	30:2
47.528	30:3
48.048	31:1
48.598	31:2
49.138	31:3
49.818	32:1
50.728	32:2
51.798	32:3
52.428	33:1
52.918	33:2
53.368	33:3
53.798	34:1
54.143	34:2
54.568	34:3
54.968	35:1
55.388	35:2
55.758	35:3
56.138	36:1
56.548	36:2
57.038	36:3
57.488	37:1
57.918	37:2
58.318	37:3
58.708	38:1
59.068	38:2
59.558	38:3
59.998	39:1
60.478	39:2
60.918	39:3
61.348	40:1
61.882	40:2
62.488	40:3
63.148	41:1
63.748	41:2
64.178	41:3
64.628	42:1
65.048	42:2
65.508	42:3
65.948	43:1
66.398	43:2
66.808	43:3
67.198	44:1
67.648	44:2
68.188	44:3
68.768	45:1
69.318	45:2
69.688	45:3
70.118	46:1
70.608	46:2
71.098	46:3
71.568	47:1
72.108	47:2
72.618	47:3
73.188	48:1
73.967	48:2
74.848	48:3
76.068	49:1
77.078	49:2
77.828	49:3
78.828	50:1
79.818	50:2
80.528	50:3
80.968	51:1
81.608	51:2
82.196	51:3
82.688	52:1
83.378	52:2
84.028	52:3
84.498	53:1
85.212	53:2
85.828	53:3
86.348	54:1
86.898	54:2
87.418	54:3
87.978	55:1
88.478	55:2
89.208	55:3
89.858	56:1
90.408	56:2
91.078	56:3
91.608	57:1
92.328	57:2
92.918	57:3
93.358	58:1
93.798	58:2
94.408	58:3
94.928	59:1
95.418	59:2
95.938	59:3
96.468	60:1
97.298	60:2
97.928	60:3
98.648	61:1
99.528	61:2
100.268	61:3
101.208	62:1
102.178	62:2
103.984	62:3
106.528	63:1
107.268	63:2
107.908	63:3
108.453	64:1
109.228	64:2
110.148	64:3
111.008	65:1
111.788	65:2
112.498	65:3
113.218	66:1
113.778	66:2
114.368	66:3
115.068	67:1
115.888	67:2
116.339	67:3
116.918	68:1
117.608	68:2
118.198	68:3
118.708	69:1
119.458	69:2
120.028	69:3
120.678	70:1
121.218	70:2
121.778	70:3
122.298	71:1
122.838	71:2
123.388	71:3
124.088	72:1
124.918	72:2
125.718	72:3
126.588	73:1
127.458	73:2
128.228	73:3
128.918	74:1
129.688	74:2
131.118	74:3
133.168	75:1
133.828	75:2
134.418	75:3
134.988	76:1
135.848	76:2
