# !!!performance-id:	pid9074g-12
# !!!title:	        Mazurka in C-sharp minor, Op. 63, No. 3
# !!!trials:	        1
# !!!date:	        2007/03/31/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Nikita Magaloff
# !!!performance-date:	1978
# !!!label:	        Phillips 426 817/29-2
# !!!label-title:	        Chopin: The Complete Piano Music
# !!!offset:		0
2.338	0:3
2.868	1:1
3.538	1:2
4.208	1:3
4.698	2:1
5.108	2:2
5.818	2:3
6.268	3:1
6.698	3:2
7.138	3:3
7.528	4:1
7.968	4:2
8.578	4:3
9.028	5:1
9.528	5:2
10.258	5:3
10.818	6:1
11.388	6:2
11.928	6:3
12.348	7:1
12.788	7:2
13.448	7:3
13.908	8:1
14.302	8:2
14.738	8:3
15.148	9:1
15.588	9:2
16.078	9:3
16.458	10:1
16.868	10:2
17.328	10:3
17.688	11:1
18.218	11:2
18.778	11:3
19.218	12:1
19.598	12:2
20.008	12:3
20.388	13:1
20.958	13:2
21.558	13:3
22.118	14:1
22.578	14:2
22.988	14:3
23.428	15:1
23.996	15:2
24.668	15:3
25.398	16:1
26.278	16:2
27.118	16:3
27.578	17:1
28.328	17:2
28.918	17:3
29.328	18:1
29.908	18:2
30.408	18:3
30.698	19:1
31.148	19:2
31.688	19:3
32.128	20:1
32.548	20:2
32.888	20:3
33.258	21:1
33.688	21:2
34.098	21:3
34.468	22:1
34.848	22:2
35.328	22:3
35.858	23:1
36.368	23:2
36.788	23:3
37.158	24:1
37.669	24:2
38.268	24:3
38.935	25:1
39.747	25:2
40.408	25:3
40.838	26:1
41.398	26:2
41.828	26:3
42.218	27:1
42.658	27:2
43.258	27:3
43.708	28:1
44.238	28:2
44.618	28:3
44.978	29:1
45.358	29:2
45.768	29:3
46.138	30:1
46.548	30:2
47.058	30:3
47.608	31:1
48.188	31:2
48.976	31:3
49.518	32:1
50.308	32:2
51.168	32:3
51.838	33:1
52.408	33:2
52.938	33:3
53.438	34:1
53.918	34:2
54.408	34:3
54.888	35:1
55.348	35:2
55.818	35:3
56.278	36:1
56.758	36:2
57.208	36:3
57.682	37:1
58.168	37:2
58.638	37:3
59.188	38:1
59.747	38:2
60.398	38:3
60.928	39:1
61.398	39:2
61.868	39:3
62.318	40:1
62.894	40:2
63.608	40:3
64.208	41:1
64.878	41:2
65.438	41:3
65.908	42:1
66.348	42:2
66.828	42:3
67.258	43:1
67.728	43:2
68.138	43:3
68.528	44:1
68.978	44:2
69.645	44:3
70.278	45:1
70.947	45:2
71.538	45:3
72.018	46:1
72.731	46:2
73.418	46:3
73.878	47:1
74.429	47:2
74.894	47:3
75.508	48:1
76.261	48:2
76.918	48:3
77.388	49:1
78.098	49:2
78.718	49:3
79.228	50:1
79.728	50:2
80.178	50:3
80.578	51:1
81.028	51:2
81.468	51:3
81.898	52:1
82.465	52:2
82.998	52:3
83.408	53:1
83.918	53:2
84.343	53:3
84.788	54:1
85.208	54:2
85.638	54:3
86.028	55:1
86.508	55:2
87.058	55:3
87.678	56:1
88.351	56:2
89.018	56:3
89.600	57:1
90.248	57:2
90.748	57:3
91.158	58:1
91.568	58:2
92.068	58:3
92.618	59:1
93.078	59:2
93.478	59:3
93.898	60:1
94.458	60:2
94.968	60:3
95.412	61:1
95.818	61:2
96.258	61:3
96.748	62:1
97.238	62:2
98.122	62:3
100.148	63:1
100.759	63:2
101.588	63:3
102.078	64:1
102.578	64:2
103.138	64:3
103.548	65:1
104.068	65:2
104.878	65:3
105.458	66:1
106.068	66:2
106.778	66:3
107.308	67:1
107.858	67:2
108.378	67:3
108.837	68:1
109.248	68:2
109.668	68:3
110.138	69:1
110.718	69:2
111.318	69:3
111.727	70:1
112.148	70:2
112.538	70:3
112.914	71:1
113.502	71:2
114.028	71:3
114.548	72:1
115.138	72:2
115.728	72:3
116.268	73:1
116.748	73:2
117.158	73:3
117.678	74:1
118.128	74:2
118.718	74:3
120.728	75:1
121.338	75:2
121.808	75:3
122.438	76:1
123.168	76:2
