# !!!performance-id:	pid9088-22
# !!!title:	        Mazurka in C-sharp minor, Op. 63, No. 3
# !!!trials:	        1
# !!!date:	        2007/04/01/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Faina Lushtak
# !!!performance-date:	2004
# !!!label:	        Centaur CRC 2707
# !!!label-title:	        Chopin Mazurkas, Faina Lushtak, piano
# !!!offset:		0
0.428	0:3
1.038	1:1
2.038	1:2
2.678	1:3
2.980	2:1
3.438	2:2
4.158	2:3
4.568	3:1
4.958	3:2
5.378	3:3
5.702	4:1
6.078	4:2
6.628	4:3
7.038	5:1
7.668	5:2
8.308	5:3
8.708	6:1
9.098	6:2
9.698	6:3
10.068	7:1
10.578	7:2
11.218	7:3
11.618	8:1
12.088	8:2
12.838	8:3
13.518	9:1
14.378	9:2
14.898	9:3
15.216	10:1
15.708	10:2
16.378	10:3
16.778	11:1
17.208	11:2
17.600	11:3
17.914	12:1
18.298	12:2
18.728	12:3
19.278	13:1
19.918	13:2
20.458	13:3
20.838	14:1
21.178	14:2
21.658	14:3
22.118	15:1
22.748	15:2
23.114	15:3
23.641	16:1
24.306	16:2
24.758	16:3
25.308	17:1
26.127	17:2
26.788	17:3
27.148	18:1
27.688	18:2
28.257	18:3
28.518	19:1
28.928	19:2
29.438	19:3
29.931	20:1
30.368	20:2
30.648	20:3
31.028	21:1
31.478	21:2
31.728	21:3
32.028	22:1
32.378	22:2
32.778	22:3
33.128	23:1
33.638	23:2
34.048	23:3
34.328	24:1
34.718	24:2
35.188	24:3
36.012	25:1
36.992	25:2
37.708	25:3
38.216	26:1
38.898	26:2
39.461	26:3
39.718	27:1
40.128	27:2
40.638	27:3
41.028	28:1
41.408	28:2
41.688	28:3
42.058	29:1
42.498	29:2
43.073	29:3
43.498	30:1
43.838	30:2
44.208	30:3
44.668	31:1
45.298	31:2
45.948	31:3
46.318	32:1
47.078	32:2
47.968	32:3
48.778	33:1
49.548	33:2
49.968	33:3
50.338	34:1
50.668	34:2
51.258	34:3
51.788	35:1
52.327	35:2
52.788	35:3
53.198	36:1
53.758	36:2
54.278	36:3
54.943	37:1
55.438	37:2
55.788	37:3
56.138	38:1
56.538	38:2
56.968	38:3
57.598	39:1
58.310	39:2
58.698	39:3
59.128	40:1
59.767	40:2
60.408	40:3
61.220	41:1
61.788	41:2
62.178	41:3
62.558	42:1
62.938	42:2
63.318	42:3
63.798	43:1
64.218	43:2
64.548	43:3
64.948	44:1
65.580	44:2
66.168	44:3
66.908	45:1
67.368	45:2
67.718	45:3
68.178	46:1
68.539	46:2
68.898	46:3
69.348	47:1
69.758	47:2
70.108	47:3
70.638	48:1
71.306	48:2
72.138	48:3
73.048	49:1
74.053	49:2
74.820	49:3
75.398	50:1
76.216	50:2
76.968	50:3
77.448	51:1
77.878	51:2
78.286	51:3
78.618	52:1
79.224	52:2
79.988	52:3
80.608	53:1
81.398	53:2
81.968	53:3
82.338	54:1
82.748	54:2
83.204	54:3
83.648	55:1
84.218	55:2
84.898	55:3
85.398	56:1
85.888	56:2
86.688	56:3
87.268	57:1
87.958	57:2
88.498	57:3
88.898	58:1
89.518	58:2
90.278	58:3
90.788	59:1
91.368	59:2
91.808	59:3
92.248	60:1
92.958	60:2
93.458	60:3
93.848	61:1
94.398	61:2
94.928	61:3
95.378	62:1
95.968	62:2
97.088	62:3
99.568	63:1
100.563	63:2
101.020	63:3
101.363	64:1
102.068	64:2
102.978	64:3
103.438	65:1
104.138	65:2
104.888	65:3
105.398	66:1
105.988	66:2
106.888	66:3
107.468	67:1
107.988	67:2
108.453	67:3
108.868	68:1
109.338	68:2
110.028	68:3
111.053	69:1
111.798	69:2
112.378	69:3
112.978	70:1
113.418	70:2
114.065	70:3
114.798	71:1
115.358	71:2
115.878	71:3
116.358	72:1
116.898	72:2
117.638	72:3
118.065	73:1
118.708	73:2
119.237	73:3
120.221	74:1
121.220	74:2
122.528	74:3
125.168	75:1
125.838	75:2
126.328	75:3
126.878	76:1
127.708	76:2
