# !!!performance-id:	pid5667285b-10
# !!!title:		Mazurka in F major, Op. 68, No. 3
# !!!trials:		1
# !!!date: 		2006/06/26/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!ONB:			basic manual correction of tapped data from SV
# !!!performer: 		Arthur Rubinstein
# !!!performance-date:	1961
# !!!label:		Philips 456 955-2
# !!!label-title:		Greatest Pianists of the 20th century, vol. 85
# !!!trial-hardware:	RM
# !!!trial-cpuspeed:	3.4 GHz
# !!!trial-os: 		Windows XP
# !!!offset:		0
0.807	1:1
1.239	1:2
1.654	1:3
2.069	2:1
2.573	2:2
3.228	2:3
3.593	3:1
4.037	3:2
4.431	3:3
4.807	4:1
5.342	4:2
5.875	4:3
6.380	5:1
6.840	5:2
7.258	5:3
7.663	6:1
8.057	6:2
8.429	6:3
8.832	7:1
9.253	7:2
9.668	7:3
10.125	8:1
10.700	8:2
11.369	8:3
12.074	9:1
12.640	9:2
13.026	9:3
13.428	10:1
14.016	10:2
14.582	10:3
15.047	11:1
15.556	11:2
15.906	11:3
16.277	12:1
16.878	12:2
17.485	12:3
18.061	13:1
18.530	13:2
18.902	13:3
19.273	14:1
19.692	14:2
20.024	14:3
20.410	15:1
20.828	15:2
21.223	15:3
21.780	16:1
22.407	16:2
23.011	16:3
23.467	17:1
23.911	17:2
24.281	17:3
24.604	18:1
25.001	18:2
25.310	18:3
25.751	19:1
26.192	19:2
26.520	19:3
26.831	20:1
27.315	20:2
27.887	20:3
28.383	21:1
28.909	21:2
29.273	21:3
29.613	22:1
30.047	22:2
30.543	22:3
30.952	23:1
31.393	23:2
31.759	23:3
32.123	24:1
32.879	24:2
33.530	24:3
34.470	25:1
35.088	25:2
35.508	25:3
35.966	26:1
36.621	26:2
37.068	26:3
37.509	27:1
37.988	27:2
38.383	27:3
38.776	28:1
39.364	28:2
39.892	28:3
40.403	29:1
40.932	29:2
41.266	29:3
41.664	30:1
42.075	30:2
42.423	30:3
42.818	31:1
43.236	31:2
43.630	31:3
44.118	32:1
44.745	32:2
45.488	32:3
46.318	33:1
46.733	33:2
47.113	33:3
47.485	34:1
47.811	34:2
48.196	34:3
48.549	35:1
48.910	35:2
49.226	35:3
49.605	36:1
49.984	36:2
50.373	36:3
50.727	37:1
51.104	37:2
51.453	37:3
51.763	38:1
52.052	38:2
52.426	38:3
52.860	39:1
53.193	39:2
53.512	39:3
53.860	40:1
54.175	40:2
54.532	40:3
55.063	41:1
55.471	41:2
55.844	41:3
56.192	42:1
56.471	42:2
56.828	42:3
57.345	43:1
57.744	43:2
58.120	43:3
58.577	44:1
59.077	44:2
59.741	44:3
60.976	45:1
61.562	45:2
61.970	45:3
62.363	46:1
62.903	46:2
63.507	46:3
63.882	47:1
64.319	47:2
64.714	47:3
65.109	48:1
65.720	48:2
66.267	48:3
66.765	49:1
67.286	49:2
67.643	49:3
68.034	50:1
68.452	50:2
68.801	50:3
69.207	51:1
69.613	51:2
69.970	51:3
70.401	52:1
71.007	52:2
71.773	52:3
72.400	53:1
72.890	53:2
73.398	53:3
73.874	54:1
74.548	54:2
75.054	54:3
75.571	55:1
76.051	55:2
76.460	55:3
76.896	56:1
77.428	56:2
77.973	56:3
78.498	57:1
79.004	57:2
79.376	57:3
79.761	58:1
80.202	58:2
80.573	58:3
80.990	59:1
81.432	59:2
82.026	59:3
82.747	60:1
83.528	60:2
84.521	60:3
