# !!!performance-id:	pid9054b-21
# !!!title:		Mazurka in F major, Op. 68, No. 3
# !!!trials:		1
# !!!date: 		2006/06/30/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!ONB:			basic manual correction of tapped data from SV
# !!!performer: 		Ronald Smith
# !!!performance-date:	1975
# !!!label:		EMI 724358576726
# !!!label-title:		Chopin Mazurkas
# !!!trial-hardware:	RM; Indtel P4
# !!!trial-cpuspeed:	3.4 GHz
# !!!trial-os: 		Windows XP
# !!!offset:		0
0.978	1:1
1.318	1:2
1.853	1:3
2.292	2:1
2.656	2:2
3.132	2:3
3.608	3:1
4.048	3:2
4.493	3:3
4.934	4:1
5.243	4:2
5.805	4:3
6.214	5:1
6.645	5:2
7.025	5:3
7.449	6:1
7.872	6:2
8.303	6:3
8.723	7:1
9.125	7:2
9.567	7:3
10.093	8:1
10.658	8:2
11.331	8:3
12.109	9:1
12.552	9:2
12.958	9:3
13.407	10:1
13.861	10:2
14.315	10:3
14.745	11:1
15.184	11:2
15.640	11:3
16.087	12:1
16.556	12:2
17.020	12:3
17.415	13:1
17.840	13:2
18.281	13:3
18.701	14:1
19.113	14:2
19.541	14:3
19.959	15:1
20.368	15:2
20.834	15:3
21.354	16:1
21.991	16:2
22.547	16:3
23.089	17:1
23.545	17:2
23.934	17:3
24.317	18:1
24.722	18:2
25.128	18:3
25.565	19:1
25.976	19:2
26.405	19:3
26.793	20:1
27.193	20:2
28.079	20:3
28.810	21:1
29.257	21:2
29.710	21:3
30.131	22:1
30.499	22:2
30.952	22:3
31.408	23:1
31.798	23:2
32.475	23:3
33.020	24:1
33.746	24:2
34.644	24:3
35.721	25:1
36.198	25:2
36.628	25:3
37.059	26:1
37.523	26:2
38.011	26:3
38.439	27:1
38.893	27:2
39.327	27:3
39.776	28:1
40.172	28:2
40.697	28:3
41.124	29:1
41.581	29:2
41.982	29:3
42.395	30:1
42.791	30:2
43.241	30:3
43.675	31:1
44.098	31:2
44.656	31:3
45.121	32:1
45.942	32:2
46.928	32:3
47.999	33:1
48.765	33:2
49.228	33:3
49.585	34:1
49.929	34:2
50.294	34:3
50.653	35:1
51.047	35:2
51.398	35:3
51.778	36:1
52.120	36:2
52.499	36:3
52.798	37:1
53.157	37:2
53.486	37:3
53.802	38:1
54.137	38:2
54.474	38:3
54.879	39:1
55.200	39:2
55.534	39:3
55.897	40:1
56.208	40:2
56.587	40:3
56.959	41:1
57.273	41:2
57.600	41:3
57.942	42:1
58.289	42:2
58.669	42:3
59.057	43:1
59.447	43:2
59.895	43:3
60.454	44:1
61.229	44:2
61.958	44:3
62.438	45:1
62.900	45:2
63.344	45:3
63.832	46:1
64.227	46:2
64.652	46:3
65.039	47:1
65.514	47:2
65.972	47:3
66.481	48:1
66.823	48:2
67.224	48:3
67.621	49:1
68.049	49:2
68.480	49:3
68.882	50:1
69.309	50:2
69.739	50:3
70.167	51:1
70.590	51:2
71.087	51:3
71.574	52:1
72.353	52:2
73.196	52:3
73.607	53:1
74.064	53:2
74.498	53:3
74.981	54:1
75.442	54:2
75.866	54:3
76.280	55:1
76.744	55:2
77.194	55:3
77.611	56:1
78.089	56:2
78.518	56:3
78.951	57:1
79.381	57:2
79.824	57:3
80.237	58:1
80.712	58:2
81.189	58:3
81.701	59:1
82.346	59:2
83.132	59:3
83.809	60:1
84.405	60:2
