# !!!performance-id:	pid9058b-19
# !!!title:	        Mazurka in F major, Op. 68, No. 3
# !!!trials:	        1
# !!!date:	        2006/11/01/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Vladimir Ashkenazy
# !!!performance-date:	c1981
# !!!label:	        Decca 448 086-2
# !!!label-title:	        Chopin Mazurkas
# !!!offset:		0
0.049	1:1
0.428	1:2
0.835	1:3
1.222	2:1
1.563	2:2
1.940	2:3
2.323	3:1
2.688	3:2
3.078	3:3
3.458	4:1
3.785	4:2
4.203	4:3
4.570	5:1
4.905	5:2
5.355	5:3
5.775	6:1
6.098	6:2
6.505	6:3
6.895	7:1
7.235	7:2
7.655	7:3
8.055	8:1
8.561	8:2
9.009	8:3
9.435	9:1
9.786	9:2
10.305	9:3
10.705	10:1
11.056	10:2
11.447	10:3
11.835	11:1
12.180	11:2
12.605	11:3
12.985	12:1
13.314	12:2
13.746	12:3
14.155	13:1
14.505	13:2
14.978	13:3
15.380	14:1
15.718	14:2
16.119	14:3
16.515	15:1
16.859	15:2
17.315	15:3
17.737	16:1
18.260	16:2
18.856	16:3
19.383	17:1
19.914	17:2
20.407	17:3
20.751	18:1
21.108	18:2
21.462	18:3
21.835	19:1
22.200	19:2
22.571	19:3
22.915	20:1
23.335	20:2
23.777	20:3
24.245	21:1
24.575	21:2
24.960	21:3
25.291	22:1
25.646	22:2
26.025	22:3
26.425	23:1
26.776	23:2
27.235	23:3
27.695	24:1
28.447	24:2
29.118	24:3
29.805	25:1
30.222	25:2
30.755	25:3
31.185	26:1
31.524	26:2
31.935	26:3
32.335	27:1
32.679	27:2
33.095	27:3
33.475	28:1
33.814	28:2
34.273	28:3
34.725	29:1
35.085	29:2
35.515	29:3
35.925	30:1
36.261	30:2
36.665	30:3
37.062	31:1
37.431	31:2
37.945	31:3
38.435	32:1
39.175	32:2
39.729	32:3
40.345	33:1
40.685	33:2
40.975	33:3
41.242	34:1
41.505	34:2
41.785	34:3
42.037	35:1
42.305	35:2
42.575	35:3
42.848	36:1
43.115	36:2
43.363	36:3
43.594	37:1
43.858	37:2
44.103	37:3
44.336	38:1
44.565	38:2
44.794	38:3
45.055	39:1
45.272	39:2
45.511	39:3
45.743	40:1
45.971	40:2
46.208	40:3
46.536	41:1
46.804	41:2
47.044	41:3
47.263	42:1
47.485	42:2
47.717	42:3
47.984	43:1
48.199	43:2
48.475	43:3
48.753	44:1
49.091	44:2
49.447	44:3
49.826	45:1
50.218	45:2
50.624	45:3
51.019	46:1
51.376	46:2
51.772	46:3
52.185	47:1
52.557	47:2
52.981	47:3
53.375	48:1
53.708	48:2
54.133	48:3
54.565	49:1
54.938	49:2
55.375	49:3
55.805	50:1
56.150	50:2
56.587	50:3
56.985	51:1
57.339	51:2
57.793	51:3
58.235	52:1
58.738	52:2
59.362	52:3
59.895	53:1
60.307	53:2
60.815	53:3
61.245	54:1
61.623	54:2
62.044	54:3
62.575	55:1
62.930	55:2
63.345	55:3
63.735	56:1
64.087	56:2
64.495	56:3
64.935	57:1
65.297	57:2
65.745	57:3
66.162	58:1
66.506	58:2
66.984	58:3
67.485	59:1
67.882	59:2
68.495	59:3
68.985	60:1
69.846	60:2
70.641	60:3
