# !!!performance-id:	pid9064-02
# !!!title:	        Mazurka in F major, Op. 68, No. 3
# !!!trials:	        1
# !!!date:	        2006/10/30/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Michel Block
# !!!performance-date:	1995
# !!!label:	        ProPiano PPR224507
# !!!label-title:	        Chopin Mazurkas
# !!!offset:		0
0.376	1:1
1.114	1:2
1.692	1:3
2.096	2:1
2.940	2:2
3.576	2:3
4.194	3:1
4.828	3:2
5.243	3:3
5.634	4:1
6.135	4:2
6.549	4:3
7.033	5:1
7.596	5:2
7.988	5:3
8.395	6:1
8.772	6:2
9.137	6:3
9.513	7:1
9.926	7:2
10.316	7:3
10.891	8:1
11.682	8:2
12.254	8:3
12.852	9:1
13.435	9:2
13.826	9:3
14.292	10:1
14.962	10:2
15.505	10:3
15.967	11:1
16.554	11:2
16.954	11:3
17.374	12:1
17.836	12:2
18.236	12:3
18.628	13:1
19.119	13:2
19.499	13:3
19.873	14:1
20.241	14:2
20.603	14:3
20.985	15:1
21.442	15:2
22.010	15:3
22.799	16:1
23.531	16:2
24.204	16:3
24.986	17:1
25.739	17:2
26.118	17:3
26.421	18:1
26.755	18:2
27.218	18:3
27.728	19:1
28.357	19:2
28.706	19:3
29.067	20:1
29.634	20:2
30.163	20:3
30.704	21:1
31.376	21:2
31.750	21:3
32.061	22:1
32.392	22:2
32.833	22:3
33.344	23:1
33.991	23:2
34.419	23:3
34.965	24:1
35.677	24:2
36.737	24:3
37.847	25:1
38.493	25:2
38.905	25:3
39.388	26:1
40.268	26:2
40.914	26:3
41.577	27:1
42.252	27:2
42.630	27:3
43.011	28:1
43.481	28:2
43.925	28:3
44.337	29:1
44.861	29:2
45.232	29:3
45.626	30:1
46.016	30:2
46.424	30:3
46.884	31:1
47.615	31:2
48.277	31:3
49.324	32:1
50.592	32:2
51.827	32:3
52.946	33:1
53.763	33:2
54.110	33:3
54.394	34:1
54.648	34:2
54.893	34:3
55.158	35:1
55.426	35:2
55.914	35:3
56.210	36:1
56.625	36:2
56.980	36:3
57.304	37:1
57.722	37:2
57.979	37:3
58.199	38:1
58.420	38:2
58.643	38:3
58.915	39:1
59.162	39:2
59.389	39:3
59.656	40:1
59.957	40:2
60.292	40:3
60.682	41:1
61.068	41:2
61.304	41:3
61.534	42:1
61.778	42:2
62.041	42:3
62.333	43:1
62.652	43:2
63.015	43:3
63.492	44:1
64.186	44:2
64.942	44:3
65.888	45:1
67.126	45:2
67.631	45:3
68.313	46:1
69.409	46:2
70.255	46:3
70.991	47:1
71.783	47:2
72.197	47:3
72.693	48:1
73.503	48:2
74.211	48:3
74.950	49:1
75.688	49:2
76.093	49:3
76.510	50:1
76.960	50:2
77.343	50:3
77.819	51:1
78.527	51:2
79.096	51:3
80.033	52:1
81.059	52:2
82.019	52:3
82.879	53:1
83.675	53:2
84.161	53:3
84.846	54:1
85.886	54:2
86.639	54:3
87.262	55:1
87.999	55:2
88.452	55:3
88.982	56:1
89.828	56:2
90.462	56:3
91.398	57:1
92.220	57:2
92.697	57:3
93.170	58:1
93.713	58:2
94.314	58:3
94.973	59:1
95.910	59:2
96.866	59:3
98.527	60:1
100.891	60:2
102.818	60:3
