# !!!performance-id:	pid9066b-19
# !!!title:	        Mazurka in F major, Op. 68, No. 3
# !!!trials:	        1
# !!!date:	        2006/10/30/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Alfred Cortot
# !!!performance-date:	1951
# !!!label:	        Concert Artist 91812
# !!!label-title:	        Chopin: The Mazurkas
# !!!offset:		0
1.879	1:1
2.806	1:2
3.698	1:3
4.852	2:1
5.808	2:2
6.966	2:3
8.028	3:1
8.972	3:2
9.819	3:3
10.826	4:1
11.941	4:2
12.997	4:3
13.909	5:1
14.710	5:2
15.589	5:3
16.419	6:1
17.238	6:2
18.007	6:3
18.834	7:1
19.577	7:2
20.399	7:3
21.568	8:1
22.872	8:2
24.152	8:3
25.321	9:1
26.291	9:2
27.222	9:3
28.250	10:1
29.376	10:2
30.441	10:3
31.504	11:1
32.496	11:2
33.451	11:3
34.557	12:1
35.648	12:2
36.688	12:3
37.674	13:1
38.534	13:2
39.448	13:3
40.295	14:1
41.137	14:2
41.996	14:3
42.937	15:1
43.764	15:2
44.585	15:3
45.447	16:1
46.742	16:2
47.906	16:3
48.985	17:1
49.856	17:2
50.646	17:3
51.394	18:1
52.149	18:2
53.026	18:3
53.905	19:1
54.683	19:2
55.449	19:3
56.186	20:1
56.950	20:2
58.027	20:3
59.011	21:1
60.018	21:2
60.880	21:3
61.623	22:1
62.462	22:2
63.466	22:3
64.357	23:1
65.350	23:2
66.229	23:3
67.175	24:1
68.717	24:2
70.031	24:3
71.459	25:1
72.519	25:2
73.474	25:3
74.513	26:1
75.685	26:2
76.765	26:3
77.764	27:1
78.675	27:2
79.726	27:3
80.678	28:1
81.833	28:2
82.744	28:3
83.708	29:1
84.614	29:2
85.499	29:3
86.372	30:1
87.316	30:2
88.186	30:3
89.199	31:1
90.215	31:2
91.141	31:3
92.087	32:1
93.608	32:2
95.248	32:3
96.731	33:1
97.324	33:2
97.624	33:3
97.888	34:1
98.122	34:2
98.332	34:3
98.556	35:1
98.765	35:2
98.987	35:3
99.213	36:1
99.439	36:2
99.646	36:3
100.032	37:1
100.464	37:2
100.837	37:3
101.174	38:1
101.416	38:2
101.654	38:3
101.992	39:1
102.226	39:2
102.430	39:3
102.647	40:1
102.869	40:2
103.094	40:3
103.358	41:1
103.692	41:2
103.905	41:3
104.101	42:1
104.333	42:2
104.564	42:3
104.866	43:1
105.094	43:2
105.316	43:3
105.562	44:1
106.130	44:2
107.323	44:3
108.556	45:1
109.514	45:2
110.546	45:3
111.514	46:1
112.579	46:2
113.766	46:3
114.746	47:1
115.654	47:2
116.605	47:3
117.705	48:1
118.812	48:2
119.931	48:3
120.790	49:1
121.677	49:2
122.594	49:3
123.484	50:1
124.324	50:2
125.215	50:3
126.164	51:1
127.045	51:2
128.045	51:3
129.283	52:1
130.605	52:2
131.959	52:3
133.097	53:1
134.174	53:2
135.192	53:3
136.250	54:1
137.426	54:2
138.577	54:3
139.783	55:1
140.813	55:2
141.839	55:3
142.856	56:1
144.074	56:2
145.310	56:3
146.265	57:1
147.222	57:2
148.161	57:3
149.177	58:1
150.198	58:2
151.137	58:3
152.258	59:1
153.272	59:2
154.317	59:3
155.472	60:1
157.558	60:2
159.974	60:3
