# !!!performance-id:	pid9069-19
# !!!title:	        Mazurka in F major, Op. 68, No. 3
# !!!trials:	        1
# !!!date:	        2006/10/30/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Patrick Cohen
# !!!performance-date:	1997
# !!!label:	        Glossa 920507
# !!!label-title:	        Les Mazurkas II
# !!!offset:		0
0.400	1:1
0.860	1:2
1.356	1:3
1.728	2:1
2.281	2:2
2.776	2:3
3.210	3:1
3.641	3:2
4.133	3:3
4.618	4:1
5.135	4:2
5.616	4:3
6.300	5:1
6.780	5:2
7.241	5:3
7.663	6:1
8.102	6:2
8.510	6:3
8.924	7:1
9.341	7:2
9.776	7:3
10.351	8:1
11.029	8:2
11.836	8:3
12.345	9:1
12.790	9:2
13.251	9:3
13.655	10:1
14.182	10:2
14.675	10:3
15.127	11:1
15.557	11:2
16.027	11:3
16.486	12:1
17.037	12:2
17.551	12:3
18.022	13:1
18.482	13:2
18.949	13:3
19.382	14:1
19.841	14:2
20.269	14:3
20.712	15:1
21.161	15:2
21.678	15:3
22.288	16:1
22.841	16:2
23.461	16:3
23.998	17:1
24.478	17:2
24.998	17:3
25.424	18:1
25.890	18:2
26.367	18:3
26.842	19:1
27.276	19:2
27.729	19:3
28.212	20:1
28.692	20:2
29.216	20:3
29.676	21:1
30.129	21:2
30.618	21:3
31.078	22:1
31.520	22:2
32.039	22:3
32.508	23:1
32.969	23:2
33.482	23:3
34.006	24:1
34.843	24:2
35.835	24:3
36.971	25:1
37.647	25:2
38.151	25:3
38.598	26:1
39.122	26:2
39.613	26:3
39.976	27:1
40.427	27:2
40.896	27:3
41.357	28:1
41.873	28:2
42.373	28:3
42.824	29:1
43.324	29:2
43.796	29:3
44.234	30:1
44.698	30:2
45.237	30:3
45.806	31:1
46.267	31:2
46.737	31:3
47.206	32:1
47.778	32:2
48.504	32:3
49.078	33:1
49.461	33:2
49.876	33:3
50.263	34:1
50.651	34:2
51.008	34:3
51.386	35:1
51.741	35:2
52.139	35:3
52.512	36:1
52.895	36:2
53.267	36:3
53.638	37:1
54.016	37:2
54.363	37:3
54.706	38:1
55.047	38:2
55.400	38:3
55.774	39:1
56.112	39:2
56.437	39:3
56.771	40:1
57.114	40:2
57.471	40:3
57.864	41:1
58.204	41:2
58.553	41:3
58.898	42:1
59.224	42:2
59.567	42:3
59.945	43:1
60.267	43:2
60.586	43:3
60.937	44:1
61.355	44:2
61.886	44:3
62.561	45:1
63.165	45:2
63.641	45:3
64.114	46:1
64.644	46:2
65.324	46:3
65.906	47:1
66.392	47:2
66.835	47:3
67.304	48:1
67.814	48:2
68.360	48:3
68.947	49:1
69.410	49:2
69.820	49:3
70.251	50:1
70.684	50:2
71.137	50:3
71.631	51:1
72.069	51:2
72.680	51:3
73.213	52:1
73.939	52:2
74.506	52:3
75.047	53:1
75.549	53:2
76.045	53:3
76.510	54:1
77.096	54:2
77.639	54:3
78.161	55:1
78.635	55:2
79.098	55:3
79.621	56:1
80.253	56:2
80.859	56:3
81.396	57:1
81.882	57:2
82.347	57:3
82.818	58:1
83.267	58:2
83.882	58:3
84.518	59:1
85.014	59:2
85.696	59:3
86.284	60:1
87.237	60:2
88.172	60:3
