# !!!performance-id:	pid9070b-31
# !!!title:	        Mazurka in F major, Op. 68, No. 3
# !!!trials:	        1
# !!!date:	        2006/10/30/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Samson Francois
# !!!performance-date:	1956
# !!!label:	        EMI CZS 7 67413 2
# !!!label-title:	        Chopin: 51 Mazurkas, Sonates 2 & 3
# !!!offset:		0
0.472	1:1
0.924	1:2
1.366	1:3
1.823	2:1
2.277	2:2
2.749	2:3
3.136	3:1
3.573	3:2
4.000	3:3
4.454	4:1
4.889	4:2
5.357	4:3
5.753	5:1
6.213	5:2
6.638	5:3
7.086	6:1
7.500	6:2
7.921	6:3
8.356	7:1
8.758	7:2
9.156	7:3
9.626	8:1
10.066	8:2
10.581	8:3
11.047	9:1
11.468	9:2
11.889	9:3
12.346	10:1
12.777	10:2
13.237	10:3
13.582	11:1
14.025	11:2
14.469	11:3
14.935	12:1
15.375	12:2
15.818	12:3
16.244	13:1
16.672	13:2
17.106	13:3
17.531	14:1
17.923	14:2
18.347	14:3
18.795	15:1
19.212	15:2
19.648	15:3
20.123	16:1
20.656	16:2
21.246	16:3
21.728	17:1
22.102	17:2
22.543	17:3
22.958	18:1
23.351	18:2
23.761	18:3
24.242	19:1
24.650	19:2
25.057	19:3
25.487	20:1
25.887	20:2
26.381	20:3
26.794	21:1
27.208	21:2
27.624	21:3
28.055	22:1
28.444	22:2
28.884	22:3
29.310	23:1
29.726	23:2
30.163	23:3
30.616	24:1
31.085	24:2
31.602	24:3
32.103	25:1
32.670	25:2
33.163	25:3
33.662	26:1
34.141	26:2
34.667	26:3
35.044	27:1
35.509	27:2
35.977	27:3
36.563	28:1
37.024	28:2
37.484	28:3
37.891	29:1
38.310	29:2
38.751	29:3
39.217	30:1
39.625	30:2
40.052	30:3
40.468	31:1
40.898	31:2
41.361	31:3
41.912	32:1
42.407	32:2
43.092	32:3
43.807	33:1
44.079	33:2
44.315	33:3
44.566	34:1
44.828	34:2
45.089	34:3
45.336	35:1
45.574	35:2
45.849	35:3
46.113	36:1
46.388	36:2
46.626	36:3
46.832	37:1
47.073	37:2
47.274	37:3
47.521	38:1
47.724	38:2
47.951	38:3
48.226	39:1
48.437	39:2
48.643	39:3
48.884	40:1
49.093	40:2
49.355	40:3
49.554	41:1
49.794	41:2
49.994	41:3
50.233	42:1
50.450	42:2
50.666	42:3
50.940	43:1
51.177	43:2
51.397	43:3
51.653	44:1
51.992	44:2
52.400	44:3
52.933	45:1
53.510	45:2
53.949	45:3
54.391	46:1
54.806	46:2
55.274	46:3
55.664	47:1
56.133	47:2
56.580	47:3
57.038	48:1
57.459	48:2
57.895	48:3
58.320	49:1
58.744	49:2
59.188	49:3
59.658	50:1
60.057	50:2
60.491	50:3
60.944	51:1
61.350	51:2
61.762	51:3
62.216	52:1
62.626	52:2
63.155	52:3
63.676	53:1
64.115	53:2
64.531	53:3
64.982	54:1
65.434	54:2
65.898	54:3
66.292	55:1
66.720	55:2
67.167	55:3
67.647	56:1
68.091	56:2
68.538	56:3
68.934	57:1
69.373	57:2
69.805	57:3
70.269	58:1
70.686	58:2
71.142	58:3
71.620	59:1
72.059	59:2
72.616	59:3
73.258	60:1
73.783	60:2
74.559	60:3
