# !!!performance-id:	pid9071-04
# !!!title:	        Mazurka in F major, Op. 68, No. 3
# !!!trials:	        1
# !!!date:	        2006/10/30/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Fou Ts'ong
# !!!performance-date:	1993
# !!!label:	        Sony SB2K 53 246
# !!!label-title:	        Chopin Mazurkas
# !!!offset:		0
0.444	1:1
0.877	1:2
1.224	1:3
1.574	2:1
2.015	2:2
2.482	2:3
3.055	3:1
3.462	3:2
3.787	3:3
4.101	4:1
4.527	4:2
5.071	4:3
5.628	5:1
6.028	5:2
6.358	5:3
6.687	6:1
7.028	6:2
7.384	6:3
7.666	7:1
8.043	7:2
8.466	7:3
9.044	8:1
9.855	8:2
10.602	8:3
11.286	9:1
11.776	9:2
12.131	9:3
12.462	10:1
12.910	10:2
13.384	10:3
14.032	11:1
14.439	11:2
14.774	11:3
15.078	12:1
15.549	12:2
15.952	12:3
16.546	13:1
16.991	13:2
17.326	13:3
17.608	14:1
17.980	14:2
18.323	14:3
18.618	15:1
19.009	15:2
19.435	15:3
19.973	16:1
20.816	16:2
21.524	16:3
22.135	17:1
22.759	17:2
23.285	17:3
23.687	18:1
24.078	18:2
24.411	18:3
24.805	19:1
25.400	19:2
25.788	19:3
26.179	20:1
26.720	20:2
27.512	20:3
28.429	21:1
29.107	21:2
29.574	21:3
30.283	22:1
30.706	22:2
31.094	22:3
31.426	23:1
32.022	23:2
32.519	23:3
33.166	24:1
33.933	24:2
34.946	24:3
36.248	25:1
37.127	25:2
37.746	25:3
38.157	26:1
38.611	26:2
39.064	26:3
39.415	27:1
39.826	27:2
40.180	27:3
40.505	28:1
40.960	28:2
41.327	28:3
41.699	29:1
42.083	29:2
42.433	29:3
42.738	30:1
43.119	30:2
43.470	30:3
43.763	31:1
44.189	31:2
44.645	31:3
45.254	32:1
45.940	32:2
47.200	32:3
48.079	33:1
48.521	33:2
48.841	33:3
49.144	34:1
49.423	34:2
49.677	34:3
49.993	35:1
50.248	35:2
50.533	35:3
50.790	36:1
51.088	36:2
51.334	36:3
51.621	37:1
51.870	37:2
52.124	37:3
52.380	38:1
52.618	38:2
52.856	38:3
53.174	39:1
53.419	39:2
53.676	39:3
53.931	40:1
54.192	40:2
54.438	40:3
54.751	41:1
55.008	41:2
55.274	41:3
55.519	42:1
55.758	42:2
56.004	42:3
56.345	43:1
56.610	43:2
56.889	43:3
57.208	44:1
57.694	44:2
58.708	44:3
59.783	45:1
60.370	45:2
60.753	45:3
61.113	46:1
61.607	46:2
62.160	46:3
62.629	47:1
63.044	47:2
63.366	47:3
63.766	48:1
64.226	48:2
64.714	48:3
65.201	49:1
65.589	49:2
65.918	49:3
66.265	50:1
66.637	50:2
66.976	50:3
67.292	51:1
67.677	51:2
68.048	51:3
68.609	52:1
69.292	52:2
70.063	52:3
70.783	53:1
71.330	53:2
71.744	53:3
72.215	54:1
72.661	54:2
73.166	54:3
73.613	55:1
74.031	55:2
74.392	55:3
74.762	56:1
75.331	56:2
75.813	56:3
76.283	57:1
76.726	57:2
77.084	57:3
77.411	58:1
77.802	58:2
78.142	58:3
78.517	59:1
78.965	59:2
79.564	59:3
80.600	60:1
81.652	60:2
82.747	60:3
