# !!!performance-id:	pid9072b-23
# !!!title:	        Mazurka in F major, Op. 68, No. 3
# !!!trials:	        1
# !!!date:	        2006/10/31/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Tatiana Shebanova
# !!!performance-date:	2002
# !!!label:	        DUX 0350/0351
# !!!label-title:	        Fryderyk Chopin: Complete Mazurkas
# !!!offset:		0
0.571	1:1
1.000	1:2
1.461	1:3
1.927	2:1
2.392	2:2
2.859	2:3
3.220	3:1
3.664	3:2
4.107	3:3
4.561	4:1
5.013	4:2
5.433	4:3
5.921	5:1
6.349	5:2
6.805	5:3
7.211	6:1
7.632	6:2
8.056	6:3
8.484	7:1
8.918	7:2
9.416	7:3
9.972	8:1
10.610	8:2
11.334	8:3
12.159	9:1
12.594	9:2
13.026	9:3
13.479	10:1
13.932	10:2
14.437	10:3
14.824	11:1
15.260	11:2
15.700	11:3
16.144	12:1
16.608	12:2
17.078	12:3
17.508	13:1
17.945	13:2
18.383	13:3
18.842	14:1
19.264	14:2
19.695	14:3
20.142	15:1
20.628	15:2
21.146	15:3
21.773	16:1
22.622	16:2
23.382	16:3
24.236	17:1
24.767	17:2
25.269	17:3
25.712	18:1
26.169	18:2
26.609	18:3
27.074	19:1
27.516	19:2
27.973	19:3
28.514	20:1
29.151	20:2
29.899	20:3
30.810	21:1
31.334	21:2
31.814	21:3
32.263	22:1
32.711	22:2
33.202	22:3
33.627	23:1
34.085	23:2
34.609	23:3
35.154	24:1
35.942	24:2
37.039	24:3
38.287	25:1
38.748	25:2
39.246	25:3
39.693	26:1
40.162	26:2
40.616	26:3
41.005	27:1
41.432	27:2
41.882	27:3
42.336	28:1
42.791	28:2
43.270	28:3
43.665	29:1
44.114	29:2
44.568	29:3
45.012	30:1
45.466	30:2
45.897	30:3
46.333	31:1
46.836	31:2
47.353	31:3
47.962	32:1
48.843	32:2
49.760	32:3
50.811	33:1
51.180	33:2
51.521	33:3
51.831	34:1
52.142	34:2
52.465	34:3
52.757	35:1
53.045	35:2
53.368	35:3
53.679	36:1
53.982	36:2
54.256	36:3
54.554	37:1
54.848	37:2
55.124	37:3
55.382	38:1
55.648	38:2
55.922	38:3
56.230	39:1
56.514	39:2
56.796	39:3
57.063	40:1
57.324	40:2
57.603	40:3
57.950	41:1
58.249	41:2
58.538	41:3
58.806	42:1
59.085	42:2
59.365	42:3
59.726	43:1
60.044	43:2
60.350	43:3
60.726	44:1
61.247	44:2
62.048	44:3
63.010	45:1
63.581	45:2
64.033	45:3
64.495	46:1
64.940	46:2
65.418	46:3
65.773	47:1
66.190	47:2
66.624	47:3
67.055	48:1
67.499	48:2
67.965	48:3
68.351	49:1
68.785	49:2
69.242	49:3
69.679	50:1
70.089	50:2
70.509	50:3
70.946	51:1
71.410	51:2
71.912	51:3
72.548	52:1
73.162	52:2
73.876	52:3
74.548	53:1
75.029	53:2
75.442	53:3
75.896	54:1
76.354	54:2
76.817	54:3
77.180	55:1
77.600	55:2
78.070	55:3
78.530	56:1
78.993	56:2
79.421	56:3
79.819	57:1
80.210	57:2
80.679	57:3
81.116	58:1
81.548	58:2
81.977	58:3
82.479	59:1
83.023	59:2
83.612	59:3
84.403	60:1
85.850	60:2
86.984	60:3
