# !!!performance-id:	pid9073b-25
# !!!title:	        Mazurka in F major, Op. 68, No. 3
# !!!trials:	        1
# !!!date:	        2006/10/30/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Joyce Hatto
# !!!performance-date:	1997
# !!!label:	        Concert Artist 92712
# !!!label-title:	        Chopin: The Mazurkas
# !!!offset:		0
1.169	1:1
1.697	1:2
2.257	1:3
2.792	2:1
3.349	2:2
3.940	2:3
4.420	3:1
4.936	3:2
5.480	3:3
6.037	4:1
6.621	4:2
7.230	4:3
7.792	5:1
8.308	5:2
8.905	5:3
9.459	6:1
10.012	6:2
10.565	6:3
11.150	7:1
11.656	7:2
12.260	7:3
12.938	8:1
13.646	8:2
14.465	8:3
15.077	9:1
15.598	9:2
16.237	9:3
16.808	10:1
17.421	10:2
18.062	10:3
18.627	11:1
19.162	11:2
19.711	11:3
20.259	12:1
20.841	12:2
21.455	12:3
22.047	13:1
22.586	13:2
23.175	13:3
23.741	14:1
24.256	14:2
24.848	14:3
25.410	15:1
25.983	15:2
26.620	15:3
27.371	16:1
28.244	16:2
29.048	16:3
29.739	17:1
30.302	17:2
30.853	17:3
31.353	18:1
31.912	18:2
32.484	18:3
33.076	19:1
33.624	19:2
34.180	19:3
34.767	20:1
35.480	20:2
36.200	20:3
36.873	21:1
37.410	21:2
37.982	21:3
38.475	22:1
39.049	22:2
39.671	22:3
40.300	23:1
40.910	23:2
41.564	23:3
42.390	24:1
43.512	24:2
44.649	24:3
45.661	25:1
46.217	25:2
46.845	25:3
47.446	26:1
48.049	26:2
48.785	26:3
49.310	27:1
49.818	27:2
50.398	27:3
51.023	28:1
51.592	28:2
52.245	28:3
52.895	29:1
53.415	29:2
53.998	29:3
54.567	30:1
55.113	30:2
55.715	30:3
56.313	31:1
56.870	31:2
57.607	31:3
58.413	32:1
59.479	32:2
60.442	32:3
61.269	33:1
61.652	33:2
61.958	33:3
62.264	34:1
62.601	34:2
62.903	34:3
63.251	35:1
63.533	35:2
63.856	35:3
64.148	36:1
64.505	36:2
64.804	36:3
65.155	37:1
65.464	37:2
65.765	37:3
66.035	38:1
66.323	38:2
66.623	38:3
66.993	39:1
67.291	39:2
67.563	39:3
67.838	40:1
68.116	40:2
68.421	40:3
68.757	41:1
69.083	41:2
69.372	41:3
69.643	42:1
69.922	42:2
70.224	42:3
70.593	43:1
70.893	43:2
71.162	43:3
71.486	44:1
71.860	44:2
72.371	44:3
73.014	45:1
73.666	45:2
74.232	45:3
74.789	46:1
75.365	46:2
75.922	46:3
76.510	47:1
77.153	47:2
77.741	47:3
78.357	48:1
79.088	48:2
79.794	48:3
80.476	49:1
81.026	49:2
81.622	49:3
82.222	50:1
82.794	50:2
83.450	50:3
84.037	51:1
84.627	51:2
85.184	51:3
85.859	52:1
86.680	52:2
87.679	52:3
88.475	53:1
89.062	53:2
89.675	53:3
90.302	54:1
90.980	54:2
91.672	54:3
92.371	55:1
92.943	55:2
93.584	55:3
94.316	56:1
95.143	56:2
95.945	56:3
96.720	57:1
97.286	57:2
97.896	57:3
98.547	58:1
99.149	58:2
99.918	58:3
100.653	59:1
101.402	59:2
102.423	59:3
103.561	60:1
105.296	60:2
106.359	60:3
