# !!!performance-id:	pid9074g-19
# !!!title:	        Mazurka in F major, Op. 68, No. 3
# !!!trials:	        1
# !!!date:	        2006/10/31/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Nikita Magaloff
# !!!performance-date:	1978
# !!!label:	        Phillips 426 817/29-2
# !!!label-title:	        Chopin: The Complete Piano Music
# !!!offset:		0
1.659	1:1
2.093	1:2
2.568	1:3
3.027	2:1
3.521	2:2
4.063	2:3
4.643	3:1
5.067	3:2
5.532	3:3
5.973	4:1
6.417	4:2
6.873	4:3
7.323	5:1
7.735	5:2
8.177	5:3
8.614	6:1
9.026	6:2
9.489	6:3
9.938	7:1
10.316	7:2
10.758	7:3
11.290	8:1
11.876	8:2
12.492	8:3
13.290	9:1
13.787	9:2
14.414	9:3
14.914	10:1
15.383	10:2
15.921	10:3
16.399	11:1
16.849	11:2
17.401	11:3
18.036	12:1
18.683	12:2
19.241	12:3
19.747	13:1
20.232	13:2
20.798	13:3
21.257	14:1
21.684	14:2
22.192	14:3
22.644	15:1
23.040	15:2
23.550	15:3
24.254	16:1
24.963	16:2
25.751	16:3
26.441	17:1
26.994	17:2
27.590	17:3
28.016	18:1
28.396	18:2
28.886	18:3
29.336	19:1
29.745	19:2
30.181	19:3
30.613	20:1
31.188	20:2
31.811	20:3
32.485	21:1
33.077	21:2
33.699	21:3
34.147	22:1
34.539	22:2
34.992	22:3
35.438	23:1
35.873	23:2
36.421	23:3
36.980	24:1
37.707	24:2
38.633	24:3
39.808	25:1
40.383	25:2
40.960	25:3
41.442	26:1
41.915	26:2
42.469	26:3
42.853	27:1
43.294	27:2
43.886	27:3
44.431	28:1
45.078	28:2
45.650	28:3
46.116	29:1
46.615	29:2
47.048	29:3
47.476	30:1
47.883	30:2
48.344	30:3
48.753	31:1
49.145	31:2
49.609	31:3
50.133	32:1
50.772	32:2
51.961	32:3
52.979	33:1
53.403	33:2
53.796	33:3
54.171	34:1
54.541	34:2
54.940	34:3
55.309	35:1
55.697	35:2
56.084	35:3
56.471	36:1
56.822	36:2
57.202	36:3
57.585	37:1
57.999	37:2
58.316	37:3
58.629	38:1
58.962	38:2
59.313	38:3
59.708	39:1
60.047	39:2
60.347	39:3
60.673	40:1
61.000	40:2
61.357	40:3
61.715	41:1
62.109	41:2
62.428	41:3
62.744	42:1
63.063	42:2
63.457	42:3
63.800	43:1
64.114	43:2
64.456	43:3
64.834	44:1
65.286	44:2
65.879	44:3
66.458	45:1
66.907	45:2
67.399	45:3
67.843	46:1
68.277	46:2
68.747	46:3
69.188	47:1
69.614	47:2
70.072	47:3
70.519	48:1
70.959	48:2
71.425	48:3
71.856	49:1
72.283	49:2
72.715	49:3
73.158	50:1
73.568	50:2
74.026	50:3
74.488	51:1
74.858	51:2
75.301	51:3
75.834	52:1
76.415	52:2
77.113	52:3
77.830	53:1
78.286	53:2
78.734	53:3
79.170	54:1
79.608	54:2
80.086	54:3
80.506	55:1
80.914	55:2
81.368	55:3
81.812	56:1
82.263	56:2
82.733	56:3
83.162	57:1
83.591	57:2
84.026	57:3
84.474	58:1
84.840	58:2
85.322	58:3
85.776	59:1
86.236	59:2
86.717	59:3
87.406	60:1
88.468	60:2
89.992	60:3
