# !!!performance-id:	pid9075b-19
# !!!title:	        Mazurka in F major, Op. 68, No. 3
# !!!trials:	        1
# !!!date:	        2006/11/08/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Arthur Rubinstein
# !!!performance-date:	1952
# !!!label:	        BMG 09026 63027-2
# !!!label-title:	        The Rubinstein Collection, Vol. 27
# !!!offset:		0
0.224	1:1
0.601	1:2
0.971	1:3
1.325	2:1
1.777	2:2
2.161	2:3
2.515	3:1
2.889	3:2
3.235	3:3
3.634	4:1
4.035	4:2
4.382	4:3
4.686	5:1
5.057	5:2
5.375	5:3
5.712	6:1
6.040	6:2
6.385	6:3
6.704	7:1
7.043	7:2
7.345	7:3
7.665	8:1
8.098	8:2
8.611	8:3
9.039	9:1
9.410	9:2
9.765	9:3
10.108	10:1
10.556	10:2
10.940	10:3
11.275	11:1
11.659	11:2
11.995	11:3
12.369	12:1
12.786	12:2
13.179	12:3
13.524	13:1
13.894	13:2
14.241	13:3
14.580	14:1
14.911	14:2
15.235	14:3
15.553	15:1
15.874	15:2
16.237	15:3
16.695	16:1
17.055	16:2
17.537	16:3
17.935	17:1
18.343	17:2
18.679	17:3
18.947	18:1
19.311	18:2
19.675	18:3
20.019	19:1
20.398	19:2
20.705	19:3
21.030	20:1
21.524	20:2
22.128	20:3
22.620	21:1
23.030	21:2
23.365	21:3
23.612	22:1
23.996	22:2
24.383	22:3
24.705	23:1
25.073	23:2
25.375	23:3
25.695	24:1
26.274	24:2
27.112	24:3
27.914	25:1
28.345	25:2
28.755	25:3
29.105	26:1
29.540	26:2
29.868	26:3
30.185	27:1
30.534	27:2
30.855	27:3
31.193	28:1
31.602	28:2
31.944	28:3
32.275	29:1
32.642	29:2
32.960	29:3
33.305	30:1
33.632	30:2
33.985	30:3
34.335	31:1
34.664	31:2
35.025	31:3
35.455	32:1
35.895	32:2
36.627	32:3
37.246	33:1
37.581	33:2
37.915	33:3
38.263	34:1
38.540	34:2
38.845	34:3
39.161	35:1
39.455	35:2
39.765	35:3
40.035	36:1
40.355	36:2
40.645	36:3
40.925	37:1
41.215	37:2
41.485	37:3
41.744	38:1
42.028	38:2
42.301	38:3
42.632	39:1
42.908	39:2
43.169	39:3
43.447	40:1
43.726	40:2
43.998	40:3
44.295	41:1
44.613	41:2
44.878	41:3
45.184	42:1
45.457	42:2
45.729	42:3
46.100	43:1
46.404	43:2
46.723	43:3
47.088	44:1
47.570	44:2
48.221	44:3
49.020	45:1
49.554	45:2
49.940	45:3
50.340	46:1
50.834	46:2
51.244	46:3
51.608	47:1
51.988	47:2
52.335	47:3
52.675	48:1
53.103	48:2
53.510	48:3
53.865	49:1
54.258	49:2
54.615	49:3
54.955	50:1
55.330	50:2
55.665	50:3
56.005	51:1
56.337	51:2
56.705	51:3
57.095	52:1
57.576	52:2
58.149	52:3
58.684	53:1
59.061	53:2
59.452	53:3
59.819	54:1
60.261	54:2
60.630	54:3
60.945	55:1
61.312	55:2
61.675	55:3
61.995	56:1
62.399	56:2
62.803	56:3
63.125	57:1
63.523	57:2
63.845	57:3
64.205	58:1
64.533	58:2
64.875	58:3
65.225	59:1
65.589	59:2
65.975	59:3
66.465	60:1
66.965	60:2
67.474	60:3
