# !!!performance-id:	pid9088-25
# !!!title:	        Mazurka in F major, Op. 68, No. 3
# !!!trials:	        1
# !!!date:	        2007/01/19/
# !!!reverse-conductor:	Craig Stuart Sapp
# !!!performer:	        Faina Lushtak
# !!!performance-date:	2004
# !!!label:	        Centaur CRC 2707
# !!!label-title:	        Chopin Mazurkas, Faina Lushtak, piano
# !!!offset:		0
0.298	1:1
1.008	1:2
1.528	1:3
2.088	2:1
2.718	2:2
3.418	2:3
4.118	3:1
4.768	3:2
5.238	3:3
5.748	4:1
6.328	4:2
7.103	4:3
7.878	5:1
8.678	5:2
9.178	5:3
9.618	6:1
10.078	6:2
10.598	6:3
11.258	7:1
11.778	7:2
12.358	7:3
13.198	8:1
14.118	8:2
15.228	8:3
16.338	9:1
17.398	9:2
17.928	9:3
18.458	10:1
19.228	10:2
19.868	10:3
20.508	11:1
21.178	11:2
21.638	11:3
22.188	12:1
23.049	12:2
23.868	12:3
24.648	13:1
25.510	13:2
26.018	13:3
26.458	14:1
26.918	14:2
27.338	14:3
27.938	15:1
28.468	15:2
29.048	15:3
29.868	16:1
30.948	16:2
31.949	16:3
32.798	17:1
33.508	17:2
33.998	17:3
34.398	18:1
34.939	18:2
35.548	18:3
36.258	19:1
36.828	19:2
37.228	19:3
37.638	20:1
38.118	20:2
38.833	20:3
39.548	21:1
40.288	21:2
40.738	21:3
41.278	22:1
42.028	22:2
42.568	22:3
43.338	23:1
44.138	23:2
44.658	23:3
45.328	24:1
46.398	24:2
47.488	24:3
48.578	25:1
49.688	25:2
50.278	25:3
50.948	26:1
51.978	26:2
52.728	26:3
53.478	27:1
54.068	27:2
54.508	27:3
54.998	28:1
55.638	28:2
56.313	28:3
56.988	29:1
57.698	29:2
58.138	29:3
58.578	30:1
59.048	30:2
59.568	30:3
60.298	31:1
60.858	31:2
61.458	31:3
62.348	32:1
63.588	32:2
65.063	32:3
66.530	33:1
66.942	33:2
67.359	33:3
67.888	34:1
68.278	34:2
68.638	34:3
68.938	35:1
69.248	35:2
69.538	35:3
69.838	36:1
70.128	36:2
70.418	36:3
71.192	37:1
71.588	37:2
71.941	37:3
72.228	38:1
72.488	38:2
72.728	38:3
73.028	39:1
73.269	39:2
73.549	39:3
73.778	40:1
74.058	40:2
74.318	40:3
74.794	41:1
75.208	41:2
75.488	41:3
75.778	42:1
76.027	42:2
76.278	42:3
76.588	43:1
76.888	43:2
77.198	43:3
77.518	44:1
78.018	44:2
78.878	44:3
80.258	45:1
81.048	45:2
81.628	45:3
82.298	46:1
83.068	46:2
83.798	46:3
84.528	47:1
85.288	47:2
85.818	47:3
86.318	48:1
86.927	48:2
87.645	48:3
88.358	49:1
89.196	49:2
89.668	49:3
90.108	50:1
90.568	50:2
91.058	50:3
91.658	51:1
92.148	51:2
92.758	51:3
93.590	52:1
94.608	52:2
95.811	52:3
96.928	53:1
98.139	53:2
98.788	53:3
99.548	54:1
100.768	54:2
101.886	54:3
102.939	55:1
103.878	55:2
104.458	55:3
105.198	56:1
106.358	56:2
107.408	56:3
108.458	57:1
109.584	57:2
110.198	57:3
110.978	58:1
111.898	58:2
112.488	58:3
113.288	59:1
114.138	59:2
115.228	59:3
116.538	60:1
118.938	60:2
121.083	60:3
