score,measure,beat,strip,page,hpixel
bwv8492_v1,1,1,1,0,84
bwv8492_v1,1,2,1,0,
bwv8492_v1,1,3,1,0,
bwv8492_v1,1,4,1,0,
bwv8492_v1,2,1,1,0,
bwv8492_v1,2,2,1,0,
bwv8492_v1,2,3,1,0,
bwv8492_v1,2,4,1,0,
bwv8492_v1,3,1,1,0,
bwv8492_v1,3,2,1,0,
bwv8492_v1,3,3,1,0,
bwv8492_v1,3,4,1,0,
bwv8492_v1,4,1,1,0,180
bwv8492_v1,4,2,1,0,192
bwv8492_v1,4,3,1,0,201
bwv8492_v1,4,4,1,0,
bwv8492_v1,5,1,1,0,
bwv8492_v1,5,2,1,0,
bwv8492_v1,5,3,1,0,
bwv8492_v1,5,4,1,0,
bwv8492_v1,6,1,1,0,
bwv8492_v1,6,2,1,0,
bwv8492_v1,6,3,1,0,
bwv8492_v1,6,4,1,0,
bwv8492_v1,7,1,1,0,373
bwv8492_v1,7,2,1,0,392
bwv8492_v1,7,3,1,0,407
bwv8492_v1,7,4,1,0,422
bwv8492_v1,8,1,1,0,
bwv8492_v1,8,2,1,0,
bwv8492_v1,8,3,1,0,
bwv8492_v1,8,4,1,0,
bwv8492_v1,9,1,2,0,
bwv8492_v1,9,2,2,0,
bwv8492_v1,9,3,2,0,
bwv8492_v1,9,4,2,0,
bwv8492_v1,10,1,2,0,106
bwv8492_v1,10,2,2,0,120
bwv8492_v1,10,3,2,0,134
bwv8492_v1,10,4,2,0,147
bwv8492_v1,11,1,2,0,
bwv8492_v1,11,2,2,0,
bwv8492_v1,11,3,2,0,
bwv8492_v1,11,4,2,0,
bwv8492_v1,12,1,2,0,
bwv8492_v1,12,2,2,0,
bwv8492_v1,12,3,2,0,
bwv8492_v1,12,4,2,0,
bwv8492_v1,13,1,2,0,320
bwv8492_v1,13,2,2,0,334
bwv8492_v1,13,3,2,0,347
bwv8492_v1,13,4,2,0,361
bwv8492_v1,14,1,2,0,
bwv8492_v1,14,2,2,0,
bwv8492_v1,14,3,2,0,
bwv8492_v1,14,4,2,0,
bwv8492_v1,15,1,2,0,
bwv8492_v1,15,2,2,0,
bwv8492_v1,15,3,2,0,
bwv8492_v1,15,4,2,0,
bwv8492_v1,16,1,3,0,35
bwv8492_v1,16,2,3,0,54
bwv8492_v1,16,3,3,0,70
bwv8492_v1,16,4,3,0,82
bwv8492_v1,17,1,3,0,
bwv8492_v1,17,2,3,0,
bwv8492_v1,17,3,3,0,
bwv8492_v1,17,4,3,0,
bwv8492_v1,18,1,3,0,
