score,measure,beat,strip,page,hpixel
op117no2_v1,0,3,1,0,92
op117no2_v1,1,1,1,0,135
op117no2_v1,1,2,1,0,176
op117no2_v1,1,3,1,0,213
op117no2_v1,2,1,1,0,
op117no2_v1,2,2,1,0,
op117no2_v1,2,3,1,0,
op117no2_v1,3,1,1,0,376
op117no2_v1,3,2,1,0,414
op117no2_v1,3,3,1,0,452
op117no2_v1,4,1,2,0,
op117no2_v1,4,2,2,0,
op117no2_v1,4,3,2,0,
op117no2_v1,5,1,2,0,157
op117no2_v1,5,2,2,0,192
op117no2_v1,5,3,2,0,226
op117no2_v1,6,1,2,0,
op117no2_v1,6,2,2,0,
op117no2_v1,6,3,2,0,
op117no2_v1,7,1,2,0,392
op117no2_v1,7,2,2,0,427
op117no2_v1,7,3,2,0,460
op117no2_v1,8,1,3,0,
op117no2_v1,8,2,3,0,
op117no2_v1,8,3,3,0,
op117no2_v1,9,1,3,0,156
op117no2_v1,9,2,3,0,194
op117no2_v1,9,3,3,0,230
op117no2_v1,10,1,3,0,
op117no2_v1,10,2,3,0,
op117no2_v1,10,3,3,0,
op117no2_v1,11,1,3,0,381
op117no2_v1,11,2,3,0,417
op117no2_v1,11,3,3,0,454
op117no2_v1,12,1,4,0,
op117no2_v1,12,2,4,0,
op117no2_v1,12,3,4,0,
op117no2_v1,13,1,4,0,162
op117no2_v1,13,2,4,0,206
op117no2_v1,13,3,4,0,244
op117no2_v1,14,1,4,0,
op117no2_v1,14,2,4,0,
op117no2_v1,14,3,4,0,
op117no2_v1,15,1,4,0,396
op117no2_v1,15,2,4,0,426
op117no2_v1,15,3,4,0,459
op117no2_v1,16,1,5,0,
op117no2_v1,16,2,5,0,
op117no2_v1,16,3,5,0,
op117no2_v1,17,1,5,0,146
op117no2_v1,17,2,5,0,175
op117no2_v1,17,3,5,0,211
op117no2_v1,18,1,5,0,
op117no2_v1,18,2,5,0,
op117no2_v1,18,3,5,0,
op117no2_v1,19,1,5,0,374
op117no2_v1,19,2,5,0,413
op117no2_v1,19,3,5,0,456
op117no2_v1,1,1,1,1,
op117no2_v1,1,2,1,1,
op117no2_v1,1,3,1,1,
op117no2_v1,2,1,1,1,167
op117no2_v1,2,2,1,1,230
op117no2_v1,2,3,1,1,293
op117no2_v1,3,1,1,1,
op117no2_v1,3,2,1,1,
op117no2_v1,3,3,1,1,
op117no2_v1,4,1,1,1,428
op117no2_v1,4,2,1,1,453
