score,measure,beat,strip,page,hpixel
op30no2_v1,0,3,1,0,86
op30no2_v1,1,1,1,0,117
op30no2_v1,1,2,1,0,165
op30no2_v1,1,3,1,0,188
op30no2_v1,2,1,1,0,227
op30no2_v1,2,2,1,0,261
op30no2_v1,2,3,1,0,284
op30no2_v1,3,1,1,0,324
op30no2_v1,3,2,1,0,372
op30no2_v1,3,3,1,0,397
op30no2_v1,4,1,1,0,436
op30no2_v1,4,2,1,0,478
op30no2_v1,4,3,1,0,502
op30no2_v1,5,1,2,0,33
op30no2_v1,5,2,2,0,72
op30no2_v1,5,3,2,0,90
op30no2_v1,6,1,2,0,113
op30no2_v1,6,2,2,0,140
op30no2_v1,6,3,2,0,157
op30no2_v1,7,1,2,0,184
op30no2_v1,7,2,2,0,224
op30no2_v1,7,3,2,0,248
op30no2_v1,8,1,2,0,274
op30no2_v1,8,2,2,0,301
op30no2_v1,8,3,2,0,318
op30no2_v1,9,1,2,0,357
op30no2_v1,9,2,2,0,396
op30no2_v1,9,3,2,0,414
op30no2_v1,10,1,2,0,445
op30no2_v1,10,2,2,0,487
op30no2_v1,10,3,2,0,507
op30no2_v1,11,1,3,0,45
op30no2_v1,11,2,3,0,86
op30no2_v1,11,3,3,0,105
op30no2_v1,12,1,3,0,138
op30no2_v1,12,2,3,0,183
op30no2_v1,12,3,3,0,204
op30no2_v1,13,1,3,0,239
op30no2_v1,13,2,3,0,279
op30no2_v1,13,3,3,0,301
op30no2_v1,14,1,3,0,333
op30no2_v1,14,2,3,0,379
op30no2_v1,14,3,3,0,400
op30no2_v1,15,1,3,0,434
op30no2_v1,15,2,3,0,475
op30no2_v1,15,3,3,0,501
op30no2_v1,16,1,4,0,34
op30no2_v1,16,2,4,0,79
op30no2_v1,16,3,4,0,100
op30no2_v1,17,1,4,0,137
op30no2_v1,17,2,4,0,170
op30no2_v1,17,3,4,0,197
op30no2_v1,18,1,4,0,236
op30no2_v1,18,2,4,0,268
op30no2_v1,18,3,4,0,295
op30no2_v1,19,1,4,0,337
op30no2_v1,19,2,4,0,371
op30no2_v1,19,3,4,0,397
op30no2_v1,20,1,4,0,437
op30no2_v1,20,2,4,0,465
op30no2_v1,20,3,4,0,492
op30no2_v1,21,1,5,0,49
op30no2_v1,21,2,5,0,82
op30no2_v1,21,3,5,0,107
op30no2_v1,22,1,5,0,151
op30no2_v1,22,2,5,0,202
op30no2_v1,22,3,5,0,223
op30no2_v1,23,1,5,0,256
op30no2_v1,23,2,5,0,298
op30no2_v1,23,3,5,0,318
op30no2_v1,24,1,5,0,359
op30no2_v1,24,2,5,0,379
op30no2_v1,24,3,5,0,405
op30no2_v1,25,1,5,0,436
op30no2_v1,25,2,5,0,468
op30no2_v1,25,3,5,0,496
op30no2_v1,26,1,6,0,35
op30no2_v1,26,2,6,0,66
op30no2_v1,26,3,6,0,93
op30no2_v1,27,1,6,0,135
op30no2_v1,27,2,6,0,169
op30no2_v1,27,3,6,0,194
op30no2_v1,28,1,6,0,232
op30no2_v1,28,2,6,0,259
op30no2_v1,28,3,6,0,284
op30no2_v1,29,1,6,0,329
op30no2_v1,29,2,6,0,362
op30no2_v1,29,3,6,0,389
op30no2_v1,30,1,6,0,431
op30no2_v1,30,2,6,0,482
op30no2_v1,30,3,6,0,502
op30no2_v1,1,1,1,1,39
op30no2_v1,1,2,1,1,75
op30no2_v1,1,3,1,1,98
op30no2_v1,2,1,1,1,135
op30no2_v1,2,2,1,1,154
op30no2_v1,2,3,1,1,171
op30no2_v1,3,1,1,1,209
op30no2_v1,3,2,1,1,239
op30no2_v1,3,3,1,1,258
op30no2_v1,4,1,1,1,286
op30no2_v1,4,2,1,1,309
op30no2_v1,4,3,1,1,330
op30no2_v1,5,1,1,1,369
op30no2_v1,5,2,1,1,410
op30no2_v1,5,3,1,1,428
op30no2_v1,6,1,1,1,459
