score,measure,beat,strip,page,hpixel
op36no3mv3_v1,1,1,1,0,84
op36no3mv3_v1,1,2,1,0,111
op36no3mv3_v1,2,1,1,0,
op36no3mv3_v1,2,2,1,0,
op36no3mv3_v1,3,1,1,0,227
op36no3mv3_v1,3,2,1,0,267
op36no3mv3_v1,4,1,1,0,
op36no3mv3_v1,4,2,1,0,
op36no3mv3_v1,5,1,1,0,373
op36no3mv3_v1,5,2,1,0,415
op36no3mv3_v1,6,1,1,0,
op36no3mv3_v1,6,2,1,0,
op36no3mv3_v1,7,1,2,0,42
op36no3mv3_v1,7,2,2,0,81
op36no3mv3_v1,8,1,2,0,
op36no3mv3_v1,8,2,2,0,
op36no3mv3_v1,9,1,2,0,207
op36no3mv3_v1,9,2,2,0,229
op36no3mv3_v1,10,1,2,0,
op36no3mv3_v1,10,2,2,0,
op36no3mv3_v1,11,1,2,0,329
op36no3mv3_v1,11,2,2,0,367
op36no3mv3_v1,12,1,2,0,
op36no3mv3_v1,12,2,2,0,
op36no3mv3_v1,13,1,2,0,470
op36no3mv3_v1,13,2,2,0,508
op36no3mv3_v1,14,1,3,0,
op36no3mv3_v1,14,2,3,0,
op36no3mv3_v1,15,1,3,0,122
op36no3mv3_v1,15,2,3,0,156
op36no3mv3_v1,16,1,3,0,
op36no3mv3_v1,16,2,3,0,
op36no3mv3_v1,17,1,3,0,289
op36no3mv3_v1,17,2,3,0,318
op36no3mv3_v1,18,1,3,0,
op36no3mv3_v1,18,2,3,0,
op36no3mv3_v1,19,1,3,0,396
op36no3mv3_v1,19,2,3,0,416
op36no3mv3_v1,20,1,3,0,
op36no3mv3_v1,20,2,3,0,
op36no3mv3_v1,21,1,3,0,496
op36no3mv3_v1,21,2,3,0,531
op36no3mv3_v1,22,1,3,0,
op36no3mv3_v1,22,2,3,0,
op36no3mv3_v1,23,1,4,0,48
op36no3mv3_v1,23,2,4,0,77
op36no3mv3_v1,24,1,4,0,
op36no3mv3_v1,24,2,4,0,
op36no3mv3_v1,25,1,4,0,169
op36no3mv3_v1,25,2,4,0,203
op36no3mv3_v1,26,1,4,0,
op36no3mv3_v1,26,2,4,0,
op36no3mv3_v1,27,1,4,0,300
op36no3mv3_v1,27,2,4,0,331
op36no3mv3_v1,28,1,4,0,
op36no3mv3_v1,28,2,4,0,
op36no3mv3_v1,29,1,4,0,417
op36no3mv3_v1,29,2,4,0,452
op36no3mv3_v1,30,1,4,0,
op36no3mv3_v1,30,2,4,0,
op36no3mv3_v1,1,1,1,1,14
op36no3mv3_v1,1,2,1,1,57
op36no3mv3_v1,2,1,1,1,
op36no3mv3_v1,2,2,1,1,
op36no3mv3_v1,3,1,1,1,185
op36no3mv3_v1,3,2,1,1,226
op36no3mv3_v1,4,1,1,1,
op36no3mv3_v1,4,2,1,1,
op36no3mv3_v1,5,1,1,1,358
op36no3mv3_v1,5,2,1,1,401
op36no3mv3_v1,6,1,1,1,
op36no3mv3_v1,6,2,1,1,
op36no3mv3_v1,7,1,2,1,12
op36no3mv3_v1,7,2,2,1,49
op36no3mv3_v1,8,1,2,1,
op36no3mv3_v1,8,2,2,1,
op36no3mv3_v1,9,1,2,1,167
op36no3mv3_v1,9,2,2,1,195
op36no3mv3_v1,10,1,2,1,
op36no3mv3_v1,10,2,2,1,
op36no3mv3_v1,11,1,2,1,299
op36no3mv3_v1,11,2,2,1,320
op36no3mv3_v1,12,1,2,1,
op36no3mv3_v1,12,2,2,1,
op36no3mv3_v1,13,1,2,1,405
op36no3mv3_v1,13,2,2,1,432
op36no3mv3_v1,14,1,2,1,
op36no3mv3_v1,14,2,2,1,
op36no3mv3_v1,15,1,3,1,12
op36no3mv3_v1,15,2,3,1,36
op36no3mv3_v1,16,1,3,1,
op36no3mv3_v1,16,2,3,1,
op36no3mv3_v1,17,1,3,1,140
op36no3mv3_v1,17,2,3,1,177
op36no3mv3_v1,18,1,3,1,
op36no3mv3_v1,18,2,3,1,
op36no3mv3_v1,19,1,3,1,279
op36no3mv3_v1,19,2,3,1,314
op36no3mv3_v1,20,1,3,1,
op36no3mv3_v1,20,2,3,1,
op36no3mv3_v1,21,1,3,1,435
op36no3mv3_v1,21,2,3,1,477
op36no3mv3_v1,22,1,4,1,
op36no3mv3_v1,22,2,4,1,
