score,measure,beat,strip,page,hpixel
childrencorner3_v1,1,1,1,0,108
childrencorner3_v1,1,2,1,0,140
childrencorner3_v1,1,3,1,0,169
childrencorner3_v1,2,1,1,0,
childrencorner3_v1,2,2,1,0,
childrencorner3_v1,2,3,1,0,
childrencorner3_v1,3,1,1,0,
childrencorner3_v1,3,2,1,0,
childrencorner3_v1,3,3,1,0,
childrencorner3_v1,4,1,1,0,427
childrencorner3_v1,4,2,1,0,458
childrencorner3_v1,4,3,1,0,488
childrencorner3_v1,5,1,2,0,
childrencorner3_v1,5,2,2,0,
childrencorner3_v1,5,3,2,0,
childrencorner3_v1,6,1,2,0,
childrencorner3_v1,6,2,2,0,
childrencorner3_v1,6,3,2,0,
childrencorner3_v1,7,1,2,0,297
childrencorner3_v1,7,2,2,0,
childrencorner3_v1,7,3,2,0,
childrencorner3_v1,8,1,2,0,
childrencorner3_v1,8,2,2,0,
childrencorner3_v1,8,3,2,0,
childrencorner3_v1,9,1,3,0,
childrencorner3_v1,9,2,3,0,
childrencorner3_v1,9,3,3,0,
childrencorner3_v1,10,1,3,0,162
childrencorner3_v1,10,2,3,0,197
childrencorner3_v1,10,3,3,0,233
childrencorner3_v1,11,1,3,0,
childrencorner3_v1,11,2,3,0,
childrencorner3_v1,11,3,3,0,
childrencorner3_v1,12,1,3,0,
childrencorner3_v1,12,2,3,0,
childrencorner3_v1,12,3,3,0,
childrencorner3_v1,13,1,4,0,41
childrencorner3_v1,13,2,4,0,77
childrencorner3_v1,13,3,4,0,113
childrencorner3_v1,14,1,4,0,
childrencorner3_v1,14,2,4,0,
childrencorner3_v1,14,3,4,0,
childrencorner3_v1,15,1,4,0,
childrencorner3_v1,15,2,4,0,
childrencorner3_v1,15,3,4,0,
childrencorner3_v1,16,1,4,0,413
childrencorner3_v1,16,2,4,0,450
childrencorner3_v1,16,3,4,0,483
childrencorner3_v1,1,1,1,1,
childrencorner3_v1,1,2,1,1,
childrencorner3_v1,1,3,1,1,
childrencorner3_v1,2,1,1,1,
childrencorner3_v1,2,2,1,1,
childrencorner3_v1,2,3,1,1,
childrencorner3_v1,3,1,1,1,239
childrencorner3_v1,3,2,1,1,270
childrencorner3_v1,3,3,1,1,295
childrencorner3_v1,4,1,1,1,
childrencorner3_v1,4,2,1,1,
childrencorner3_v1,4,3,1,1,
childrencorner3_v1,5,1,1,1,
childrencorner3_v1,5,2,1,1,
childrencorner3_v1,5,3,1,1,
childrencorner3_v1,6,1,2,1,38
childrencorner3_v1,6,2,2,1,79
childrencorner3_v1,6,3,2,1,111
childrencorner3_v1,7,1,2,1,
