score,measure,beat,strip,page,hpixel
etude3_v1,1,1,1,0,117
etude3_v1,1,2,1,0,146
etude3_v1,1,3,1,0,174
etude3_v1,2,1,1,0,
etude3_v1,2,2,1,0,
etude3_v1,2,3,1,0,
etude3_v1,3,1,1,0,
etude3_v1,3,2,1,0,
etude3_v1,3,3,1,0,
etude3_v1,4,1,1,0,392
etude3_v1,4,2,1,0,429
etude3_v1,4,3,1,0,482
etude3_v1,5,1,2,0,
etude3_v1,5,2,2,0,
etude3_v1,5,3,2,0,
etude3_v1,6,1,2,0,
etude3_v1,6,2,2,0,
etude3_v1,6,3,2,0,
etude3_v1,7,1,2,0,378
etude3_v1,7,2,2,0,427
etude3_v1,7,3,2,0,482
etude3_v1,8,1,3,0,
etude3_v1,8,2,3,0,
etude3_v1,8,3,3,0,
etude3_v1,9,1,3,0,
etude3_v1,9,2,3,0,
etude3_v1,9,3,3,0,
etude3_v1,10,1,3,0,379
etude3_v1,10,2,3,0,430
etude3_v1,10,3,3,0,481
etude3_v1,11,1,4,0,
etude3_v1,11,2,4,0,
etude3_v1,11,3,4,0,
etude3_v1,12,1,4,0,
etude3_v1,12,2,4,0,
etude3_v1,12,3,4,0,
etude3_v1,13,1,4,0,363
etude3_v1,13,2,4,0,415
etude3_v1,13,3,4,0,479
etude3_v1,1,1,1,1,
etude3_v1,1,2,1,1,
etude3_v1,1,3,1,1,
etude3_v1,2,1,1,1,
etude3_v1,2,2,1,1,
etude3_v1,2,3,1,1,
etude3_v1,3,1,1,1,396
etude3_v1,3,2,1,1,441
etude3_v1,3,3,1,1,486
etude3_v1,4,1,2,1,
etude3_v1,4,2,2,1,
etude3_v1,4,3,2,1,
etude3_v1,5,1,2,1,
etude3_v1,5,2,2,1,
etude3_v1,5,3,2,1,
etude3_v1,6,1,2,1,385
etude3_v1,6,2,2,1,433
etude3_v1,6,3,2,1,487
etude3_v1,7,1,3,1,
etude3_v1,7,2,3,1,
etude3_v1,7,3,3,1,
etude3_v1,8,1,3,1,
etude3_v1,8,2,3,1,
etude3_v1,8,3,3,1,
etude3_v1,9,1,3,1,361
etude3_v1,9,2,3,1,420
etude3_v1,9,3,3,1,486
etude3_v1,10,1,4,1,
etude3_v1,10,2,4,1,
etude3_v1,10,3,4,1,
etude3_v1,11,1,4,1,
etude3_v1,11,2,4,1,
etude3_v1,11,3,4,1,
etude3_v1,12,1,4,1,379
etude3_v1,12,2,4,1,434
etude3_v1,12,3,4,1,482
etude3_v1,1,1,1,2,
etude3_v1,1,2,1,2,
etude3_v1,1,3,1,2,
etude3_v1,2,1,1,2,
etude3_v1,2,2,1,2,
etude3_v1,2,3,1,2,
etude3_v1,3,1,1,2,385
etude3_v1,3,2,1,2,434
