score,measure,beat,strip,page,hpixel
op19no2_v1,0,3,1,0,61
op19no2_v1,1,1,1,0,93
op19no2_v1,1,2,1,0,117
op19no2_v1,1,3,1,0,146
op19no2_v1,2,1,1,0,
op19no2_v1,2,2,1,0,
op19no2_v1,2,3,1,0,
op19no2_v1,3,1,1,0,272
op19no2_v1,3,2,1,0,296
op19no2_v1,3,3,1,0,325
op19no2_v1,4,1,1,0,
op19no2_v1,4,2,1,0,
op19no2_v1,4,3,1,0,
op19no2_v1,5,1,1,0,445
op19no2_v1,5,2,1,0,470
op19no2_v1,5,3,1,0,494
op19no2_v1,6,1,2,0,
op19no2_v1,6,2,2,0,
op19no2_v1,6,3,2,0,
op19no2_v1,7,1,2,0,86
op19no2_v1,7,2,2,0,107
op19no2_v1,7,3,2,0,130
op19no2_v1,8,1,2,0,
op19no2_v1,8,2,2,0,
op19no2_v1,8,3,2,0,
op19no2_v1,9,1,2,0,235
op19no2_v1,9,2,2,0,255
op19no2_v1,9,3,2,0,280
op19no2_v1,10,1,2,0,
op19no2_v1,10,2,2,0,
op19no2_v1,10,3,2,0,
op19no2_v1,11,1,2,0,387
op19no2_v1,11,2,2,0,407
op19no2_v1,11,3,2,0,430
op19no2_v1,12,1,2,0,
op19no2_v1,12,2,2,0,
op19no2_v1,12,3,2,0,
op19no2_v1,13,1,3,0,11
op19no2_v1,13,2,3,0,35
op19no2_v1,13,3,3,0,59
op19no2_v1,14,1,3,0,
op19no2_v1,14,2,3,0,
op19no2_v1,14,3,3,0,
op19no2_v1,15,1,3,0,175
op19no2_v1,15,2,3,0,199
op19no2_v1,15,3,3,0,222
op19no2_v1,16,1,3,0,
op19no2_v1,16,2,3,0,
op19no2_v1,16,3,3,0,
op19no2_v1,17,1,3,0,342
op19no2_v1,17,2,3,0,367
op19no2_v1,17,3,3,0,392
op19no2_v1,18,1,3,0,
op19no2_v1,18,2,3,0,
op19no2_v1,18,3,3,0,
op19no2_v1,19,1,4,0,15
op19no2_v1,19,2,4,0,47
op19no2_v1,19,3,4,0,69
op19no2_v1,20,1,4,0,
op19no2_v1,20,2,4,0,
op19no2_v1,20,3,4,0,
op19no2_v1,21,1,4,0,191
op19no2_v1,21,2,4,0,215
op19no2_v1,21,3,4,0,242
op19no2_v1,22,1,4,0,
op19no2_v1,22,2,4,0,
op19no2_v1,22,3,4,0,
op19no2_v1,23,1,4,0,352
op19no2_v1,23,2,4,0,382
op19no2_v1,23,3,4,0,405
op19no2_v1,24,1,4,0,
op19no2_v1,24,2,4,0,
op19no2_v1,24,3,4,0,
op19no2_v1,25,1,5,0,12
op19no2_v1,25,2,5,0,30
op19no2_v1,25,3,5,0,50
op19no2_v1,26,1,5,0,
op19no2_v1,26,2,5,0,
op19no2_v1,26,3,5,0,
op19no2_v1,27,1,5,0,147
op19no2_v1,27,2,5,0,167
op19no2_v1,27,3,5,0,188
op19no2_v1,28,1,5,0,
op19no2_v1,28,2,5,0,
op19no2_v1,28,3,5,0,
op19no2_v1,29,1,5,0,301
op19no2_v1,29,2,5,0,321
op19no2_v1,29,3,5,0,347
op19no2_v1,30,1,5,0,
op19no2_v1,30,2,5,0,
op19no2_v1,30,3,5,0,
op19no2_v1,31,1,5,0,457
op19no2_v1,31,2,5,0,475
op19no2_v1,31,3,5,0,501
op19no2_v1,32,1,6,0,
op19no2_v1,32,2,6,0,
op19no2_v1,32,3,6,0,
op19no2_v1,33,1,6,0,96
op19no2_v1,33,2,6,0,128
op19no2_v1,33,3,6,0,155
op19no2_v1,34,1,6,0,
op19no2_v1,34,2,6,0,
op19no2_v1,34,3,6,0,
op19no2_v1,35,1,6,0,274
op19no2_v1,35,2,6,0,297
op19no2_v1,35,3,6,0,324
op19no2_v1,36,1,6,0,
op19no2_v1,36,2,6,0,
op19no2_v1,36,3,6,0,
op19no2_v1,37,1,6,0,444
op19no2_v1,37,2,6,0,471
op19no2_v1,37,3,6,0,498
op19no2_v1,38,1,7,0,
op19no2_v1,38,2,7,0,
op19no2_v1,38,3,7,0,
op19no2_v1,39,1,7,0,90
op19no2_v1,39,2,7,0,119
op19no2_v1,39,3,7,0,144
op19no2_v1,40,1,7,0,
op19no2_v1,40,2,7,0,
op19no2_v1,40,3,7,0,
op19no2_v1,41,1,7,0,260
op19no2_v1,41,2,7,0,284
op19no2_v1,41,3,7,0,313
op19no2_v1,42,1,7,0,
op19no2_v1,42,2,7,0,
op19no2_v1,42,3,7,0,
op19no2_v1,43,1,7,0,445
op19no2_v1,43,2,7,0,469
op19no2_v1,43,3,7,0,497
op19no2_v1,1,1,1,1,
op19no2_v1,1,2,1,1,
op19no2_v1,1,3,1,1,
op19no2_v1,2,1,1,1,84
op19no2_v1,2,2,1,1,106
op19no2_v1,2,3,1,1,126
op19no2_v1,3,1,1,1,
op19no2_v1,3,2,1,1,
op19no2_v1,3,3,1,1,
op19no2_v1,4,1,1,1,231
op19no2_v1,4,2,1,1,253
op19no2_v1,4,3,1,1,274
op19no2_v1,5,1,1,1,
op19no2_v1,5,2,1,1,
op19no2_v1,5,3,1,1,
op19no2_v1,6,1,1,1,385
op19no2_v1,6,2,1,1,407
op19no2_v1,6,3,1,1,427
op19no2_v1,7,1,1,1,
op19no2_v1,7,2,1,1,
op19no2_v1,7,3,1,1,
op19no2_v1,8,1,2,1,13
op19no2_v1,8,2,2,1,33
op19no2_v1,8,3,2,1,54
op19no2_v1,9,1,2,1,
op19no2_v1,9,2,2,1,
op19no2_v1,9,3,2,1,
op19no2_v1,10,1,2,1,159
op19no2_v1,10,2,2,1,180
op19no2_v1,10,3,2,1,201
op19no2_v1,11,1,2,1,
op19no2_v1,11,2,2,1,
op19no2_v1,11,3,2,1,
op19no2_v1,12,1,2,1,305
op19no2_v1,12,2,2,1,327
op19no2_v1,12,3,2,1,348
op19no2_v1,13,1,2,1,
op19no2_v1,13,2,2,1,
op19no2_v1,13,3,2,1,
op19no2_v1,14,1,2,1,450
op19no2_v1,14,2,2,1,472
op19no2_v1,14,3,2,1,499
op19no2_v1,15,1,3,1,
op19no2_v1,15,2,3,1,
op19no2_v1,15,3,3,1,
op19no2_v1,16,1,3,1,91
op19no2_v1,16,2,3,1,111
op19no2_v1,16,3,3,1,132
op19no2_v1,17,1,3,1,
op19no2_v1,17,2,3,1,
op19no2_v1,17,3,3,1,
op19no2_v1,18,1,3,1,236
op19no2_v1,18,2,3,1,260
op19no2_v1,18,3,3,1,281
op19no2_v1,19,1,3,1,
op19no2_v1,19,2,3,1,
op19no2_v1,19,3,3,1,
op19no2_v1,20,1,3,1,385
op19no2_v1,20,2,3,1,405
op19no2_v1,20,3,3,1,427
op19no2_v1,21,1,3,1,
op19no2_v1,21,2,3,1,
op19no2_v1,21,3,3,1,
op19no2_v1,22,1,4,1,13
op19no2_v1,22,2,4,1,33
op19no2_v1,22,3,4,1,54
op19no2_v1,23,1,4,1,
op19no2_v1,23,2,4,1,
op19no2_v1,23,3,4,1,
op19no2_v1,24,1,4,1,160
op19no2_v1,24,2,4,1,180
op19no2_v1,24,3,4,1,201
op19no2_v1,25,1,4,1,
op19no2_v1,25,2,4,1,
op19no2_v1,25,3,4,1,
op19no2_v1,26,1,4,1,304
op19no2_v1,26,2,4,1,325
op19no2_v1,26,3,4,1,346
op19no2_v1,27,1,4,1,
op19no2_v1,27,2,4,1,
op19no2_v1,27,3,4,1,
op19no2_v1,28,1,4,1,450
op19no2_v1,28,2,4,1,477
op19no2_v1,28,3,4,1,497
op19no2_v1,29,1,5,1,
op19no2_v1,29,2,5,1,
op19no2_v1,29,3,5,1,
op19no2_v1,30,1,5,1,100
op19no2_v1,30,2,5,1,124
op19no2_v1,30,3,5,1,151
op19no2_v1,31,1,5,1,
op19no2_v1,31,2,5,1,
op19no2_v1,31,3,5,1,
