score,measure,beat,strip,page,hpixel
kv311mv3_v1,1,1,1,0,136
kv311mv3_v1,1,2,1,0,161
kv311mv3_v1,1,3,1,0,195
kv311mv3_v1,2,1,1,0,
kv311mv3_v1,2,2,1,0,
kv311mv3_v1,2,3,1,0,
kv311mv3_v1,3,1,1,0,
kv311mv3_v1,3,2,1,0,
kv311mv3_v1,3,3,1,0,
kv311mv3_v1,4,1,1,0,
kv311mv3_v1,4,2,1,0,
kv311mv3_v1,4,3,1,0,
kv311mv3_v1,5,1,2,0,
kv311mv3_v1,5,2,2,0,
kv311mv3_v1,5,3,2,0,
kv311mv3_v1,6,1,2,0,
kv311mv3_v1,6,2,2,0,
kv311mv3_v1,6,3,2,0,
kv311mv3_v1,7,1,2,0,238
kv311mv3_v1,7,2,2,0,271
kv311mv3_v1,7,3,2,0,306
kv311mv3_v1,8,1,2,0,
kv311mv3_v1,8,2,2,0,
kv311mv3_v1,8,3,2,0,
kv311mv3_v1,9,1,2,0,
kv311mv3_v1,9,2,2,0,
kv311mv3_v1,9,3,2,0,
kv311mv3_v1,10,1,3,0,
kv311mv3_v1,10,2,3,0,
kv311mv3_v1,10,3,3,0,
kv311mv3_v1,11,1,3,0,
kv311mv3_v1,11,2,3,0,
kv311mv3_v1,11,3,3,0,
kv311mv3_v1,12,1,3,0,
kv311mv3_v1,12,2,3,0,
kv311mv3_v1,12,3,3,0,
kv311mv3_v1,13,1,3,0,295
kv311mv3_v1,13,2,3,0,331
kv311mv3_v1,13,3,3,0,372
kv311mv3_v1,14,1,3,0,
kv311mv3_v1,14,2,3,0,
kv311mv3_v1,14,3,3,0,
kv311mv3_v1,15,1,4,0,
kv311mv3_v1,15,2,4,0,
kv311mv3_v1,15,3,4,0,
kv311mv3_v1,16,1,4,0,
kv311mv3_v1,16,2,4,0,
kv311mv3_v1,16,3,4,0,
kv311mv3_v1,17,1,4,0,
kv311mv3_v1,17,2,4,0,
kv311mv3_v1,17,3,4,0,
kv311mv3_v1,18,1,4,0,
kv311mv3_v1,18,2,4,0,
kv311mv3_v1,18,3,4,0,
kv311mv3_v1,19,1,4,0,383
kv311mv3_v1,19,2,4,0,398
kv311mv3_v1,19,3,4,0,
kv311mv3_v1,20,1,4,0,
kv311mv3_v1,20,2,4,0,
kv311mv3_v1,20,3,4,0,
kv311mv3_v1,21,1,5,0,
kv311mv3_v1,21,2,5,0,
kv311mv3_v1,21,3,5,0,
kv311mv3_v1,22,1,5,0,
kv311mv3_v1,22,2,5,0,
kv311mv3_v1,22,3,5,0,
kv311mv3_v1,23,1,5,0,
kv311mv3_v1,23,2,5,0,
kv311mv3_v1,23,3,5,0,
kv311mv3_v1,24,1,5,0,
kv311mv3_v1,24,2,5,0,
kv311mv3_v1,24,3,5,0,
kv311mv3_v1,25,1,5,0,403
kv311mv3_v1,25,2,5,0,
kv311mv3_v1,25,3,5,0,
kv311mv3_v1,26,1,5,0,
kv311mv3_v1,26,2,5,0,
kv311mv3_v1,26,3,5,0,
kv311mv3_v1,27,1,6,0,
kv311mv3_v1,27,2,6,0,
kv311mv3_v1,27,3,6,0,
kv311mv3_v1,28,1,6,0,
kv311mv3_v1,28,2,6,0,
kv311mv3_v1,28,3,6,0,
kv311mv3_v1,29,1,6,0,
kv311mv3_v1,29,2,6,0,
kv311mv3_v1,29,3,6,0,
kv311mv3_v1,30,1,6,0,
kv311mv3_v1,30,2,6,0,
kv311mv3_v1,30,3,6,0,
kv311mv3_v1,31,1,6,0,371
kv311mv3_v1,31,2,6,0,386
kv311mv3_v1,31,3,6,0,
kv311mv3_v1,32,1,6,0,
kv311mv3_v1,32,2,6,0,
kv311mv3_v1,32,3,6,0,
kv311mv3_v1,1,1,1,1,
kv311mv3_v1,1,2,1,1,
kv311mv3_v1,1,3,1,1,
kv311mv3_v1,2,1,1,1,
kv311mv3_v1,2,2,1,1,
kv311mv3_v1,2,3,1,1,
kv311mv3_v1,3,1,1,1,
kv311mv3_v1,3,2,1,1,
kv311mv3_v1,3,3,1,1,
kv311mv3_v1,4,1,2,1,
kv311mv3_v1,4,2,2,1,
kv311mv3_v1,4,3,2,1,
kv311mv3_v1,5,1,2,1,205
kv311mv3_v1,5,2,2,1,258
kv311mv3_v1,5,3,2,1,308
kv311mv3_v1,6,1,2,1,
kv311mv3_v1,6,2,2,1,
kv311mv3_v1,6,3,2,1,
kv311mv3_v1,7,1,3,1,
kv311mv3_v1,7,2,3,1,
kv311mv3_v1,7,3,3,1,
kv311mv3_v1,8,1,3,1,
kv311mv3_v1,8,2,3,1,
kv311mv3_v1,8,3,3,1,
kv311mv3_v1,9,1,3,1,
kv311mv3_v1,9,2,3,1,
kv311mv3_v1,9,3,3,1,
kv311mv3_v1,10,1,3,1,
kv311mv3_v1,10,2,3,1,
kv311mv3_v1,10,3,3,1,
kv311mv3_v1,11,1,3,1,441
kv311mv3_v1,11,2,3,1,463
kv311mv3_v1,11,3,3,1,
kv311mv3_v1,12,1,4,1,
kv311mv3_v1,12,2,4,1,
kv311mv3_v1,12,3,4,1,
kv311mv3_v1,13,1,4,1,
kv311mv3_v1,13,2,4,1,
kv311mv3_v1,13,3,4,1,
kv311mv3_v1,14,1,4,1,
kv311mv3_v1,14,2,4,1,
kv311mv3_v1,14,3,4,1,
kv311mv3_v1,15,1,4,1,
kv311mv3_v1,15,2,4,1,
kv311mv3_v1,15,3,4,1,
kv311mv3_v1,16,1,4,1,
kv311mv3_v1,16,2,4,1,
kv311mv3_v1,16,3,4,1,
kv311mv3_v1,17,1,4,1,469
kv311mv3_v1,17,2,4,1,
kv311mv3_v1,17,3,4,1,500
kv311mv3_v1,18,1,5,1,
kv311mv3_v1,18,2,5,1,
kv311mv3_v1,18,3,5,1,
kv311mv3_v1,19,1,5,1,
kv311mv3_v1,19,2,5,1,
kv311mv3_v1,19,3,5,1,
kv311mv3_v1,20,1,5,1,
kv311mv3_v1,20,2,5,1,
kv311mv3_v1,20,3,5,1,
kv311mv3_v1,21,1,5,1,
kv311mv3_v1,21,2,5,1,
kv311mv3_v1,21,3,5,1,
kv311mv3_v1,22,1,5,1,
kv311mv3_v1,22,2,5,1,
kv311mv3_v1,22,3,5,1,
kv311mv3_v1,23,1,5,1,448
kv311mv3_v1,23,2,5,1,471
kv311mv3_v1,23,3,5,1,497
kv311mv3_v1,24,1,6,1,
kv311mv3_v1,24,2,6,1,
kv311mv3_v1,24,3,6,1,
kv311mv3_v1,25,1,6,1,
kv311mv3_v1,25,2,6,1,
kv311mv3_v1,25,3,6,1,
kv311mv3_v1,26,1,6,1,
kv311mv3_v1,26,2,6,1,
kv311mv3_v1,26,3,6,1,
kv311mv3_v1,1,1,1,2,
kv311mv3_v1,1,2,1,2,
kv311mv3_v1,1,3,1,2,
kv311mv3_v1,2,1,1,2,
kv311mv3_v1,2,2,1,2,
kv311mv3_v1,2,3,1,2,
kv311mv3_v1,3,1,1,2,310
kv311mv3_v1,3,2,1,2,342
kv311mv3_v1,3,3,1,2,382
kv311mv3_v1,4,1,1,2,
kv311mv3_v1,4,2,1,2,
kv311mv3_v1,4,3,1,2,
kv311mv3_v1,5,1,2,2,
kv311mv3_v1,5,2,2,2,
kv311mv3_v1,5,3,2,2,
kv311mv3_v1,6,1,2,2,
kv311mv3_v1,6,2,2,2,
kv311mv3_v1,6,3,2,2,
kv311mv3_v1,7,1,2,2,
kv311mv3_v1,7,2,2,2,
kv311mv3_v1,7,3,2,2,
kv311mv3_v1,8,1,2,2,
kv311mv3_v1,8,2,2,2,
kv311mv3_v1,8,3,2,2,
kv311mv3_v1,9,1,3,2,32
kv311mv3_v1,9,2,3,2,78
kv311mv3_v1,9,3,3,2,121
