score,measure,beat,strip,page,hpixel
kv398_v1,1,1,1,0,71
kv398_v1,1,2,1,0,93
kv398_v1,1,3,1,0,116
kv398_v1,2,1,1,0,
kv398_v1,2,2,1,0,
kv398_v1,2,3,1,0,
kv398_v1,3,1,1,0,
kv398_v1,3,2,1,0,
kv398_v1,3,3,1,0,
kv398_v1,4,1,1,0,
kv398_v1,4,2,1,0,
kv398_v1,4,3,1,0,
kv398_v1,5,1,1,0,363
kv398_v1,5,2,1,0,386
kv398_v1,5,3,1,0,410
kv398_v1,6,1,1,0,
kv398_v1,6,2,1,0,
kv398_v1,6,3,1,0,
kv398_v1,7,1,1,0,
kv398_v1,7,2,1,0,
kv398_v1,7,3,1,0,
kv398_v1,8,1,2,0,
kv398_v1,8,2,2,0,
kv398_v1,8,3,2,0,
kv398_v1,9,1,2,0,109
kv398_v1,9,2,2,0,133
kv398_v1,9,3,2,0,157
kv398_v1,10,1,2,0,
kv398_v1,10,2,2,0,
kv398_v1,10,3,2,0,
kv398_v1,11,1,2,0,
kv398_v1,11,2,2,0,
kv398_v1,11,3,2,0,
kv398_v1,12,1,2,0,
kv398_v1,12,2,2,0,
kv398_v1,12,3,2,0,
kv398_v1,13,1,2,0,434
kv398_v1,13,2,2,0,458
kv398_v1,13,3,2,0,482
kv398_v1,14,1,2,0,
kv398_v1,14,2,2,0,
kv398_v1,14,3,2,0,
kv398_v1,15,1,3,0,
kv398_v1,15,2,3,0,
kv398_v1,15,3,3,0,
kv398_v1,16,1,3,0,
kv398_v1,16,2,3,0,
kv398_v1,16,3,3,0,
kv398_v1,17,1,3,0,166
kv398_v1,17,2,3,0,189
kv398_v1,17,3,3,0,213
kv398_v1,18,1,3,0,
kv398_v1,18,2,3,0,
kv398_v1,18,3,3,0,
kv398_v1,19,1,3,0,
kv398_v1,19,2,3,0,
kv398_v1,19,3,3,0,
kv398_v1,20,1,3,0,
kv398_v1,20,2,3,0,
kv398_v1,20,3,3,0,
kv398_v1,21,1,3,0,457
kv398_v1,21,2,3,0,479
kv398_v1,21,3,3,0,501
kv398_v1,22,1,3,0,
kv398_v1,22,2,3,0,
kv398_v1,22,3,3,0,
kv398_v1,23,1,4,0,
kv398_v1,23,2,4,0,
kv398_v1,23,3,4,0,
kv398_v1,24,1,4,0,
kv398_v1,24,2,4,0,
kv398_v1,24,3,4,0,
kv398_v1,25,1,4,0,307
