score,measure,beat,strip,page,hpixel
op90no3_v1,1,1,1,0,86
op90no3_v1,1,2,1,0,135
op90no3_v1,1,3,1,0,184
op90no3_v1,1,4,1,0,233
op90no3_v1,2,1,1,0,
op90no3_v1,2,2,1,0,
op90no3_v1,2,3,1,0,
op90no3_v1,2,4,1,0,
op90no3_v1,3,1,2,0,41
op90no3_v1,3,2,2,0,94
op90no3_v1,3,3,2,0,147
op90no3_v1,3,4,2,0,199
op90no3_v1,4,1,2,0,
op90no3_v1,4,2,2,0,
op90no3_v1,4,3,2,0,
op90no3_v1,4,4,2,0,
op90no3_v1,5,1,3,0,42
op90no3_v1,5,2,3,0,95
op90no3_v1,5,3,3,0,150
op90no3_v1,5,4,3,0,203
op90no3_v1,6,1,3,0,
op90no3_v1,6,2,3,0,
op90no3_v1,6,3,3,0,
op90no3_v1,6,4,3,0,
op90no3_v1,7,1,4,0,42
op90no3_v1,7,2,4,0,98
op90no3_v1,7,3,4,0,153
op90no3_v1,7,4,4,0,209
op90no3_v1,8,1,4,0,
op90no3_v1,8,2,4,0,
op90no3_v1,8,3,4,0,
op90no3_v1,8,4,4,0,
op90no3_v1,9,1,5,0,42
op90no3_v1,9,2,5,0,96
op90no3_v1,9,3,5,0,149
op90no3_v1,9,4,5,0,206
op90no3_v1,10,1,5,0,
op90no3_v1,10,2,5,0,
op90no3_v1,10,3,5,0,
op90no3_v1,10,4,5,0,
op90no3_v1,11,1,6,0,43
op90no3_v1,11,2,6,0,95
op90no3_v1,11,3,6,0,149
op90no3_v1,11,4,6,0,201
op90no3_v1,12,1,6,0,
op90no3_v1,12,2,6,0,
op90no3_v1,12,3,6,0,
op90no3_v1,12,4,6,0,
op90no3_v1,13,1,7,0,44
op90no3_v1,13,2,7,0,97
op90no3_v1,13,3,7,0,152
op90no3_v1,13,4,7,0,211
op90no3_v1,14,1,7,0,
op90no3_v1,14,2,7,0,
op90no3_v1,14,3,7,0,
op90no3_v1,14,4,7,0,
op90no3_v1,1,1,1,1,39
op90no3_v1,1,2,1,1,93
op90no3_v1,1,3,1,1,153
op90no3_v1,1,4,1,1,209
op90no3_v1,2,1,1,1,
op90no3_v1,2,2,1,1,
op90no3_v1,2,3,1,1,
op90no3_v1,2,4,1,1,
op90no3_v1,3,1,2,1,40
op90no3_v1,3,2,2,1,94
op90no3_v1,3,3,2,1,148
op90no3_v1,3,4,2,1,209
op90no3_v1,4,1,2,1,
op90no3_v1,4,2,2,1,
op90no3_v1,4,3,2,1,
op90no3_v1,4,4,2,1,
op90no3_v1,5,1,3,1,41
op90no3_v1,5,2,3,1,98
op90no3_v1,5,3,3,1,153
op90no3_v1,5,4,3,1,207
op90no3_v1,6,1,3,1,
op90no3_v1,6,2,3,1,
op90no3_v1,6,3,3,1,
op90no3_v1,6,4,3,1,
op90no3_v1,7,1,4,1,41
op90no3_v1,7,2,4,1,93
op90no3_v1,7,3,4,1,146
op90no3_v1,7,4,4,1,207
op90no3_v1,8,1,4,1,
op90no3_v1,8,2,4,1,
op90no3_v1,8,3,4,1,
op90no3_v1,8,4,4,1,
op90no3_v1,9,1,5,1,41
op90no3_v1,9,2,5,1,94
op90no3_v1,9,3,5,1,152
op90no3_v1,9,4,5,1,206
op90no3_v1,10,1,5,1,
op90no3_v1,10,2,5,1,
op90no3_v1,10,3,5,1,
op90no3_v1,10,4,5,1,
op90no3_v1,11,1,6,1,42
op90no3_v1,11,2,6,1,95
op90no3_v1,11,3,6,1,152
op90no3_v1,11,4,6,1,206
op90no3_v1,12,1,6,1,
op90no3_v1,12,2,6,1,
op90no3_v1,12,3,6,1,
op90no3_v1,12,4,6,1,
op90no3_v1,13,1,7,1,42
op90no3_v1,13,2,7,1,96
op90no3_v1,13,3,7,1,150
op90no3_v1,13,4,7,1,204
op90no3_v1,14,1,7,1,
op90no3_v1,14,2,7,1,
op90no3_v1,14,3,7,1,
op90no3_v1,14,4,7,1,
op90no3_v1,1,1,1,2,39
op90no3_v1,1,2,1,2,98
op90no3_v1,1,3,1,2,149
op90no3_v1,1,4,1,2,201
op90no3_v1,2,1,1,2,
op90no3_v1,2,2,1,2,
op90no3_v1,2,3,1,2,
op90no3_v1,2,4,1,2,
op90no3_v1,3,1,2,2,40
op90no3_v1,3,2,2,2,97
op90no3_v1,3,3,2,2,151
op90no3_v1,3,4,2,2,207
op90no3_v1,4,1,2,2,
op90no3_v1,4,2,2,2,
op90no3_v1,4,3,2,2,
op90no3_v1,4,4,2,2,
op90no3_v1,5,1,3,2,42
op90no3_v1,5,2,3,2,95
op90no3_v1,5,3,3,2,153
op90no3_v1,5,4,3,2,205
op90no3_v1,6,1,3,2,
op90no3_v1,6,2,3,2,
op90no3_v1,6,3,3,2,
op90no3_v1,6,4,3,2,
op90no3_v1,7,1,4,2,43
op90no3_v1,7,2,4,2,90
op90no3_v1,7,3,4,2,146
op90no3_v1,7,4,4,2,204
op90no3_v1,8,1,4,2,
op90no3_v1,8,2,4,2,
op90no3_v1,8,3,4,2,
op90no3_v1,8,4,4,2,
op90no3_v1,9,1,5,2,44
op90no3_v1,9,2,5,2,93
op90no3_v1,9,3,5,2,145
op90no3_v1,9,4,5,2,198
op90no3_v1,10,1,5,2,
op90no3_v1,10,2,5,2,
op90no3_v1,10,3,5,2,
op90no3_v1,10,4,5,2,
op90no3_v1,11,1,6,2,44
op90no3_v1,11,2,6,2,97
op90no3_v1,11,3,6,2,150
op90no3_v1,11,4,6,2,205
op90no3_v1,12,1,6,2,
op90no3_v1,12,2,6,2,
op90no3_v1,12,3,6,2,
op90no3_v1,12,4,6,2,
op90no3_v1,13,1,7,2,43
op90no3_v1,13,2,7,2,97
op90no3_v1,13,3,7,2,152
op90no3_v1,13,4,7,2,214
op90no3_v1,14,1,7,2,
op90no3_v1,14,2,7,2,
op90no3_v1,14,3,7,2,
op90no3_v1,14,4,7,2,
op90no3_v1,1,1,1,3,41
op90no3_v1,1,2,1,3,94
op90no3_v1,1,3,1,3,155
op90no3_v1,1,4,1,3,213
op90no3_v1,2,1,1,3,
op90no3_v1,2,2,1,3,
op90no3_v1,2,3,1,3,
op90no3_v1,2,4,1,3,
op90no3_v1,3,1,2,3,41
op90no3_v1,3,2,2,3,94
op90no3_v1,3,3,2,3,148
op90no3_v1,3,4,2,3,210
op90no3_v1,4,1,2,3,
op90no3_v1,4,2,2,3,
op90no3_v1,4,3,2,3,
op90no3_v1,4,4,2,3,
op90no3_v1,5,1,3,3,42
op90no3_v1,5,2,3,3,94
op90no3_v1,5,3,3,3,150
op90no3_v1,5,4,3,3,207
op90no3_v1,6,1,3,3,
op90no3_v1,6,2,3,3,
op90no3_v1,6,3,3,3,
op90no3_v1,6,4,3,3,
op90no3_v1,7,1,4,3,43
op90no3_v1,7,2,4,3,98
op90no3_v1,7,3,4,3,153
op90no3_v1,7,4,4,3,208
op90no3_v1,8,1,4,3,
op90no3_v1,8,2,4,3,
op90no3_v1,8,3,4,3,
op90no3_v1,8,4,4,3,
op90no3_v1,9,1,5,3,44
op90no3_v1,9,2,5,3,98
op90no3_v1,9,3,5,3,154
op90no3_v1,9,4,5,3,206
op90no3_v1,10,1,5,3,
op90no3_v1,10,2,5,3,
op90no3_v1,10,3,5,3,
op90no3_v1,10,4,5,3,
op90no3_v1,11,1,6,3,44
op90no3_v1,11,2,6,3,96
op90no3_v1,11,3,6,3,147
op90no3_v1,11,4,6,3,205
op90no3_v1,12,1,6,3,
op90no3_v1,12,2,6,3,
op90no3_v1,12,3,6,3,
op90no3_v1,12,4,6,3,
op90no3_v1,13,1,7,3,44
op90no3_v1,13,2,7,3,99
op90no3_v1,13,3,7,3,154
op90no3_v1,13,4,7,3,210
op90no3_v1,14,1,7,3,
op90no3_v1,14,2,7,3,
op90no3_v1,14,3,7,3,
op90no3_v1,14,4,7,3,
op90no3_v1,1,1,1,4,43
op90no3_v1,1,2,1,4,95
op90no3_v1,1,3,1,4,147
op90no3_v1,1,4,1,4,199
op90no3_v1,2,1,1,4,
op90no3_v1,2,2,1,4,
op90no3_v1,2,3,1,4,
op90no3_v1,2,4,1,4,
op90no3_v1,3,1,2,4,44
op90no3_v1,3,2,2,4,98
op90no3_v1,3,3,2,4,152
op90no3_v1,3,4,2,4,209
op90no3_v1,4,1,2,4,
op90no3_v1,4,2,2,4,
op90no3_v1,4,3,2,4,
op90no3_v1,4,4,2,4,
op90no3_v1,5,1,3,4,44
op90no3_v1,5,2,3,4,103
op90no3_v1,5,3,3,4,159
op90no3_v1,5,4,3,4,214
op90no3_v1,6,1,3,4,
op90no3_v1,6,2,3,4,
op90no3_v1,6,3,3,4,
op90no3_v1,6,4,3,4,
op90no3_v1,7,1,4,4,45
op90no3_v1,7,2,4,4,98
op90no3_v1,7,3,4,4,152
op90no3_v1,7,4,4,4,213
op90no3_v1,8,1,4,4,
op90no3_v1,8,2,4,4,
op90no3_v1,8,3,4,4,
op90no3_v1,8,4,4,4,
