score,measure,beat,strip,page,hpixel
season01_v1,1,1,1,0,78
season01_v1,1,2,1,0,118
season01_v1,1,3,1,0,149
season01_v1,2,1,1,0,
season01_v1,2,2,1,0,
season01_v1,2,3,1,0,
season01_v1,3,1,1,0,279
season01_v1,3,2,1,0,316
season01_v1,3,3,1,0,347
season01_v1,4,1,1,0,
season01_v1,4,2,1,0,
season01_v1,4,3,1,0,
season01_v1,5,1,2,0,38
season01_v1,5,2,2,0,81
season01_v1,5,3,2,0,114
season01_v1,6,1,2,0,
season01_v1,6,2,2,0,
season01_v1,6,3,2,0,
season01_v1,7,1,2,0,244
season01_v1,7,2,2,0,286
season01_v1,7,3,2,0,324
season01_v1,8,1,2,0,
season01_v1,8,2,2,0,
season01_v1,8,3,2,0,
season01_v1,9,1,3,0,45
season01_v1,9,2,3,0,82
season01_v1,9,3,3,0,113
season01_v1,10,1,3,0,
season01_v1,10,2,3,0,
season01_v1,10,3,3,0,
season01_v1,11,1,3,0,275
season01_v1,11,2,3,0,319
season01_v1,11,3,3,0,361
season01_v1,12,1,3,0,
season01_v1,12,2,3,0,
season01_v1,12,3,3,0,
season01_v1,13,1,4,0,40
season01_v1,13,2,4,0,83
season01_v1,13,3,4,0,122
season01_v1,14,1,4,0,
season01_v1,14,2,4,0,
season01_v1,14,3,4,0,
season01_v1,15,1,4,0,269
season01_v1,15,2,4,0,303
season01_v1,15,3,4,0,336
season01_v1,16,1,4,0,
season01_v1,16,2,4,0,
season01_v1,16,3,4,0,
season01_v1,1,1,1,1,49
season01_v1,1,2,1,1,110
season01_v1,1,3,1,1,158
season01_v1,2,1,1,1,
season01_v1,2,2,1,1,
season01_v1,2,3,1,1,
season01_v1,3,1,1,1,361
season01_v1,3,2,1,1,403
season01_v1,3,3,1,1,453
season01_v1,4,1,2,1,
season01_v1,4,2,2,1,
season01_v1,4,3,2,1,
season01_v1,5,1,2,1,176
season01_v1,5,2,2,1,222
season01_v1,5,3,2,1,255
season01_v1,6,1,2,1,
season01_v1,6,2,2,1,
season01_v1,6,3,2,1,
season01_v1,7,1,2,1,390
season01_v1,7,2,2,1,431
season01_v1,7,3,2,1,464
season01_v1,8,1,3,1,
season01_v1,8,2,3,1,
season01_v1,8,3,3,1,
season01_v1,9,1,3,1,165
season01_v1,9,2,3,1,210
season01_v1,9,3,3,1,244
season01_v1,10,1,3,1,
season01_v1,10,2,3,1,
season01_v1,10,3,3,1,
season01_v1,11,1,3,1,377
season01_v1,11,2,3,1,423
season01_v1,11,3,3,1,459
season01_v1,12,1,4,1,
season01_v1,12,2,4,1,
season01_v1,12,3,4,1,
season01_v1,13,1,4,1,169
season01_v1,13,2,4,1,190
season01_v1,13,3,4,1,216
season01_v1,14,1,4,1,
season01_v1,14,2,4,1,
season01_v1,14,3,4,1,
season01_v1,15,1,4,1,421
season01_v1,15,2,4,1,440
season01_v1,15,3,4,1,466
season01_v1,16,1,5,1,
season01_v1,16,2,5,1,
season01_v1,16,3,5,1,
season01_v1,17,1,5,1,222
season01_v1,17,2,5,1,244
season01_v1,17,3,5,1,274
season01_v1,18,1,5,1,
season01_v1,18,2,5,1,
season01_v1,18,3,5,1,
season01_v1,1,1,1,2,35
season01_v1,1,2,1,2,59
season01_v1,1,3,1,2,95
season01_v1,2,1,1,2,
season01_v1,2,2,1,2,
season01_v1,2,3,1,2,
season01_v1,3,1,1,2,263
season01_v1,3,2,1,2,351
season01_v1,3,3,1,2,434
season01_v1,4,1,2,2,
season01_v1,4,2,2,2,
season01_v1,4,3,2,2,
season01_v1,5,1,2,2,219
season01_v1,5,2,2,2,319
season01_v1,5,3,2,2,410
season01_v1,6,1,3,2,
season01_v1,6,2,3,2,
season01_v1,6,3,3,2,
season01_v1,7,1,3,2,231
season01_v1,7,2,3,2,298
season01_v1,7,3,3,2,325
season01_v1,8,1,3,2,
season01_v1,8,2,3,2,
season01_v1,8,3,3,2,
season01_v1,9,1,4,2,29
season01_v1,9,2,4,2,103
season01_v1,9,3,4,2,129
season01_v1,10,1,4,2,
season01_v1,10,2,4,2,
season01_v1,10,3,4,2,
season01_v1,11,1,4,2,342
season01_v1,11,2,4,2,402
season01_v1,11,3,4,2,468
season01_v1,12,1,5,2,
season01_v1,12,2,5,2,
season01_v1,12,3,5,2,
season01_v1,13,1,5,2,147
season01_v1,13,2,5,2,234
season01_v1,13,3,5,2,313
season01_v1,14,1,5,2,
season01_v1,14,2,5,2,
season01_v1,14,3,5,2,
season01_v1,1,1,1,3,29
season01_v1,1,2,1,3,94
season01_v1,1,3,1,3,150
season01_v1,2,1,1,3,
season01_v1,2,2,1,3,
season01_v1,2,3,1,3,
season01_v1,3,1,1,3,314
season01_v1,3,2,1,3,382
season01_v1,3,3,1,3,442
season01_v1,4,1,2,3,
season01_v1,4,2,2,3,
season01_v1,4,3,2,3,
season01_v1,5,1,2,3,104
season01_v1,5,2,2,3,126
season01_v1,5,3,2,3,167
season01_v1,6,1,2,3,
season01_v1,6,2,2,3,
season01_v1,6,3,2,3,
season01_v1,7,1,2,3,379
season01_v1,7,2,2,3,446
season01_v1,7,3,2,3,476
season01_v1,8,1,3,3,
season01_v1,8,2,3,3,
season01_v1,8,3,3,3,
season01_v1,9,1,3,3,300
season01_v1,9,2,3,3,397
season01_v1,9,3,3,3,448
season01_v1,10,1,4,3,
season01_v1,10,2,4,3,
season01_v1,10,3,4,3,
season01_v1,11,1,4,3,253
season01_v1,11,2,4,3,334
season01_v1,11,3,4,3,416
season01_v1,12,1,5,3,
season01_v1,12,2,5,3,
season01_v1,12,3,5,3,
season01_v1,13,1,5,3,275
season01_v1,13,2,5,3,320
season01_v1,13,3,5,3,368
season01_v1,14,1,5,3,
season01_v1,14,2,5,3,
season01_v1,14,3,5,3,
season01_v1,1,1,1,4,42
season01_v1,1,2,1,4,72
season01_v1,1,3,1,4,101
season01_v1,2,1,1,4,
season01_v1,2,2,1,4,
season01_v1,2,3,1,4,
season01_v1,3,1,1,4,208
season01_v1,3,2,1,4,242
season01_v1,3,3,1,4,268
season01_v1,4,1,1,4,
season01_v1,4,2,1,4,
season01_v1,4,3,1,4,
season01_v1,5,1,1,4,398
season01_v1,5,2,1,4,437
season01_v1,5,3,1,4,467
season01_v1,6,1,2,4,
season01_v1,6,2,2,4,
season01_v1,6,3,2,4,
season01_v1,7,1,2,4,102
season01_v1,7,2,2,4,136
season01_v1,7,3,2,4,163
season01_v1,8,1,2,4,
season01_v1,8,2,2,4,
season01_v1,8,3,2,4,
season01_v1,9,1,2,4,289
season01_v1,9,2,2,4,327
season01_v1,9,3,2,4,353
season01_v1,10,1,2,4,
season01_v1,10,2,2,4,
season01_v1,10,3,2,4,
season01_v1,11,1,3,4,40
season01_v1,11,2,3,4,81
season01_v1,11,3,3,4,121
season01_v1,12,1,3,4,
season01_v1,12,2,3,4,
season01_v1,12,3,3,4,
season01_v1,13,1,3,4,266
season01_v1,13,2,3,4,308
season01_v1,13,3,3,4,349
season01_v1,14,1,3,4,
season01_v1,14,2,3,4,
season01_v1,14,3,3,4,
season01_v1,15,1,4,4,44
season01_v1,15,2,4,4,77
season01_v1,15,3,4,4,106
season01_v1,16,1,4,4,
season01_v1,16,2,4,4,
season01_v1,16,3,4,4,
season01_v1,17,1,4,4,266
season01_v1,17,2,4,4,312
season01_v1,17,3,4,4,349
season01_v1,18,1,4,4,
season01_v1,18,2,4,4,
season01_v1,18,3,4,4,
season01_v1,19,1,5,4,46
season01_v1,19,2,5,4,88
season01_v1,19,3,5,4,134
season01_v1,20,1,5,4,
season01_v1,20,2,5,4,
season01_v1,20,3,5,4,
season01_v1,21,1,5,4,302
season01_v1,21,2,5,4,345
season01_v1,21,3,5,4,376
season01_v1,22,1,5,4,
season01_v1,22,2,5,4,
season01_v1,22,3,5,4,
season01_v1,1,1,1,5,48
season01_v1,1,2,1,5,90
season01_v1,1,3,1,5,126
season01_v1,2,1,1,5,
season01_v1,2,2,1,5,
season01_v1,2,3,1,5,
season01_v1,3,1,1,5,291
season01_v1,3,2,1,5,340
season01_v1,3,3,1,5,377
season01_v1,4,1,1,5,
season01_v1,4,2,1,5,
season01_v1,4,3,1,5,
season01_v1,5,1,2,5,46
season01_v1,5,2,2,5,86
season01_v1,5,3,2,5,118
season01_v1,6,1,2,5,
season01_v1,6,2,2,5,
season01_v1,6,3,2,5,
season01_v1,7,1,2,5,260
season01_v1,7,2,2,5,301
season01_v1,7,3,2,5,332
season01_v1,8,1,2,5,
season01_v1,8,2,2,5,
season01_v1,8,3,2,5,
season01_v1,9,1,3,5,46
season01_v1,9,2,3,5,79
season01_v1,9,3,3,5,114
season01_v1,10,1,3,5,
season01_v1,10,2,3,5,
season01_v1,10,3,3,5,
season01_v1,11,1,3,5,266
season01_v1,11,2,3,5,304
season01_v1,11,3,3,5,350
season01_v1,12,1,3,5,
season01_v1,12,2,3,5,
season01_v1,12,3,3,5,
season01_v1,13,1,4,5,42
season01_v1,13,2,4,5,110
season01_v1,13,3,4,5,182
season01_v1,14,1,4,5,
season01_v1,14,2,4,5,
season01_v1,14,3,4,5,
season01_v1,15,1,4,5,336
season01_v1,15,2,4,5,403
season01_v1,15,3,4,5,473
season01_v1,16,1,5,5,
season01_v1,16,2,5,5,
season01_v1,16,3,5,5,
season01_v1,17,1,5,5,161
season01_v1,17,2,5,5,244
season01_v1,17,3,5,5,304
season01_v1,18,1,5,5,
season01_v1,18,2,5,5,
season01_v1,18,3,5,5,
season01_v1,19,1,5,5,449
